QUERY_ID	QUERY_NAME	QUERY_START	QUERY_END	QUERY_LENGTH	REF_ID	REF_NAME	REF_START	REF_END	REF_LENGTH	IDENTITY	EVALUE
UNY208P	contig_1	24533	23801	732	renamed_GCF_000008685.2	chromosome	24696	23964	732	100.0	2.844e-158
UNY208P	contig_1	25589	26228	639	renamed_GCF_000008685.2	chromosome	25752	26391	639	99.5	1.211e-143
UNY208P	contig_1	27702	27270	432	renamed_GCF_000008685.2	chromosome	27865	27433	432	100.0	2.641e-92
UNY208P	contig_1	29309	28328	981	renamed_GCF_000008685.2	chromosome	29472	28491	981	99.3	9.688e-221
UNY208P	contig_1	30867	31326	459	renamed_GCF_000008685.2	chromosome	31026	31479	459	99.3	5.582e-97
UNY208P	contig_1	33884	32003	1881	renamed_GCF_000008685.2	chromosome	34037	32156	1881	100.0	0.0
UNY208P	contig_1	36456	35703	753	renamed_GCF_000008685.2	chromosome	36609	35856	753	98.0	1.62e-159
UNY208P	contig_1	39482	37979	1503	renamed_GCF_000008685.2	chromosome	39638	38135	1503	99.8	0.0
UNY208P	contig_1	41276	40604	672	renamed_GCF_000008685.2	chromosome	41432	40760	672	100.0	1.856e-144
UNY208P	contig_1	42725	42323	402	renamed_GCF_000008685.2	chromosome	42881	42479	402	100.0	2.405e-88
UNY208P	contig_1	62989	63871	882	renamed_GCF_000008685.2	chromosome	63146	64028	882	99.6	6.762e-191
UNY208P	contig_1	67090	69409	2319	renamed_GCF_000008685.2	chromosome	67247	69569	2319	99.4	0.0
UNY208P	contig_1	70249	71059	810	renamed_GCF_000008685.2	chromosome	70141	71219	810	99.2	1.356e-179
UNY208P	contig_1	72486	73332	846	renamed_GCF_000008685.2	chromosome	72646	73492	846	99.2	6.38e-177
UNY208P	contig_1	75612	76293	681	renamed_GCF_000008685.2	chromosome	75773	76454	681	100.0	3.584e-147
UNY208P	contig_1	78848	77549	1299	renamed_GCF_000008685.2	chromosome	79009	77710	1299	100.0	8.363e-285
UNY208P	contig_1	79343	80612	1269	renamed_GCF_000008685.2	chromosome	79504	80773	1269	100.0	1.4e-282
UNY208P	contig_1	93871	93271	600	renamed_GCF_000008685.2	chromosome	94032	93432	600	100.0	1.47e-126
UNY208P	contig_1	96792	94449	2343	renamed_GCF_000008685.2	chromosome	96953	94610	2343	99.6	0.0
UNY208P	contig_1	126138	125370	768	renamed_GCF_000008685.2	chromosome	126301	125533	768	100.0	3.291e-171
UNY208P	contig_1	129969	127263	2706	renamed_GCF_000008685.2	chromosome	130132	127426	2706	99.7	0.0
UNY208P	contig_1	131134	132262	1128	renamed_GCF_000008685.2	chromosome	131297	132425	1128	99.7	1.76e-247
UNY208P	contig_1	148498	147487	1011	renamed_GCF_000008685.2	chromosome	148659	147648	1011	99.7	2.697e-214
UNY208P	contig_1	150808	152014	1206	renamed_GCF_000008685.2	chromosome	150973	152179	1206	99.7	1.095e-274
UNY208P	contig_1	153521	152909	612	renamed_GCF_000008685.2	chromosome	153686	153074	612	100.0	4.712e-141
UNY208P	contig_1	156297	157434	1137	renamed_GCF_000008685.2	chromosome	156461	157598	1137	100.0	1.164e-253
UNY208P	contig_1	157893	158310	417	renamed_GCF_000008685.2	chromosome	158075	158474	417	100.0	2.72e-81
UNY208P	contig_1	171086	171320	234	renamed_GCF_000008685.2	chromosome	171262	171484	234	97.2	1.134e-44
UNY208P	contig_1	173951	173363	588	renamed_GCF_000008685.2	chromosome	174116	173528	588	99.4	1.682e-131
UNY208P	contig_1	177688	176812	876	renamed_GCF_000008685.2	chromosome	177853	176977	876	100.0	9.427e-195
UNY208P	contig_1	179378	178751	627	renamed_GCF_000008685.2	chromosome	179543	178916	627	100.0	1.275e-132
UNY208P	contig_1	189694	189133	561	renamed_GCF_000008685.2	chromosome	189859	189298	561	100.0	1.275e-121
UNY208P	contig_1	190553	191294	741	renamed_GCF_000008685.2	chromosome	190718	191459	741	99.5	3.597e-157
UNY208P	contig_1	193298	192158	1140	renamed_GCF_000008685.2	chromosome	193463	192323	1140	99.7	9.252e-257
UNY208P	contig_1	194710	195571	861	renamed_GCF_000008685.2	chromosome	194875	195736	861	98.9	3.489e-186
UNY208P	contig_1	195527	197531	2004	renamed_GCF_000008685.2	chromosome	195692	197696	2004	99.7	0.0
UNY208P	contig_1	211133	211901	768	renamed_GCF_000008685.2	chromosome	211300	212068	768	100.0	8.822e-169
UNY208P	contig_1	215421	217254	1833	renamed_GCF_000008685.2	chromosome	215426	217259	1833	100.0	0.0
UNY208P	contig_1	217275	218307	1032	renamed_GCF_000008685.2	chromosome	217277	218312	1032	99.4	4.772e-220
UNY208P	contig_1	219073	218419	654	renamed_GCF_000008685.2	chromosome	219078	218424	654	100.0	1.052e-147
UNY208P	contig_1	219629	219050	579	renamed_GCF_000008685.2	chromosome	219634	219055	579	100.0	8.388e-121
UNY208P	contig_1	219794	220634	840	renamed_GCF_000008685.2	chromosome	219799	220639	840	99.6	8.103e-182
UNY208P	contig_1	220723	221632	909	renamed_GCF_000008685.2	chromosome	220728	221637	909	100.0	9.393e-192
UNY208P	contig_1	221628	223173	1545	renamed_GCF_000008685.2	chromosome	221741	223178	1545	99.5	3.161e-311
UNY208P	contig_1	223173	223956	783	renamed_GCF_000008685.2	chromosome	223178	223961	783	100.0	3.455e-173
UNY208P	contig_1	235529	235283	246	renamed_GCF_000008685.2	chromosome	235534	235288	246	98.7	3.025e-52
UNY208P	contig_1	237137	235589	1548	renamed_GCF_000008685.2	chromosome	237142	235594	1548	100.0	0.0
UNY208P	contig_1	237624	237216	408	renamed_GCF_000008685.2	chromosome	237629	237221	408	100.0	2.649e-88
UNY208P	contig_1	237951	237624	327	renamed_GCF_000008685.2	chromosome	237956	237629	327	100.0	8.435e-71
UNY208P	contig_1	238221	237963	258	renamed_GCF_000008685.2	chromosome	238226	237968	258	100.0	9.113e-51
UNY208P	contig_1	239123	238295	828	renamed_GCF_000008685.2	chromosome	239128	238300	828	99.6	4.621e-186
UNY208P	contig_1	240245	239138	1107	renamed_GCF_000008685.2	chromosome	240250	239143	1107	99.4	1.835e-243
UNY208P	contig_1	242284	240277	2007	renamed_GCF_000008685.2	chromosome	242289	240282	2007	99.5	0.0
UNY208P	contig_1	242432	243998	1566	renamed_GCF_000008685.2	chromosome	242437	244003	1566	98.8	0.0
UNY208P	contig_1	248520	250083	1563	renamed_GCF_000008685.2	chromosome	248505	250089	1563	99.8	0.0
UNY208P	contig_1	252231	251205	1026	renamed_GCF_000008685.2	chromosome	252237	251211	1026	99.4	1.351e-224
UNY208P	contig_1	253152	254925	1773	renamed_GCF_000008685.2	chromosome	253158	254931	1773	99.1	0.0
UNY208P	contig_1	273641	272627	1014	renamed_GCF_000008685.2	chromosome	273647	272633	1014	97.6	8.787e-219
UNY208P	contig_1	273847	275230	1383	renamed_GCF_000008685.2	chromosome	273856	275236	1383	99.5	1.314e-302
UNY208P	contig_1	276551	277058	507	renamed_GCF_000008685.2	chromosome	276671	277064	507	100.0	6.298e-87
UNY208P	contig_1	279052	278530	522	renamed_GCF_000008685.2	chromosome	279058	278536	522	100.0	3.966e-111
UNY208P	contig_1	281787	281307	480	renamed_GCF_000008685.2	chromosome	281793	281313	480	99.3	5.307e-101
UNY208P	contig_1	507410	507803	393	renamed_GCF_000008685.2	chromosome	507405	507798	393	100.0	3.073e-84
UNY208P	contig_1	507818	508853	1035	renamed_GCF_000008685.2	chromosome	507813	508848	1035	99.4	2.25e-220
UNY208P	contig_1	508874	509246	372	renamed_GCF_000008685.2	chromosome	508869	509241	372	99.1	4.349e-77
UNY208P	contig_1	509318	510851	1533	renamed_GCF_000008685.2	chromosome	509313	510846	1533	100.0	0.0
UNY208P	contig_1	510840	511629	789	renamed_GCF_000008685.2	chromosome	510835	511624	789	100.0	3.149e-175
UNY208P	contig_1	513144	512397	747	renamed_GCF_000008685.2	chromosome	513139	512392	747	99.5	3.599e-158
UNY208P	contig_1	513230	514532	1302	renamed_GCF_000008685.2	chromosome	513225	514527	1302	99.3	1.946e-284
UNY208P	contig_1	514528	515788	1260	renamed_GCF_000008685.2	chromosome	514523	515783	1260	98.3	1.758e-278
UNY208P	contig_1	535598	535175	423	renamed_GCF_000008685.2	chromosome	535600	535177	423	99.2	2.776e-90
UNY208P	contig_1	535701	537525	1824	renamed_GCF_000008685.2	chromosome	535703	537527	1824	99.6	0.0
UNY208P	contig_1	537517	538306	789	renamed_GCF_000008685.2	chromosome	537543	538308	789	98.8	3.287e-166
UNY208P	contig_1	539273	538325	948	renamed_GCF_000008685.2	chromosome	539275	538327	948	99.6	1.106e-213
UNY208P	contig_1	542260	543022	762	renamed_GCF_000008685.2	chromosome	542262	543024	762	99.2	1.347e-171
UNY208P	contig_1	543046	543814	768	renamed_GCF_000008685.2	chromosome	543048	543816	768	100.0	8.433e-178
UNY208P	contig_1	543829	544603	774	renamed_GCF_000008685.2	chromosome	543831	544605	774	100.0	1.787e-170
UNY208P	contig_1	544583	547385	2802	renamed_GCF_000008685.2	chromosome	544585	547387	2802	99.0	0.0
UNY208P	contig_1	548488	547843	645	renamed_GCF_000008685.2	chromosome	548490	547845	645	100.0	1.056e-137
UNY208P	contig_1	548883	548484	399	renamed_GCF_000008685.2	chromosome	548885	548486	399	99.2	3.385e-84
UNY208P	contig_1	549616	548917	699	renamed_GCF_000008685.2	chromosome	549618	548919	699	100.0	1.058e-146
UNY208P	contig_1	551721	549639	2082	renamed_GCF_000008685.2	chromosome	551723	549641	2082	99.8	0.0
UNY208P	contig_1	553135	553786	651	renamed_GCF_000008685.2	chromosome	553138	553789	651	99.5	3.256e-143
UNY208P	contig_1	553988	555209	1221	renamed_GCF_000008685.2	chromosome	553991	555212	1221	100.0	5.34e-268
UNY208P	contig_1	555212	556577	1365	renamed_GCF_000008685.2	chromosome	555215	556580	1365	99.3	3.396e-306
UNY208P	contig_1	568249	569119	870	renamed_GCF_000008685.2	chromosome	568269	569139	870	100.0	1.737e-195
UNY208P	contig_1	569257	569518	261	renamed_GCF_000008685.2	chromosome	569277	569538	261	100.0	9.575e-51
UNY208P	contig_1	569538	571260	1722	renamed_GCF_000008685.2	chromosome	569558	571280	1722	100.0	0.0
UNY208P	contig_1	571262	571832	570	renamed_GCF_000008685.2	chromosome	571282	571852	570	100.0	1.471e-121
UNY208P	contig_1	573720	571869	1851	renamed_GCF_000008685.2	chromosome	573740	571889	1851	100.0	0.0
UNY208P	contig_1	596515	598576	2061	renamed_GCF_000008685.2	chromosome	596530	598591	2061	100.0	0.0
UNY208P	contig_1	599361	598572	789	renamed_GCF_000008685.2	chromosome	599376	598587	789	99.2	5.285e-178
