assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UNY1032P	contig_1 [gcode=11] [topology=linear]	910572	gb|CP124084.1|	chromosome	Am388	910572	910563	99.97969957542801	921147	921139	[(438240, 441431), (213678, 214161), (213516, 214161), (1, 910563), (213354, 214160), (213192, 213676), (434993, 438186), (213192, 213514), (213192, 213999), (213192, 213838)]	[(213843, 214164), (213681, 214164), (213195, 214002), (1, 910572), (213195, 213841), (438243, 441434), (213519, 214164), (213357, 214163), (434996, 438189), (213195, 213679)]	[(1, 910563), (434993, 438186), (438240, 441431), (213192, 213999), (213354, 214160), (213192, 213838), (213516, 214161), (213192, 213676), (213678, 214161), (213192, 213514)]	101.16135791568377
UNY1032P	contig_1 [gcode=11] [topology=linear]	910572	gb|CP124092.1|	chromosome	Am293	910572	910655	99.98491974374414	921719	921717	[(213280, 910655), (435081, 438274), (213118, 213602), (438328, 441519), (213118, 213926), (213766, 214249), (213118, 213764), (1, 214087), (213604, 214249), (213442, 214248)]	[(77, 214163), (213357, 214164), (213681, 214164), (213195, 214002), (213195, 213841), (438243, 441434), (213195, 910572), (213519, 214164), (434996, 438189), (213195, 213679)]	[(213280, 910655), (1, 214087), (435081, 438274), (438328, 441519), (213118, 213926), (213442, 214248), (213118, 213764), (213604, 214249), (213118, 213602), (213766, 214249)]	101.22417557315622
UNY1032P	contig_1 [gcode=11] [topology=linear]	910572	gb|CP019916.1|	chromosome	PAbe	910572	910728	99.97743574611742	921796	921787	[(213514, 214320), (213676, 214321), (438399, 441590), (1, 214160), (435152, 438345), (213838, 214321), (213353, 910728), (213191, 213836), (213191, 213674), (213191, 213998)]	[(434996, 438189), (213357, 214164), (213681, 214164), (213195, 214002), (213195, 213841), (438243, 441434), (213195, 910572), (213519, 214164), (1, 214164), (213195, 213679)]	[(213353, 910728), (1, 214160), (435152, 438345), (438399, 441590), (213514, 214320), (213191, 213998), (213676, 214321), (213191, 213836), (213838, 214321), (213191, 213674)]	101.2326317962775
UNY1032P	contig_1 [gcode=11] [topology=linear]	910572	gb|AE000783.1|	chromosome	B31	910572	910724	99.97743606432891	921796	921787	[(1, 214163), (213193, 214001), (435153, 438346), (213193, 213839), (213679, 214324), (213517, 214323), (213841, 214324), (213355, 910724), (213193, 213677), (438400, 441591)]	[(434996, 438189), (213357, 214164), (213681, 214164), (213195, 214002), (213195, 213841), (438243, 441434), (213195, 910572), (213519, 214164), (1, 214164), (213195, 213679)]	[(213355, 910724), (1, 214163), (435153, 438346), (438400, 441591), (213517, 214323), (213193, 214001), (213679, 214324), (213193, 213839), (213841, 214324), (213193, 213677)]	101.2326317962775
UNY1032P	contig_1 [gcode=11] [topology=linear]	910572	gb|CP094597.1|	chromosome	B31-5A4	910572	909655	99.98490348001937	920725	920718	[(1, 213337), (212367, 213175), (213015, 213498), (212853, 213498), (212529, 909655), (212367, 213013), (212367, 212851), (437577, 440768), (434330, 437523), (212691, 213497)]	[(213357, 214164), (213681, 214164), (213195, 214002), (830, 214164), (213195, 213841), (438243, 441434), (213519, 214164), (434996, 438189), (213195, 910330), (213195, 213679)]	[(212529, 909655), (1, 213337), (434330, 437523), (437577, 440768), (212691, 213497), (212367, 213175), (212853, 213498), (212367, 213013), (213015, 213498), (212367, 212851)]	101.11501342013591
UNY1032P	contig_2 [gcode=11] [topology=linear]	26498	gb|CP124081.1|	cp26	Am388	26498	26498	98.25505656496401	29152	29152	[(10324, 26498), (17966, 19294), (19431, 20759), (1, 10323)]	[(10324, 26498), (16063, 17391), (1, 10323), (17528, 18856)]	[(26498, 10324), (10323, 1), (19294, 17966), (20759, 19431)]	110.01585025284928
UNY1032P	contig_2 [gcode=11] [topology=linear]	26498	gb|AE000792.1|	cp26	B31	26498	26498	98.21391840932465	29152	29152	[(10324, 26498), (17966, 19294), (19431, 20759), (1, 10323)]	[(10324, 26498), (16063, 17391), (1, 10323), (17528, 18856)]	[(26498, 10324), (10323, 1), (19294, 17966), (20759, 19431)]	110.01585025284928
UNY1032P	contig_2 [gcode=11] [topology=linear]	26498	gb|CP019755.1|	cp26	B31_NRZ	26498	26498	98.22420294823448	29152	29152	[(10324, 26498), (17966, 19294), (19431, 20759), (1, 10323)]	[(10324, 26498), (16063, 17391), (1, 10323), (17528, 18856)]	[(26498, 10324), (10323, 1), (19294, 17966), (20759, 19431)]	110.01585025284928
UNY1032P	contig_2 [gcode=11] [topology=linear]	26498	gb|CP019917.1|	cp26	PAbe	26498	26498	98.22420294823448	29152	29152	[(10324, 26498), (17966, 19294), (19431, 20759), (1, 10323)]	[(10324, 26498), (16063, 17391), (1, 10323), (17528, 18856)]	[(26498, 10324), (10323, 1), (19294, 17966), (20759, 19431)]	110.01585025284928
UNY1032P	contig_2 [gcode=11] [topology=linear]	26498	gb|CP124089.1|	cp26	Am293	26498	26498	98.21391840932465	29152	29152	[(10324, 26498), (17966, 19294), (19431, 20759), (1, 10323)]	[(10324, 26498), (16063, 17391), (1, 10323), (17528, 18856)]	[(26498, 10324), (10323, 1), (19294, 17966), (20759, 19431)]	110.01585025284928
