assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
ESI284_scaffold	contig_1_RagTag	910576	NE_5261_chromosome_ParA_2	chromosome	NE_5261	910576	380	100.0	1097	365	[(1, 366)]	[(540547, 541644)]	[(1, 366)]	0.12047319498866652
ESI284_scaffold	contig_1_RagTag	910576	B379_chromosome_ParA_2	chromosome	B379	910576	380	99.4535519125683	1097	365	[(1, 366)]	[(540547, 541644)]	[(1, 366)]	0.12047319498866652
ESI284_scaffold	contig_1_RagTag	910576	80a_chromosome_ParA_2	chromosome	80a	910576	380	99.4535519125683	1097	365	[(1, 366)]	[(540547, 541644)]	[(1, 366)]	0.12047319498866652
ESI284_scaffold	contig_1_RagTag	910576	B500_chromosome_ParA_2	chromosome	B500	910576	380	99.45054945054946	1091	363	[(1, 364)]	[(540553, 541644)]	[(1, 364)]	0.11981427140623079
ESI284_scaffold	contig_1_RagTag	910576	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	910576	380	99.17582417582418	1091	363	[(1, 364)]	[(540553, 541644)]	[(1, 364)]	0.11981427140623079
ESI284_scaffold	contig_2_RagTag	53815	A20_B31_lp54_ParA_X	lp54	A20	53815	250	100.0	749	249	[(1, 250)]	[(39421, 40170)]	[(1, 250)]	1.3918052587568521
ESI284_scaffold	contig_21_RagTag	28424	RS05395_Bol26_Bol26_lp28-9_ParA_X	lp28-9	RS05395	28424	254	100.0	761	253	[(1, 254)]	[(20118, 20879)]	[(1, 254)]	2.6773149451168026
ESI284_scaffold	contig_21_RagTag	28424	RS06670_WI91-23_WI91-23_lp28-1_ParA_X	lp28-1	RS06670	28424	254	83.46456692913385	761	253	[(1, 254)]	[(20118, 20879)]	[(1, 254)]	2.6773149451168026
ESI284_scaffold	contig_21_RagTag	28424	RS00365_JD1_JD1_lp28-1_ParA_X	lp28-1	RS00365	28424	254	83.46456692913385	761	253	[(1, 254)]	[(20118, 20879)]	[(1, 254)]	2.6773149451168026
ESI284_scaffold	contig_21_RagTag	28424	F24_B31_lp28-1_ParA_X	lp28-1	F24	28424	254	83.07086614173228	761	253	[(1, 254)]	[(20118, 20879)]	[(1, 254)]	2.6773149451168026
ESI284_scaffold	contig_21_RagTag	28424	RS04795_72a_72a_cp32-13_ParA_X	cp32-13	RS04795	28424	254	78.65612648221344	758	252	[(1, 253)]	[(20118, 20876)]	[(1, 253)]	2.6667604840979453
ESI284_scaffold	contig_23_RagTag	27851	RS01095_ZS7_ZS7_cp32-3+10_ParA_X	cp32-3+10	RS01095	27851	251	100.0	752	250	[(1, 251)]	[(6190, 6942)]	[(1, 251)]	2.700082582313023
ESI284_scaffold	contig_23_RagTag	27851	RS06365_N40_N40_cp32-10_ParA_X	cp32-10	RS06365	27851	251	89.64143426294821	752	250	[(1, 251)]	[(6190, 6942)]	[(1, 251)]	2.700082582313023
ESI284_scaffold	contig_23_RagTag	27851	RS05285_CA-11.2A_CA-11.2A_cp32-10_ParA_X	cp32-10	RS05285	27851	251	89.64143426294821	752	250	[(1, 251)]	[(6190, 6942)]	[(1, 251)]	2.700082582313023
ESI284_scaffold	contig_23_RagTag	27851	RS05810_94a_94a_cp32-10_ParA_X	cp32-10	RS05810	27851	251	89.64143426294821	752	250	[(1, 251)]	[(6190, 6942)]	[(1, 251)]	2.700082582313023
ESI284_scaffold	contig_23_RagTag	27851	Q40_B31_lp56_ParA_X	lp56	Q40	27851	251	89.2430278884462	752	250	[(1, 251)]	[(6190, 6942)]	[(1, 251)]	2.700082582313023
ESI284_scaffold	contig_24_RagTag	5180	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	5180	257	100.0	770	256	[(1, 257)]	[(2261, 3031)]	[(1, 257)]	14.864864864864865
ESI284_scaffold	contig_24_RagTag	5180	RS06275_WI91-23_WI91-23_cp32-5_ParA_X	cp32-5	RS06275	5180	257	99.61089494163424	770	256	[(1, 257)]	[(2261, 3031)]	[(1, 257)]	14.864864864864865
ESI284_scaffold	contig_24_RagTag	5180	RS05610_72a_72a_cp32-5_ParA_X	cp32-5	RS05610	5180	257	99.61089494163424	770	256	[(1, 257)]	[(2261, 3031)]	[(1, 257)]	14.864864864864865
ESI284_scaffold	contig_24_RagTag	5180	B500_cp32-5_ParA_1	cp32-5	B500	5180	257	99.22178988326849	770	256	[(1, 257)]	[(2261, 3031)]	[(1, 257)]	14.864864864864865
ESI284_scaffold	contig_24_RagTag	5180	RS06160_118a_118a_cp32-5_ParA_X	cp32-5	RS06160	5180	257	99.22178988326849	770	256	[(1, 257)]	[(2261, 3031)]	[(1, 257)]	14.864864864864865
ESI284_scaffold	contig_3_RagTag	26464	NE_5261_cp26_ParA_1	cp26	NE_5261	26464	253	100.0	758	252	[(1, 253)]	[(6755, 7513)]	[(1, 253)]	2.8642684401451026
ESI284_scaffold	contig_3_RagTag	26464	B12_B31_cp26_ParA_X	cp26	B12	26464	253	99.60474308300395	758	252	[(1, 253)]	[(6755, 7513)]	[(1, 253)]	2.8642684401451026
ESI284_scaffold	contig_3_RagTag	26464	MM1_cp26_ParA_1	cp26	MM1	26464	253	99.60474308300395	758	252	[(1, 253)]	[(6755, 7513)]	[(1, 253)]	2.8642684401451026
ESI284_scaffold	contig_3_RagTag	26464	RS00680_MM1_plsm_cp26_ParA_X	cp26	RS00680	26464	253	99.2094861660079	758	252	[(1, 253)]	[(6755, 7513)]	[(1, 253)]	2.8642684401451026
ESI284_scaffold	contig_3_RagTag	26464	N40_cp26_ParA_1	cp26	N40	26464	253	99.2094861660079	758	252	[(1, 253)]	[(6755, 7513)]	[(1, 253)]	2.8642684401451026
ESI284_scaffold	contig_4_RagTag	25338	RS06760_Bol26_Bol26_lp28-3_ParA_X	lp28-3	RS06760	25338	251	98.79032258064517	743	247	[(1, 248)]	[(14221, 14964)]	[(1, 248)]	2.932354566264109
ESI284_scaffold	contig_4_RagTag	25338	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	25338	251	97.98387096774194	743	247	[(1, 248)]	[(14221, 14964)]	[(1, 248)]	2.932354566264109
ESI284_scaffold	contig_4_RagTag	25338	H28_B31_lp28-3_ParA_X	lp28-3	H28	25338	251	97.58064516129032	743	247	[(1, 248)]	[(14221, 14964)]	[(1, 248)]	2.932354566264109
ESI284_scaffold	contig_4_RagTag	25338	RS07610_JD1_JD1_lp28-6_ParA_X	lp28-6	RS07610	25338	251	72.58064516129032	743	247	[(1, 248)]	[(14221, 14964)]	[(1, 248)]	2.932354566264109
ESI284_scaffold	contig_4_RagTag	25338	RS06425_B331_B331_lp28_6_ParA_X	lp28-6	RS06425	25338	251	72.17741935483872	743	247	[(1, 248)]	[(14221, 14964)]	[(1, 248)]	2.932354566264109
ESI284_scaffold	contig_5_RagTag	26888	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	26888	250	100.0	749	249	[(1, 250)]	[(12615, 13364)]	[(1, 250)]	2.7856292770008926
ESI284_scaffold	contig_5_RagTag	26888	RS05970_CA-11.2A_CA-11.2A_lp36-28-4_ParA_X	lp36-28-4	RS05970	26888	250	99.6	749	249	[(1, 250)]	[(12615, 13364)]	[(1, 250)]	2.7856292770008926
ESI284_scaffold	contig_5_RagTag	26888	I21_B31_lp28-4_ParA_X	lp28-4	I21	26888	250	98.8	749	249	[(1, 250)]	[(12615, 13364)]	[(1, 250)]	2.7856292770008926
ESI284_scaffold	contig_6_RagTag	36839	K21_B31_lp36_ParA_X	lp36	K21	36839	249	100.0	728	242	[(1, 243)]	[(13498, 14226)]	[(1, 243)]	1.9761665626102771
ESI284_scaffold	contig_6_RagTag	36839	RS01335_MM1_plsm_lp36_ParA_X	lp36	RS01335	36839	249	99.58847736625515	728	242	[(1, 243)]	[(13498, 14226)]	[(1, 243)]	1.9761665626102771
ESI284_scaffold	contig_6_RagTag	36839	RS06330_29805_29805_lp36_ParA_X	lp36	RS06330	36839	249	94.23868312757202	728	242	[(1, 243)]	[(13498, 14226)]	[(1, 243)]	1.9761665626102771
ESI284_scaffold	contig_7_RagTag	34502	RS06485_N40_N40_lp17_ParA_X	lp17	RS06485	34502	246	99.58677685950413	1450	241	[(1, 242)]	[(30915, 31640), (2863, 3588)]	[(1, 242), (1, 242)]	4.202654918555447
ESI284_scaffold	contig_7_RagTag	34502	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	34502	246	100.0	1450	241	[(1, 242)]	[(30915, 31640), (2863, 3588)]	[(1, 242), (1, 242)]	4.202654918555447
ESI284_scaffold	contig_8_RagTag	17456	N32_B31_cp32-9_ParA_X	cp32-9	N32	17456	251	100.0	743	247	[(1, 248)]	[(8785, 9528)]	[(1, 248)]	4.256416131989001
ESI284_scaffold	contig_8_RagTag	17456	RS01730_MM1_plsm_cp32-9_ParA_X	cp32-9	RS01730	17456	251	99.59677419354838	743	247	[(1, 248)]	[(8785, 9528)]	[(1, 248)]	4.256416131989001
ESI284_scaffold	NODE_12_length_21644_cov_19.638431	21644	RS06245_ZS7_ZS7_lp28-2_ParA_X	lp28-2	RS06245	21644	255	92.15686274509804	764	254	[(1, 255)]	[(6110, 6874)]	[(1, 255)]	3.5298466087599336
ESI284_scaffold	NODE_12_length_21644_cov_19.638431	21644	RS05185_N40_N40_lp28-2_ParA_X	lp28-2	RS05185	21644	255	92.54901960784314	764	254	[(1, 255)]	[(6110, 6874)]	[(1, 255)]	3.5298466087599336
