contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	UCT50H	902761	gb|CP002228.1|	chromosome	N40	902761	902191	99.99318101330142	99.97241794893665	902512	902190	[(1, 902191)]	[(234, 902746)]	[(212838, 902191), (1, 213156), (437231, 440422), (433984, 437177), (212832, 213156)]	9996.560084305447
contig_10 [gcode=11] [topology=linear]	UCT50H	22570	gb|CP002241.1|	lp17	N40	22570	20672	99.99127475787452	99.99113867966327	22568	20614	[(1, 20615)]	[(20554, 22570), (1, 20553)]	[(17046, 1), (20615, 16758), (1, 2017)]	9998.241421070945
contig_11 [gcode=11] [topology=linear]	UCT50H	21081	gb|AE001576.1|	cp32-3	B31	21081	30223	94.29099496868261	91.20535078981074	19227	19261	[(1714, 10020), (19340, 21320), (15053, 19312), (10213, 14929)]	[(17730, 19717), (8491, 13209), (2, 8310), (13330, 17544)]	[(1714, 10020), (10213, 14929), (15053, 17426), (19340, 21320), (17310, 19312)]	8599.843272438977
contig_12 [gcode=11] [topology=linear]	UCT50H	19532	gb|CP002242.1|	cp32-9	N40	19532	30658	99.9897603932009	99.99488019660046	19531	19531	[(9357, 28888)]	[(1, 19532)]	[(28888, 9357)]	9998.46411140491
contig_13 [gcode=11] [topology=linear]	UCT50H	18296	gb|CP002240.1|	cp32-10	N40	18296	30154	99.20253441118638	99.9945343244425	18295	18297	[(9359, 27656)]	[(1, 18296)]	[(27656, 9359)]	9919.711232251064
contig_14 [gcode=11] [topology=linear]	UCT50H	8722	gb|CP002231.1|	cp9	N40	8722	8722	100.0	99.9770694794772	8720	8720	[(2474, 8722), (1, 2473)]	[(6250, 8722), (1, 6249)]	[(2474, 8722), (1, 2473)]	9997.70694794772
contig_15 [gcode=11] [topology=linear]	UCT50H	7013	gb|CP002229.1|	cp32-7	N40	7013	17483	99.90018537002709	99.98574076714672	7012	7012	[(8413, 15425)]	[(1, 7013)]	[(8413, 15425)]	9988.594036997432
contig_16 [gcode=11] [topology=linear]	UCT50H	2216	gb|CP074071.1|	cp32-11	B500	2216	30176	99.90974729241877	99.95487364620939	2215	2215	[(26119, 28334)]	[(1, 2216)]	[(28334, 26119)]	9986.466166638429
contig_17 [gcode=11] [topology=linear]	UCT50H	1632	gb|CP001208.1|	cp32-4	ZS7	1632	30964	80.94919786096256	89.88970588235294	1467	1468	[(20697, 21623), (21784, 22326)]	[(707, 1632), (2, 544)]	[(21623, 20697), (22326, 21784)]	7276.499587134318
contig_18 [gcode=11] [topology=linear]	UCT50H	1548	gb|CP002230.1|	lp36	N40	1548	29194	91.36346931275267	69.63824289405684	1078	2668	[(24044, 24579), (22488, 23020), (26120, 26650), (27123, 27662), (27960, 28492)]	[(1, 540), (1009, 1548)]	[(27960, 28492), (28492, 27960), (26120, 26650), (26650, 26120), (27123, 27662), (27662, 27123), (24044, 24579), (24579, 24044), (22488, 23020), (23020, 22488)]	6362.39146764518
