assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
URI77_scaffold	NZ_CP161158.1_RagTag	906488	gb|CP124080.1|	chromosome	Sh-2-82	906488	907764	99.98684803847888	904789	904796	[(440971, 556768), (903094, 905473), (213025, 213837), (213025, 213512), (905481, 907031), (213025, 213675), (556585, 903170), (2, 435078), (213349, 213998), (213187, 213998)]	[(435558, 551352), (213186, 213997), (1, 435077), (213348, 213997), (213024, 213836), (213510, 213996), (897798, 900177), (900278, 901828), (213024, 213674), (551115, 897697)]	[(2, 435078), (556585, 903170), (440971, 556768), (903094, 905473), (905481, 907031), (213025, 213837), (213187, 213998), (213025, 213675), (213349, 213998), (213025, 213512)]	99.81257336004448
URI77_scaffold	NZ_CP161158.1_RagTag	906488	gb|CP094579.1|	chromosome	B379	906488	920773	99.98932047386269	908262	908268	[(440634, 556431), (902757, 905136), (905144, 906694), (213012, 213661), (212688, 213338), (556248, 902833), (916478, 920773), (212688, 213500), (1, 434741), (212850, 213661)]	[(902132, 906427), (435558, 551352), (213186, 213997), (213348, 213997), (213024, 213836), (897798, 900177), (900278, 901828), (213024, 213674), (551115, 897697), (337, 435077)]	[(1, 434741), (556248, 902833), (440634, 556431), (916478, 920773), (902757, 905136), (905144, 906694), (212688, 213500), (212850, 213661), (212688, 213338), (213012, 213661)]	100.19570032918253
URI77_scaffold	NZ_CP161158.1_RagTag	906488	gb|CP002312.1|	chromosome	JD1	906488	922801	99.51935642489778	902794	902849	[(775370, 903280), (213225, 214036), (6, 435109), (905035, 905849), (213063, 213875), (213063, 213712), (556609, 775337), (213387, 214036), (441005, 556792), (903204, 904790)]	[(435558, 551352), (769776, 897697), (551115, 769801), (213186, 213997), (213024, 213836), (2, 435075), (213348, 213996), (897798, 899383), (213024, 213674), (899363, 900177)]	[(6, 435109), (556609, 775337), (775370, 903280), (441005, 556792), (903204, 904790), (905035, 905849), (213225, 214036), (213063, 213875), (213063, 213712), (213387, 214036)]	99.59249322660642
URI77_scaffold	NZ_CP161158.1_RagTag	906488	gb|CP124084.1|	chromosome	Am388	906488	910563	99.4840871393464	901187	901188	[(903344, 904928), (213354, 214161), (556730, 775456), (905173, 905987), (775489, 844834), (693, 20162), (844489, 903420), (20319, 435221), (213188, 213999), (441114, 556913)]	[(435558, 551352), (551115, 769801), (20158, 435077), (213028, 213836), (213186, 213996), (769776, 839143), (897798, 899383), (899363, 900177), (689, 20158), (838762, 897697)]	[(20319, 435221), (556730, 775456), (441114, 556913), (775489, 844834), (844489, 903420), (693, 20162), (903344, 904928), (905173, 905987), (213354, 214161), (213188, 213999)]	99.41521564543602
URI77_scaffold	NZ_CP161158.1_RagTag	906488	gb|CP124104.1|	chromosome	NE_5248	906488	910663	99.46178150322432	902873	902777	[(42, 20163), (213341, 435355), (213179, 213990), (441248, 775525), (213503, 214314), (213665, 214314), (903359, 904930), (905175, 905989), (20320, 214152), (775558, 903435)]	[(435558, 769801), (769776, 897697), (20158, 213996), (213024, 213836), (213186, 213996), (897798, 899383), (213024, 435077), (899363, 900177), (213024, 213674), (11, 20158)]	[(441248, 775525), (213341, 435355), (20320, 214152), (775558, 903435), (42, 20163), (903359, 904930), (905175, 905989), (213503, 214314), (213179, 213990), (213665, 214314)]	99.60120817925885
URI77_scaffold	NZ_CP161159.1_RagTag	53880	gb|CP124079.1|	lp54	Sh-2-82	53880	53843	99.14573843999787	56360	56360	[(48203, 49483), (47202, 48441), (1, 53842)]	[(47240, 48479), (39, 53880), (48241, 49521)]	[(1, 53842), (47202, 48441), (48203, 49483)]	104.60282108389012
URI77_scaffold	NZ_CP161159.1_RagTag	53880	gb|CP094596.1|	lp54	B379	53880	53532	99.13409115205074	56058	56050	[(48057, 49337), (47056, 48295), (1, 53532)]	[(47240, 48479), (174, 53713), (48241, 49521)]	[(1, 53532), (47056, 48295), (48057, 49337)]	104.0423162583519
URI77_scaffold	NZ_CP161159.1_RagTag	53880	gb|CP017218.1|	lp54	B331	53880	53759	98.37729632057255	56347	56329	[(5401, 6640), (4361, 5639), (42368, 53759), (37912, 42411), (2, 37924)]	[(11424, 15925), (15942, 53880), (39, 11428), (48241, 49521), (47240, 48479)]	[(37924, 2), (53759, 42368), (42411, 37912), (5639, 4361), (6640, 5401)]	104.57869339272456
URI77_scaffold	NZ_CP161159.1_RagTag	53880	gb|CP074056.1|	lp54	B500	53880	53758	98.38055245486277	56337	56321	[(48121, 49399), (47120, 48359), (15836, 53758), (11349, 15840), (1, 11392)]	[(15942, 53880), (39, 11428), (48241, 49521), (11424, 15915), (47240, 48479)]	[(15836, 53758), (1, 11392), (11349, 15840), (48121, 49399), (47120, 48359)]	104.56013363028953
URI77_scaffold	NZ_CP161159.1_RagTag	53880	gb|CP094577.1|	lp54	B408	53880	53561	98.35715809686366	56141	56121	[(47042, 48281), (48043, 49321), (15758, 53558), (11271, 15762), (1, 11314)]	[(15942, 53758), (48241, 49521), (11424, 15915), (47240, 48479), (113, 11428)]	[(15758, 53558), (1, 11314), (11271, 15762), (48043, 49321), (47042, 48281)]	104.19636228656273
URI77_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP001267.1|	lp38	156a	30355	30302	99.65869208230028	31042	31049	[(1, 30302), (16680, 17052), (2943, 3319)]	[(16, 30310), (26993, 27369), (13266, 13638)]	[(30302, 1), (17052, 16680), (3319, 2943)]	102.26321858013507
URI77_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP094595.1|	lp38	B379	30355	29988	99.78530999934942	30735	30735	[(1, 29988), (2661, 3037), (16392, 16764)]	[(26993, 27369), (13266, 13638), (42, 30029)]	[(29988, 1), (3037, 2661), (16764, 16392)]	101.25185307198154
URI77_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP031409.1|	lp28-8	MM1	30355	28515	98.38242932403354	13455	13466	[(9465, 13134), (10374, 10718), (1, 9454)]	[(12385, 16046), (359, 9806), (27022, 27369)]	[(1, 9454), (9465, 13134), (10374, 10718)]	44.3254817987152
URI77_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP002325.1|	lp38	JD1	30355	27590	99.0810141432575	15306	15335	[(1, 7890), (10065, 14470), (13999, 14375), (7881, 10064), (22640, 23122)]	[(156, 8046), (7992, 10173), (12792, 13269), (13266, 13638), (23078, 27464)]	[(1, 7890), (10065, 14470), (7881, 10064), (23122, 22640), (13999, 14375)]	50.42332399934113
URI77_scaffold	NZ_CP161160.1_RagTag	30355	gb|AE000787.1|	lp38	B31	30355	38829	88.77229030601012	13522	13550	[(31214, 32173), (25294, 26898), (10387, 13553), (16408, 23041), (3171, 4359)]	[(14955, 21558), (23185, 26335), (13231, 14403), (27571, 29209), (14955, 15914)]	[(23041, 16408), (13553, 10387), (25294, 26898), (32173, 31214), (3171, 4359)]	44.54620326140669
URI77_scaffold	NZ_CP161161.1_RagTag	39677	gb|CP094583.1|	cp32-2	B379	39677	30302	96.35261151178281	21708	21704	[(19066, 19881), (16153, 17327), (22740, 23390), (8322, 9465), (24400, 26570), (10134, 11984), (227, 2198), (16148, 17997), (25863, 30118), (6013, 11840)]	[(15999, 17848), (26151, 28321), (1, 1972), (33467, 35321), (35422, 39677), (24365, 25015), (20175, 20990), (5787, 11613), (17949, 19124), (31378, 32521)]	[(6013, 11840), (25863, 30118), (227, 2198), (16148, 17997), (24400, 26570), (10134, 11984), (8322, 9465), (19066, 19881), (16153, 17327), (22740, 23390)]	54.711797766968274
URI77_scaffold	NZ_CP161161.1_RagTag	39677	gb|CP001263.1|	cp32-4	156a	39677	30300	96.19200734956362	21708	21702	[(227, 2197), (10132, 11982), (16146, 17995), (19064, 19879), (16151, 17325), (22738, 23388), (25861, 30116), (6012, 11838), (8321, 9464), (24398, 26568)]	[(15999, 17848), (26151, 28321), (1, 1972), (33467, 35321), (35422, 39677), (24365, 25015), (20175, 20990), (5787, 11613), (17949, 19124), (31378, 32521)]	[(6012, 11838), (25861, 30116), (227, 2197), (16146, 17995), (24398, 26568), (10132, 11982), (8321, 9464), (19064, 19879), (16151, 17325), (22738, 23388)]	54.711797766968274
URI77_scaffold	NZ_CP161161.1_RagTag	39677	gb|CP094588.1|	cp32-9	B379	39677	21173	95.16503352243424	15412	15456	[(1, 3943), (1, 1143), (17379, 18086), (8800, 9396), (12298, 12723), (10469, 11290), (2089, 3799), (9512, 9866), (20669, 21172), (15917, 21173)]	[(35422, 36129), (19218, 19572), (26151, 31378), (8097, 9239), (37864, 38369), (17256, 17848), (31379, 35321), (20175, 20990), (9907, 11613), (22319, 22741)]	[(15917, 21173), (1, 3943), (2089, 3799), (1, 1143), (17379, 18086), (10469, 11290), (20669, 21172), (9512, 9866), (8800, 9396), (12298, 12723)]	38.84366257529551
URI77_scaffold	NZ_CP161161.1_RagTag	39677	gb|CP002321.1|	cp32-12	JD1	39677	30019	92.41138035705099	19329	19315	[(227, 2193), (10287, 12272), (25580, 29835), (24124, 26287), (17247, 18058), (20485, 21440), (6002, 9517), (8310, 9454), (18665, 19478), (10420, 12128)]	[(1, 1972), (26158, 28321), (35422, 39677), (5787, 9303), (18754, 19572), (22319, 23280), (33333, 35321), (31378, 32521), (20182, 20990), (9907, 11613)]	[(25580, 29835), (6002, 9517), (24124, 26287), (227, 2193), (10287, 12272), (10420, 12128), (8310, 9454), (17247, 18058), (18665, 19478), (20485, 21440)]	48.71588073695088
URI77_scaffold	NZ_CP161161.1_RagTag	39677	gb|CP002310.1|	cp32-1+5	JD1	39677	60739	95.59331032651977	20582	22541	[(28592, 30454), (38957, 40741), (9714, 12026), (227, 2192), (10317, 12170), (58744, 60555), (5982, 9497), (40875, 42894), (30865, 32833), (36648, 40100)]	[(33467, 35321), (1, 1972), (5787, 9239), (5787, 9303), (31378, 33162), (33302, 35321), (37865, 39677), (37812, 39677), (9304, 11613)]	[(5982, 9497), (36648, 40100), (40875, 42894), (9714, 12026), (10317, 12170), (30865, 32833), (227, 2192), (58744, 60555), (28592, 30454), (38957, 40741)]	51.87388159387051
URI77_scaffold	NZ_CP161162.1_RagTag	29187	gb|CP094582.1|	cp32-12	B379	29187	30796	94.5775446555146	14022	14033	[(10656, 13206), (28400, 29290), (20206, 21445), (5276, 6232), (18613, 19310), (3358, 3728), (17198, 18016), (25012, 26385), (17940, 18668), (6320, 10732)]	[(17551, 18279), (4917, 9329), (18380, 19084), (3860, 4816), (1942, 2312), (19980, 21219), (27032, 27898), (9430, 11980), (24636, 26010), (16627, 17450)]	[(6320, 10732), (10656, 13206), (5276, 6232), (25012, 26385), (17940, 18668), (20206, 21445), (17198, 18016), (18613, 19310), (28400, 29290), (3358, 3728)]	48.04193647856923
