assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UCT76_scaffold	NZ_CP161158.1_RagTag	914355	gb|CP124080.1|	chromosome	Sh-2-82	914355	907764	99.9912412870208	901527	901949	[(213424, 213837), (440971, 556768), (437726, 438043), (213262, 213675), (213586, 435078), (2, 213245), (556585, 904797), (905481, 906806), (213025, 213350), (213100, 213512)]	[(213423, 434915), (435396, 435713), (1, 213244), (899846, 901171), (435396, 551190), (550953, 899162), (213423, 213835), (213423, 213834), (213510, 213834)]	[(556585, 904797), (213586, 435078), (2, 213245), (440971, 556768), (905481, 906806), (213424, 213837), (213100, 213512), (213262, 213675), (437726, 438043), (213025, 213350)]	98.59704381777318
UCT76_scaffold	NZ_CP161158.1_RagTag	914355	gb|CP094579.1|	chromosome	B379	914355	920773	99.99304323244547	905162	905583	[(440634, 556431), (556248, 904460), (212763, 213175), (213249, 434741), (905144, 906469), (212925, 213338), (916478, 920773), (1, 212908), (213087, 213500), (437389, 437706)]	[(213423, 434915), (435396, 435713), (909999, 914294), (899846, 901171), (435396, 551190), (550953, 899162), (213423, 213835), (337, 213244), (213423, 213834)]	[(556248, 904460), (213249, 434741), (1, 212908), (440634, 556431), (916478, 920773), (905144, 906469), (213087, 213500), (212763, 213175), (212925, 213338), (437389, 437706)]	98.99459181608894
UCT76_scaffold	NZ_CP161158.1_RagTag	914355	gb|CP124104.1|	chromosome	NE_5248	914355	910663	99.46438843887499	899126	900267	[(20320, 213399), (42, 20163), (213902, 435355), (441248, 775525), (213578, 213990), (213416, 213828), (438003, 438320), (213254, 213666), (213740, 214152), (775558, 904930)]	[(213423, 434915), (435396, 435713), (20158, 213244), (435396, 769639), (213423, 213834), (11, 20158), (769614, 899044)]	[(441248, 775525), (213902, 435355), (20320, 213399), (775558, 904930), (42, 20163), (213254, 213666), (213578, 213990), (213416, 213828), (213740, 214152), (438003, 438320)]	98.33445434213188
UCT76_scaffold	NZ_CP161158.1_RagTag	914355	gb|CP001205.1|	chromosome	ZS7	914355	906707	99.45107462228732	899648	899545	[(3, 20117), (212885, 213210), (437369, 771628), (20274, 138039), (771661, 841006), (213284, 434721), (840661, 901081), (138037, 213105), (212960, 213372), (213122, 213522)]	[(213423, 434915), (19, 20158), (435396, 769639), (213423, 213823), (213510, 213834), (138178, 213244), (838600, 899034), (769614, 838981), (213423, 213834), (20158, 137930)]	[(437369, 771628), (213284, 434721), (20274, 138039), (138037, 213105), (771661, 841006), (840661, 901081), (3, 20117), (213122, 213522), (212960, 213372), (212885, 213210)]	98.391543765824
UCT76_scaffold	NZ_CP161158.1_RagTag	914355	gb|CP031412.1|	chromosome	MM1	914355	908512	99.47586280447838	898778	900024	[(213292, 213704), (1, 19857), (213130, 213542), (212968, 213380), (20014, 213113), (775294, 904648), (213616, 435097), (437745, 438062), (440992, 775261), (213454, 213866)]	[(213423, 434915), (435396, 435713), (769614, 898982), (435396, 769639), (20159, 213244), (297, 20159), (213423, 213834)]	[(440992, 775261), (213616, 435097), (20014, 213113), (775294, 904648), (1, 19857), (213454, 213866), (213292, 213704), (212968, 213380), (213130, 213542), (437745, 438062)]	98.29639472633714
UCT76_scaffold	NZ_CP161159.1_RagTag	53879	gb|CP124079.1|	lp54	Sh-2-82	53879	53843	99.13333215178207	56359	56360	[(48203, 49483), (47202, 48441), (1, 53842)]	[(47240, 48479), (39, 53879), (48241, 49521)]	[(1, 53842), (47202, 48441), (48203, 49483)]	104.60290651274151
UCT76_scaffold	NZ_CP161159.1_RagTag	53879	gb|CP094596.1|	lp54	B379	53879	53532	99.12161921391156	56057	56050	[(48057, 49337), (47056, 48295), (1, 53532)]	[(47240, 48479), (174, 53712), (48241, 49521)]	[(1, 53532), (47056, 48295), (48057, 49337)]	104.0423912841738
UCT76_scaffold	NZ_CP161159.1_RagTag	53879	gb|CP017218.1|	lp54	B331	53879	53759	98.38792538397492	56346	56329	[(5401, 6640), (4361, 5639), (42368, 53759), (37912, 42411), (2, 37924)]	[(11424, 15925), (39, 11428), (48241, 49521), (47240, 48479), (15942, 53879)]	[(37924, 2), (53759, 42368), (42411, 37912), (5639, 4361), (6640, 5401)]	104.57877837376344
UCT76_scaffold	NZ_CP161159.1_RagTag	53879	gb|CP074056.1|	lp54	B500	53879	53758	98.39118340154857	56336	56321	[(48121, 49399), (47120, 48359), (15836, 53758), (11349, 15840), (1, 11392)]	[(39, 11428), (48241, 49521), (11424, 15915), (47240, 48479), (15942, 53879)]	[(15836, 53758), (1, 11392), (11349, 15840), (48121, 49399), (47120, 48359)]	104.56021826685722
UCT76_scaffold	NZ_CP161159.1_RagTag	53879	gb|CP094577.1|	lp54	B408	53879	53561	98.36782590142948	56140	56121	[(47042, 48281), (48043, 49321), (15758, 53558), (11271, 15762), (1, 11314)]	[(48241, 49521), (11424, 15915), (47240, 48479), (15942, 53757), (113, 11428)]	[(15758, 53558), (1, 11314), (11271, 15762), (48043, 49321), (47042, 48281)]	104.19644017149538
UCT76_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP001267.1|	lp38	156a	30355	30302	99.65869208230028	31042	31049	[(1, 30302), (16680, 17052), (2943, 3319)]	[(16, 30310), (26993, 27369), (13266, 13638)]	[(30302, 1), (17052, 16680), (3319, 2943)]	102.26321858013507
UCT76_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP094595.1|	lp38	B379	30355	29988	99.78530999934942	30735	30735	[(1, 29988), (2661, 3037), (16392, 16764)]	[(26993, 27369), (13266, 13638), (42, 30029)]	[(29988, 1), (3037, 2661), (16764, 16392)]	101.25185307198154
UCT76_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP031409.1|	lp28-8	MM1	30355	28515	98.38242932403354	13455	13466	[(9465, 13134), (10374, 10718), (1, 9454)]	[(12385, 16046), (359, 9806), (27022, 27369)]	[(1, 9454), (9465, 13134), (10374, 10718)]	44.3254817987152
UCT76_scaffold	NZ_CP161160.1_RagTag	30355	gb|CP002325.1|	lp38	JD1	30355	27590	99.0810141432575	15306	15335	[(1, 7890), (10065, 14470), (13999, 14375), (7881, 10064), (22640, 23122)]	[(156, 8046), (7992, 10173), (12792, 13269), (13266, 13638), (23078, 27464)]	[(1, 7890), (10065, 14470), (7881, 10064), (23122, 22640), (13999, 14375)]	50.42332399934113
UCT76_scaffold	NZ_CP161160.1_RagTag	30355	gb|AE000787.1|	lp38	B31	30355	38829	88.77229030601012	13522	13550	[(31214, 32173), (25294, 26898), (10387, 13553), (16408, 23041), (3171, 4359)]	[(14955, 21558), (23185, 26335), (13231, 14403), (27571, 29209), (14955, 15914)]	[(23041, 16408), (13553, 10387), (25294, 26898), (32173, 31214), (3171, 4359)]	44.54620326140669
UCT76_scaffold	NZ_CP161161.1_RagTag	29311	gb|CP094588.1|	cp32-9	B379	29311	21173	95.78531445505433	15096	15139	[(1, 3943), (1, 1143), (12256, 12663), (8800, 9396), (2089, 3799), (5276, 5516), (10469, 11257), (11566, 11848), (8938, 9714), (15917, 21173)]	[(2461, 3603), (14854, 15136), (24937, 28879), (4271, 5977), (12235, 13011), (13766, 14548), (15544, 15951), (7454, 7694), (11542, 12134), (19709, 24936)]	[(15917, 21173), (1, 3943), (2089, 3799), (1, 1143), (8938, 9714), (10469, 11257), (12256, 12663), (8800, 9396), (11566, 11848), (5276, 5516)]	51.50284875985125
UCT76_scaffold	NZ_CP161161.1_RagTag	29311	gb|CP094583.1|	cp32-2	B379	29311	30302	95.48277038553394	14614	14600	[(8322, 9465), (24400, 26570), (10134, 11984), (19066, 19848), (22759, 23180), (6016, 6361), (17548, 18311), (7198, 11840), (16018, 17997), (28305, 28810)]	[(1, 346), (24936, 26079), (24432, 24935), (13766, 14548), (12235, 13011), (27025, 28879), (1336, 5977), (18068, 18489), (19709, 21879), (10155, 12134)]	[(7198, 11840), (16018, 17997), (24400, 26570), (10134, 11984), (8322, 9465), (19066, 19848), (17548, 18311), (28305, 28810), (22759, 23180), (6016, 6361)]	49.85841492954863
UCT76_scaffold	NZ_CP161161.1_RagTag	29311	gb|CP001263.1|	cp32-4	156a	29311	30300	95.32850703455811	14600	14585	[(19064, 19846), (10132, 11982), (7197, 11838), (28303, 28808), (17546, 18309), (16016, 17995), (29035, 29366), (8321, 9464), (22757, 23178), (24398, 26568)]	[(28980, 29311), (24936, 26079), (24432, 24935), (13766, 14548), (12235, 13011), (27025, 28879), (1336, 5977), (18068, 18489), (19709, 21879), (10155, 12134)]	[(7197, 11838), (16016, 17995), (24398, 26568), (10132, 11982), (8321, 9464), (19064, 19846), (17546, 18309), (28303, 28808), (22757, 23178), (29035, 29366)]	49.81065129132408
