assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords
UNY193P	contig_1 [gcode=11] [topology=linear]	910086	gb|CP124084.1|	chromosome	Am388	910086	910563	99.44495021213203	99.81705025678892	908421	908404	[(905185, 908764), (42, 904867)]	[(689, 908457), (12, 665)]	[(693, 904867), (905185, 908764), (438240, 441431), (434993, 438186), (213354, 214161), (213192, 213999), (42, 699), (213516, 214161), (213192, 213838), (213678, 214161)]
UNY193P	contig_1 [gcode=11] [topology=linear]	910086	gb|CP124092.1|	chromosome	Am293	910086	910655	99.45011945643242	99.81309458666544	908385	908536	[(1, 904957), (905275, 908855)]	[(692, 908457), (45, 665)]	[(213280, 904957), (623, 214087), (905275, 908855), (438328, 441519), (435081, 438274), (213118, 213926), (213442, 214249), (213604, 214249), (213118, 213764), (1, 625)]
UNY193P	contig_1 [gcode=11] [topology=linear]	910086	gb|CP094597.1|	chromosome	B31-5A4	910086	909655	99.44963238056043	99.73057491270055	907634	907778	[(1, 904199), (904517, 908097)]	[(823, 908457)]	[(212529, 904199), (1, 213337), (904517, 908097), (437577, 440768), (434330, 437523), (212691, 213498), (212367, 213175), (212853, 213498), (212367, 213013), (213015, 213498)]
UNY193P	contig_1 [gcode=11] [topology=linear]	910086	gb|CP005925.1|	chromosome	CA382	910086	910736	99.44286146525585	99.81672061761196	908418	908572	[(905353, 908933), (43, 905035)]	[(692, 908457), (12, 665)]	[(213356, 905035), (699, 214164), (905353, 908933), (438409, 441600), (435162, 438355), (213518, 214325), (213194, 214002), (43, 701), (213680, 214325), (213194, 213840)]
UNY193P	contig_1 [gcode=11] [topology=linear]	910086	gb|CP019916.1|	chromosome	PAbe	910086	910728	99.44458956442239	99.81672061761196	908418	908567	[(905348, 908928), (43, 905030)]	[(692, 908457), (12, 665)]	[(213353, 905030), (699, 214160), (905348, 908928), (438399, 441590), (435152, 438345), (213514, 214321), (213191, 213998), (43, 701), (213676, 214321), (213191, 213836)]
UNY193P	contig_2 [gcode=11] [topology=linear]	26511	gb|CP124081.1|	cp26	Am388	26511	26498	96.88945222842656	99.98868394251443	26508	26494	[(1, 12780), (12781, 26496)]	[(1, 12787), (12789, 26511)]	[(26496, 12781), (12780, 1), (20759, 19431), (19294, 17966)]
UNY193P	contig_2 [gcode=11] [topology=linear]	26511	gb|CP124085.1|	cp26	Am315	26511	26525	96.81713953249597	99.98868394251443	26508	26521	[(1, 12780), (12781, 26523)]	[(1, 12787), (12789, 26511)]	[(26523, 12781), (12780, 1), (19321, 17993), (20792, 19458)]
UNY193P	contig_2 [gcode=11] [topology=linear]	26511	gb|CP001271.1|	cp26	156a	26511	26522	96.98473543705934	99.98113990419071	26506	26517	[(12783, 26522), (4, 12782)]	[(1, 12782), (12786, 26511)]	[(26522, 12783), (12782, 4), (20782, 19454), (19317, 17982)]
UNY193P	contig_2 [gcode=11] [topology=linear]	26511	gb|CP001212.1|	cp26	ZS7	26511	26514	96.76988879384089	99.99245596167628	26509	26512	[(1, 12781), (12782, 26514)]	[(12788, 26511), (1, 12787)]	[(26514, 12782), (12781, 1), (19311, 17976), (20782, 19448)]
UNY193P	contig_2 [gcode=11] [topology=linear]	26511	gb|CP031398.1|	cp26	MM1	26511	26507	97.07866707763965	99.99245596167628	26509	26505	[(12741, 26507), (1, 12740)]	[(1, 12741), (12742, 26511)]	[(26507, 12741), (12740, 1), (20728, 19394), (19257, 17938)]
