contig_id	assembly_id	contig_len	plasmid_id_pf32	plasmid_name_pf32	strain_pf32	query_length_pf32	ref_length_pf32	overall_percent_identity_pf32	query_coverage_percent_pf32	query_covered_length_pf32	ref_covered_length_pf32	covered_intervals_pf32	query_intervals_pf32	subject_hit_coords_pf32	concat_call_pf32	multiple_loci_pf32	plasmid_id_wp	plasmid_name_wp	strain_wp	query_length_wp	ref_length_wp	overall_percent_identity_wp	query_coverage_percent_wp	query_covered_length_wp	ref_covered_length_wp	covered_intervals_wp	query_intervals_wp	subject_hit_coords_wp	_score_wp	final_call
contig_1 [gcode=11] [topology=linear]	UCT92H	906713	B379_chromosome_ParA_2	chromosome	B379	906713	380	100.0	0.12098646429465554	1097	365	[(1, 366)]	[(368517, 369614)]	[(1, 366)]		False	gb|CP124080.1|	chromosome	Sh-2-82	906713.0	907764	99.97590826390153	99.99988971151842	906712	906712	[(51, 906763)]	[(1, 906713)]	[(51, 906763), (438097, 441288), (434850, 438043), (213025, 213837), (213187, 213998), (213025, 213675), (213349, 213998), (213025, 213512), (213511, 213997), (213029, 213350)]	9997.579800199037	chromosome
contig_10 [gcode=11] [topology=linear]	UCT92H	30301	B379_cp32-2_ParA_1	cp32-2	B379	30301	251	100.0	2.481766278340649	752	250	[(1, 251)]	[(20544, 21296)]	[(1, 251)]		False	gb|CP094583.1|	cp32-2	B379	30301.0	30302	99.99669988779618	99.99339955777037	30299	30300	[(1, 12178), (12179, 30302)]	[(12178, 30301), (1, 12177)]	[(30302, 12179), (12178, 1)]	9999.009966338856	cp32-2
contig_11 [gcode=11] [topology=linear]	UCT92H	30285	RS00880_JD1_JD1_cp32-11_ParA_X	cp32-11	RS00880	30285	252	100.0	2.4929833250784217	755	251	[(1, 252)]	[(25939, 26694)]	[(1, 252)]		False	gb|CP094581.1|	cp32-11	B379	30285.0	30287	99.94387030739261	99.99339607066204	30283	30285	[(1, 17322), (17323, 30287)]	[(1, 17321), (17322, 30285)]	[(17322, 1), (30287, 17323)]	9993.72700848199	cp32-11
contig_12 [gcode=11] [topology=linear]	UCT92H	30263	RS07790_JD1_JD1_lp38_ParA_X	lp38	RS07790	30263	245	100.0	2.4254039586293494	734	244	[(1, 245)]	[(24791, 25525)]	[(1, 245)]		False	gb|CP001267.1|	lp38	156a	30263.0	30302	99.66473243068987	99.98017380960248	30257	30264	[(1, 30265)]	[(1, 30258)]	[(30265, 1), (17052, 16680), (3319, 2943)]	9964.497271107897	lp38
contig_13 [gcode=11] [topology=linear]	UCT92H	30262	S35_B31_cp32-3_ParA_X	cp32-3	S35	30262	246	100.0	2.435397528253255	737	245	[(1, 246)]	[(25774, 26511)]	[(1, 246)]		False	gb|CP094584.1|	cp32-3	B379	30262.0	30263	99.91078214321118	99.9933910514837	30260	30261	[(1, 17669), (17670, 30263)]	[(1, 17669), (17670, 30262)]	[(17669, 1), (30263, 17670)]	9990.41790910571	cp32-3
contig_14 [gcode=11] [topology=linear]	UCT92H	27932	I21_B31_lp28-4_ParA_X	lp28-4	I21	27932	250	100.0	2.6815122440211945	749	249	[(1, 250)]	[(14634, 15383)]	[(1, 250)]		False	gb|CP001272.1|	lp28-4	156a	27932.0	29501	98.32701728440706	99.99641987684377	27931	27688	[(1796, 29484)]	[(1, 27932)]	[(29484, 8826), (9567, 1796), (24779, 23598), (25870, 24662), (9572, 10358), (18574, 19366)]	9832.349705609244	lp28-4
contig_15 [gcode=11] [topology=linear]	UCT92H	26514	JD1_cp26_ParA_1	cp26	JD1	26514	253	100.0	2.8588670136531644	758	252	[(1, 253)]	[(16074, 16832)]	[(1, 253)]		False	gb|CP124077.1|	cp26	Sh-2-82	26514.0	26514	98.24705560120515	99.9924568152674	26512	26512	[(26105, 26514), (1, 26104)]	[(26105, 26514), (1, 26104)]	[(26104, 1), (19310, 17971), (20775, 19438), (26514, 26105)]	9823.96446443068	cp26
contig_16 [gcode=11] [topology=linear]	UCT92H	26061	H28_B31_lp28-3_ParA_X	lp28-3	H28	26061	251	100.0	2.8855377767545374	752	250	[(1, 251)]	[(16965, 17717)]	[(1, 251)]		False	gb|CP094590.1|	lp28-3	B379	26061.0	28768	99.5657994717227	99.99616284870112	26060	26060	[(1064, 27124)]	[(1, 26061)]	[(1064, 27124), (5417, 5954), (8358, 8895), (10046, 10295), (10100, 10349)]	9956.197898135502	lp28-3
contig_17 [gcode=11] [topology=linear]	UCT92H	26016	RS01665_B31_NRZ_p_lp28-1_ParA_X	lp28-1	RS01665	26016	249	100.0	2.8674661746617467	746	248	[(1, 249)]	[(12408, 13154)]	[(1, 249)]		False	gb|CP017214.1|	lp28-11	B331	26016.0	23104	99.6554786962022	82.53766912669127	21473	21475	[(1362, 22837)]	[(4543, 26016)]	[(22837, 1362), (12698, 10404), (13009, 10715), (12387, 10406), (13009, 11028), (12076, 10404), (13009, 11337), (11765, 10404), (13009, 11648), (11454, 10404)]	8225.330927289167	lp28-1
contig_18 [gcode=11] [topology=linear]	UCT92H	25601	RS07610_JD1_JD1_lp28-6_ParA_X	lp28-6	RS07610	25601	251	100.0	2.937385258388344	752	250	[(1, 251)]	[(23595, 24347)]	[(1, 251)]		False	gb|CP094593.1|	lp28-6	B379	25601.0	26653	99.91351181350002	99.33596343892816	25431	25006	[(1647, 26653)]	[(1, 416), (585, 25601)]	[(26653, 1647), (26237, 26653)]	9925.004956560755	lp28-6
