assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UWI227_scaffold	contig_1_RagTag	905200	gb|CP124080.1|	chromosome	Sh-2-82	905200	907764	99.78692475375908	834346	834382	[(780944, 847912), (450668, 492026), (628722, 741317), (741304, 775274), (869665, 903220), (245428, 442276), (80738, 213675), (492013, 556768), (556585, 628727), (9, 79263)]	[(245271, 442111), (491982, 556725), (1, 79251), (741451, 775380), (556491, 628652), (781221, 848195), (450523, 491881), (870067, 903622), (80902, 213841), (628753, 741350)]	[(245428, 442276), (80738, 213675), (628722, 741317), (9, 79263), (556585, 628727), (780944, 847912), (492013, 556768), (450668, 492026), (741304, 775274), (869665, 903220)]	92.17255855059655
UWI227_scaffold	contig_1_RagTag	905200	gb|CP094579.1|	chromosome	B379	905200	920773	99.78636116232956	834017	834053	[(491676, 556431), (740967, 774937), (80401, 213338), (1, 78926), (450331, 491689), (556248, 628390), (780607, 847575), (628385, 740980), (245091, 441939), (869328, 902883)]	[(245271, 442111), (491982, 556725), (741451, 775380), (870067, 903622), (556491, 628652), (781221, 848195), (450523, 491881), (330, 79251), (80902, 213841), (628753, 741350)]	[(245091, 441939), (80401, 213338), (628385, 740980), (1, 78926), (556248, 628390), (780607, 847575), (491676, 556431), (450331, 491689), (740967, 774937), (869328, 902883)]	92.13621299160405
UWI227_scaffold	contig_1_RagTag	905200	gb|CP124084.1|	chromosome	Am388	905200	910563	99.49203029943155	816640	816676	[(245592, 442419), (741487, 781196), (628891, 741500), (869915, 903470), (450810, 492172), (492159, 556913), (80892, 213838), (781184, 844834), (20319, 79417), (556730, 628896)]	[(245271, 442111), (491982, 556725), (741451, 781120), (20151, 79251), (556491, 628652), (450523, 491881), (870067, 903622), (80902, 213841), (781221, 844899), (628753, 741350)]	[(245592, 442419), (80892, 213838), (628891, 741500), (556730, 628896), (492159, 556913), (781184, 844834), (20319, 79417), (450810, 492172), (741487, 781196), (869915, 903470)]	90.21652673442333
UWI227_scaffold	contig_1_RagTag	905200	gb|CP094597.1|	chromosome	B31-5A4	905200	909655	99.49545839092731	816640	816671	[(450147, 491509), (491496, 556250), (740828, 780537), (780525, 844166), (80067, 213013), (628228, 740841), (244929, 441756), (556067, 628233), (19494, 78592), (869247, 902802)]	[(245271, 442111), (491982, 556725), (741451, 781120), (20151, 79251), (556491, 628652), (450523, 491881), (870067, 903622), (80902, 213841), (781221, 844899), (628753, 741350)]	[(244929, 441756), (80067, 213013), (628228, 740841), (556067, 628233), (491496, 556250), (780525, 844166), (19494, 78592), (450147, 491509), (740828, 780537), (869247, 902802)]	90.21652673442333
UWI227_scaffold	contig_1_RagTag	905200	gb|CP124092.1|	chromosome	Am293	905200	910655	99.4963147971302	816640	816678	[(741578, 781287), (628979, 741591), (20246, 79344), (450898, 492260), (870006, 903561), (492247, 557001), (556818, 628984), (781275, 844925), (80819, 213764), (245680, 442507)]	[(245271, 442111), (491982, 556725), (741451, 781120), (20151, 79251), (556491, 628652), (450523, 491881), (870067, 903622), (80902, 213841), (781221, 844899), (628753, 741350)]	[(245680, 442507), (80819, 213764), (628979, 741591), (556818, 628984), (492247, 557001), (781275, 844925), (20246, 79344), (450898, 492260), (741578, 781287), (870006, 903561)]	90.21652673442333
UWI227_scaffold	contig_10_RagTag	17761	gb|CP001258.1|	lp17	156a	17761	17849	99.96068520078629	17802	17801	[(3693, 17849), (1, 3646)]	[(4, 3649), (3570, 17727)]	[(3693, 17849), (1, 3646)]	100.2308428579472
UWI227_scaffold	contig_10_RagTag	17761	gb|CP124078.1|	lp17	Sh-2-82	17761	17944	99.82605768151723	17816	17806	[(1, 14160), (14291, 17938)]	[(3570, 17738), (1, 3649)]	[(14160, 1), (17938, 14291)]	100.30966724846576
UWI227_scaffold	contig_10_RagTag	17761	gb|CP094589.1|	lp17	B379	17761	17965	99.83683114837113	17767	17759	[(14285, 17933), (1, 14112)]	[(3570, 17689), (1, 3649)]	[(14112, 1), (17933, 14285)]	100.03378188165082
UWI227_scaffold	contig_10_RagTag	17761	gb|CP002313.1|	lp17	JD1	17761	17522	98.85857778792375	17505	17495	[(1, 13874), (13900, 17522)]	[(3570, 17450), (24, 3649)]	[(13874, 1), (17522, 13900)]	98.5586397162322
UWI227_scaffold	contig_10_RagTag	17761	gb|CP124102.1|	lp17	NE_5248	17761	17282	98.4248284466625	12807	12799	[(13635, 15715), (15814, 17276), (4755, 5256), (5123, 13609), (4616, 4886)]	[(1562, 3649), (12293, 12565), (11926, 12426), (3570, 12057), (1, 1462)]	[(13609, 5123), (15715, 13635), (17276, 15814), (4755, 5256), (4886, 4616)]	72.10742638364957
