assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
URI43_scaffold	contig_1_RagTag	910886	NE_5261_chromosome_ParA_2	chromosome	NE_5261	910886	380	100.0	1097	365	[(1, 366)]	[(368948, 370045)]	[(1, 366)]	0.12043219458856542
URI43_scaffold	contig_1_RagTag	910886	B379_chromosome_ParA_2	chromosome	B379	910886	380	99.4535519125683	1097	365	[(1, 366)]	[(368948, 370045)]	[(1, 366)]	0.12043219458856542
URI43_scaffold	contig_1_RagTag	910886	80a_chromosome_ParA_2	chromosome	80a	910886	380	99.4535519125683	1097	365	[(1, 366)]	[(368948, 370045)]	[(1, 366)]	0.12043219458856542
URI43_scaffold	contig_1_RagTag	910886	B500_chromosome_ParA_2	chromosome	B500	910886	380	99.45054945054946	1091	363	[(1, 364)]	[(368948, 370039)]	[(1, 364)]	0.11977349525626697
URI43_scaffold	contig_1_RagTag	910886	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	910886	380	99.17582417582418	1091	363	[(1, 364)]	[(368948, 370039)]	[(1, 364)]	0.11977349525626697
URI43_scaffold	contig_10_RagTag	30053	N32_B31_cp32-9_ParA_X	cp32-9	N32	30053	251	100.0	743	247	[(1, 248)]	[(20358, 21101)]	[(1, 248)]	2.4722989385419094
URI43_scaffold	contig_10_RagTag	30053	RS01730_MM1_plsm_cp32-9_ParA_X	cp32-9	RS01730	30053	251	99.59677419354838	743	247	[(1, 248)]	[(20358, 21101)]	[(1, 248)]	2.4722989385419094
URI43_scaffold	contig_11_RagTag	30581	RS01165_B31_NRZ_p_cp32-4_ParA_X	cp32-4	RS01165	30581	251	100.0	752	250	[(1, 251)]	[(27805, 28557)]	[(1, 251)]	2.4590431967561557
URI43_scaffold	contig_11_RagTag	30581	RS06370_72a_72a_cp32-1_ParA_X	cp32-1	RS06370	30581	251	99.60159362549801	752	250	[(1, 251)]	[(27805, 28557)]	[(1, 251)]	2.4590431967561557
URI43_scaffold	contig_11_RagTag	30581	RS02205_MM1_plsm_cp32-4_ParA_X	cp32-4	RS02205	30581	251	99.20318725099602	752	250	[(1, 251)]	[(27805, 28557)]	[(1, 251)]	2.4590431967561557
URI43_scaffold	contig_11_RagTag	30581	RS05205_B331_B331_cp32_4_ParA_X	cp32-4	RS05205	30581	251	99.20318725099602	752	250	[(1, 251)]	[(27805, 28557)]	[(1, 251)]	2.4590431967561557
URI43_scaffold	contig_11_RagTag	30581	B379_cp32-2_ParA_1	cp32-2	B379	30581	251	98.80478087649402	752	250	[(1, 251)]	[(27805, 28557)]	[(1, 251)]	2.4590431967561557
URI43_scaffold	contig_13_RagTag	45498	H28_B31_lp28-3_ParA_X	lp28-3	H28	45498	251	100.0	1504	250	[(1, 251)]	[(16396, 17148), (36985, 37737)]	[(1, 251), (1, 251)]	3.305639808343224
URI43_scaffold	contig_13_RagTag	45498	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	45498	251	99.60159362549801	1504	250	[(1, 251)]	[(16396, 17148), (36985, 37737)]	[(1, 251), (1, 251)]	3.305639808343224
