assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UWI247	NODE_1_length_97902_cov_13.6474	97902	B379_chromosome_ParA_2	chromosome	B379	97902	380	100.0	1097	365	[(1, 366)]	[(54338, 55435)]	[(1, 366)]	1.1205082633654062
UWI247	NODE_1_length_97902_cov_13.6474	97902	80a_chromosome_ParA_2	chromosome	80a	97902	380	99.4535519125683	1097	365	[(1, 366)]	[(54338, 55435)]	[(1, 366)]	1.1205082633654062
UWI247	NODE_1_length_97902_cov_13.6474	97902	NE_5261_chromosome_ParA_2	chromosome	NE_5261	97902	380	99.4535519125683	1097	365	[(1, 366)]	[(54338, 55435)]	[(1, 366)]	1.1205082633654062
UWI247	NODE_1_length_97902_cov_13.6474	97902	B500_chromosome_ParA_2	chromosome	B500	97902	380	99.45054945054946	1091	363	[(1, 364)]	[(54344, 55435)]	[(1, 364)]	1.1143796858082573
UWI247	NODE_1_length_97902_cov_13.6474	97902	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	97902	380	99.17582417582418	1091	363	[(1, 364)]	[(54344, 55435)]	[(1, 364)]	1.1143796858082573
UWI247	NODE_2_length_74532_cov_12.6745	74532	RS04285_29805_29805_lp54_ParA_X	lp54	RS04285	74532	323	100.0	968	322	[(1, 323)]	[(43187, 44155)]	[(1, 323)]	1.2987709976922663
UWI247	NODE_2_length_74532_cov_12.6745	74532	RS01390_WI91-23_WI91-23_lp56_ParA_X	lp56	RS01390	74532	323	99.69040247678018	968	322	[(1, 323)]	[(43187, 44155)]	[(1, 323)]	1.2987709976922663
UWI247	NODE_2_length_74532_cov_12.6745	74532	NE_5261_chromosome_ParA_4	chromosome	NE_5261	74532	323	99.38080495356037	968	322	[(1, 323)]	[(43187, 44155)]	[(1, 323)]	1.2987709976922663
UWI247	NODE_2_length_74532_cov_12.6745	74532	B379_chromosome_ParA_4	chromosome	B379	74532	323	99.69040247678018	968	322	[(1, 323)]	[(43187, 44155)]	[(1, 323)]	1.2987709976922663
UWI247	NODE_11_length_27320_cov_13.8351	27320	RS03755_WI91-23_WI91-23_lp56_ParA_X	lp56	RS03755	27320	295	100.0	884	294	[(1, 295)]	[(12027, 12911)]	[(1, 295)]	3.2357247437774523
UWI247	NODE_11_length_27320_cov_13.8351	27320	B379_chromosome_ParA_1	chromosome	B379	27320	295	99.66101694915255	884	294	[(1, 295)]	[(12027, 12911)]	[(1, 295)]	3.2357247437774523
UWI247	NODE_17_length_21849_cov_28.4764	21849	RS07790_JD1_JD1_lp38_ParA_X	lp38	RS07790	21849	245	100.0	734	244	[(1, 245)]	[(4749, 5483)]	[(1, 245)]	3.3594214838207694
UWI247	NODE_17_length_21849_cov_28.4764	21849	RS05780_N40_N40_lp38_ParA_X	lp38	RS05780	21849	245	93.06122448979592	734	244	[(1, 245)]	[(4749, 5483)]	[(1, 245)]	3.3594214838207694
UWI247	NODE_17_length_21849_cov_28.4764	21849	RS04825_29805_29805_lp38_ParA_X	lp38	RS04825	21849	245	92.65306122448979	734	244	[(1, 245)]	[(4749, 5483)]	[(1, 245)]	3.3594214838207694
UWI247	NODE_17_length_21849_cov_28.4764	21849	RS06690_B331_B331_lp38_ParA_X	lp38	RS06690	21849	245	91.42857142857143	734	244	[(1, 245)]	[(4749, 5483)]	[(1, 245)]	3.3594214838207694
UWI247	NODE_17_length_21849_cov_28.4764	21849	J17_B31_lp38_ParA_X	lp38	J17	21849	245	91.83673469387756	734	244	[(1, 245)]	[(4749, 5483)]	[(1, 245)]	3.3594214838207694
UWI247	NODE_24_length_16984_cov_14.0092	16984	H28_B31_lp28-3_ParA_X	lp28-3	H28	16984	251	100.0	752	250	[(1, 251)]	[(8526, 9278)]	[(1, 251)]	4.4276966556759305
UWI247	NODE_24_length_16984_cov_14.0092	16984	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	16984	251	99.60159362549801	752	250	[(1, 251)]	[(8526, 9278)]	[(1, 251)]	4.4276966556759305
UWI247	NODE_24_length_16984_cov_14.0092	16984	RS06760_Bol26_Bol26_lp28-3_ParA_X	lp28-3	RS06760	16984	251	97.60956175298804	752	250	[(1, 251)]	[(8526, 9278)]	[(1, 251)]	4.4276966556759305
