assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords
XYZ459H	contig_1 [gcode=11] [topology=linear]	903233	gb|CP124096.1|	chromosome	NE_5267	903233	910422	99.39999934354414	99.988596519392	903130	903202	[(51, 903253)]	[(676, 903158), (1, 649)]	[(213350, 903253), (698, 214156), (435131, 438324), (438378, 441569), (213183, 213994), (213512, 214317), (51, 700), (213183, 213832), (213674, 214317), (213183, 213670)]
XYZ459H	contig_1 [gcode=11] [topology=linear]	903233	gb|CP124100.1|	chromosome	NE_5261	903233	910422	99.40010875285421	99.988596519392	903130	903203	[(50, 903253)]	[(676, 903158), (1, 649)]	[(213351, 903253), (698, 214157), (435132, 438325), (438379, 441570), (213184, 213995), (213513, 214318), (50, 700), (213184, 213833), (213675, 214318), (213184, 213671)]
XYZ459H	contig_1 [gcode=11] [topology=linear]	903233	gb|CP002228.1|	chromosome	N40	903233	902191	99.4743326759289	99.96080745499776	902879	902100	[(19951, 902101), (1, 19951)]	[(20306, 903233), (197, 20149)]	[(212838, 843612), (19951, 213156), (843264, 902101), (1, 19951), (437231, 440422), (433984, 437177), (212838, 213156), (212838, 213156), (212838, 213156), (843297, 843612)]
XYZ459H	contig_1 [gcode=11] [topology=linear]	903233	gb|CP124080.1|	chromosome	Sh-2-82	903233	907764	99.38820729285837	99.97055023454635	902967	903008	[(20159, 903028), (20, 20159)]	[(1, 20149), (20306, 775354), (775387, 903158)]	[(20159, 556708), (556645, 775274), (775249, 903028), (20, 20159), (434850, 438043), (438097, 441288), (213025, 213837), (213192, 213997), (213025, 213675), (213354, 213997)]
XYZ459H	contig_1 [gcode=11] [topology=linear]	903233	gb|CP094579.1|	chromosome	B379	903233	920773	99.38843250614417	99.93534337208672	902649	902690	[(19822, 902691), (1, 19822)]	[(20306, 775354), (319, 20149), (775387, 903158)]	[(19822, 556371), (556308, 774937), (774912, 902691), (1, 19822), (434513, 437706), (437760, 440951), (212688, 213500), (212855, 213660), (212688, 213338), (213017, 213660)]
XYZ459H	contig_2 [gcode=11] [topology=linear]	32754	gb|CP001497.1|	lp17	94a	32754	18110	88.2051282051282	11.24442816144593	3683	3636	[(1281, 3850), (105, 1172)]	[(6522, 7604), (8119, 10720)]	[(1281, 3850), (105, 1172)]
XYZ459H	contig_2 [gcode=11] [topology=linear]	32754	gb|CP124078.1|	lp17	Sh-2-82	32754	17944	87.82435129740519	10.639921841607132	3485	3440	[(1234, 3824), (274, 1124)]	[(6740, 7604), (8119, 10740)]	[(1234, 3824), (274, 1124)]
XYZ459H	contig_2 [gcode=11] [topology=linear]	32754	gb|CP094589.1|	lp17	B379	32754	17965	87.82435129740519	10.639921841607132	3485	3440	[(1185, 3775), (225, 1075)]	[(6740, 7604), (8119, 10740)]	[(1185, 3775), (225, 1075)]
XYZ459H	contig_2 [gcode=11] [topology=linear]	32754	gb|CP002313.1|	lp17	JD1	32754	17522	87.83629078420148	10.59717897050742	3471	3432	[(1, 841), (951, 3543)]	[(6754, 7604), (8119, 10740)]	[(951, 3543), (1, 841)]
XYZ459H	contig_2 [gcode=11] [topology=linear]	32754	gb|CP001258.1|	lp17	156a	32754	17849	87.81392694063926	10.630762654942908	3482	3437	[(14036, 16623), (16736, 17586)]	[(6740, 7604), (8122, 10740)]	[(16623, 14036), (17586, 16736)]
XYZ459H	contig_3 [gcode=11] [topology=linear]	30559	gb|CP094611.1|	lp28-3	B31-5A4	30559	28332	95.84526220236017	86.54733466409242	26448	22700	[(25943, 26445), (3734, 25932)]	[(7186, 26220), (29511, 29988), (26286, 29449), (172, 3946)]	[(3734, 22774), (22770, 25932), (3734, 7511), (8146, 8683), (25943, 26445), (5205, 5742), (8141, 8683), (9834, 10083), (9888, 10137)]
XYZ459H	contig_3 [gcode=11] [topology=linear]	30559	gb|AE000784.1|	lp28-3	B31	30559	28601	95.84177082605963	86.54733466409242	26448	22700	[(26123, 26625), (3914, 26112)]	[(7186, 26220), (29511, 29988), (26286, 29449), (172, 3946)]	[(3914, 22954), (22950, 26112), (3914, 7691), (8326, 8863), (26123, 26625), (5385, 5922), (8321, 8863), (10014, 10263), (10068, 10317)]
XYZ459H	contig_3 [gcode=11] [topology=linear]	30559	gb|CP002314.1|	lp28-3	JD1	30559	28797	95.76191307383488	86.54733466409242	26448	22707	[(26134, 26636), (3918, 26123)]	[(7186, 26220), (29511, 29988), (26286, 29449), (172, 3946)]	[(3918, 22965), (22961, 26123), (3918, 7695), (26134, 26636), (8331, 8868), (5389, 5926), (8326, 8868), (10019, 10268), (10073, 10322)]
XYZ459H	contig_3 [gcode=11] [topology=linear]	30559	gb|CP001203.1|	lp28-3	ZS7	30559	28414	95.76570218772054	86.54733466409242	26448	22645	[(1952, 2454), (2465, 24608)]	[(7186, 26220), (29511, 29988), (26286, 29449), (172, 3946)]	[(18508, 5621), (24608, 18259), (5625, 2465), (24608, 20831), (2454, 1952), (20196, 19659), (23137, 22600), (20201, 19659)]
XYZ459H	contig_3 [gcode=11] [topology=linear]	30559	gb|CP031402.1|	lp28-3	MM1	30559	26768	95.56397451351816	86.75022088419124	26510	22803	[(3241, 26044)]	[(7186, 26220), (26286, 29988), (172, 3946)]	[(9386, 22354), (3241, 9635), (22350, 26044), (3241, 7018), (7652, 8189), (4712, 5249), (7647, 8189), (9332, 9581), (9440, 9689)]
XYZ459H	contig_4 [gcode=11] [topology=linear]	30542	gb|CP001257.1|	lp54	156a	30542	53885	98.28236785703504	99.86575862746382	30501	25263	[(28622, 53885)]	[(5321, 30542), (2, 5282)]	[(53885, 28622), (48605, 53885), (48505, 47266), (49546, 48267)]
