assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
ESI322	NODE_1_length_468968_cov_102.498429	468968	RS01390_WI91-23_WI91-23_lp56_ParA_X	lp56	RS01390	468968	323	100.0	968	322	[(1, 323)]	[(322842, 323810)]	[(1, 323)]	0.20641067194350146
ESI322	NODE_1_length_468968_cov_102.498429	468968	NE_5261_chromosome_ParA_4	chromosome	NE_5261	468968	323	99.69040247678018	968	322	[(1, 323)]	[(322842, 323810)]	[(1, 323)]	0.20641067194350146
ESI322	NODE_1_length_468968_cov_102.498429	468968	RS04285_29805_29805_lp54_ParA_X	lp54	RS04285	468968	323	99.69040247678018	968	322	[(1, 323)]	[(322842, 323810)]	[(1, 323)]	0.20641067194350146
ESI322	NODE_1_length_468968_cov_102.498429	468968	B379_chromosome_ParA_4	chromosome	B379	468968	323	99.38080495356037	968	322	[(1, 323)]	[(322842, 323810)]	[(1, 323)]	0.20641067194350146
ESI322	NODE_1_length_468968_cov_102.498429	468968	RS03465_29805_29805_lp54_ParA_X	lp54	RS03465	468968	250	100.0	749	249	[(1, 250)]	[(7978, 8727)]	[(1, 250)]	0.15971238975793658
ESI322	NODE_2_length_435184_cov_101.166324	435184	B379_chromosome_ParA_2	chromosome	B379	435184	380	99.72677595628416	1097	365	[(1, 366)]	[(368557, 369654)]	[(1, 366)]	0.252077282253024
ESI322	NODE_2_length_435184_cov_101.166324	435184	80a_chromosome_ParA_2	chromosome	80a	435184	380	99.72677595628416	1097	365	[(1, 366)]	[(368557, 369654)]	[(1, 366)]	0.252077282253024
ESI322	NODE_2_length_435184_cov_101.166324	435184	NE_5261_chromosome_ParA_2	chromosome	NE_5261	435184	380	99.72677595628416	1097	365	[(1, 366)]	[(368557, 369654)]	[(1, 366)]	0.252077282253024
ESI322	NODE_2_length_435184_cov_101.166324	435184	B500_chromosome_ParA_2	chromosome	B500	435184	380	99.72527472527473	1091	363	[(1, 364)]	[(368557, 369648)]	[(1, 364)]	0.2506985550939373
ESI322	NODE_2_length_435184_cov_101.166324	435184	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	435184	380	99.45054945054946	1091	363	[(1, 364)]	[(368557, 369648)]	[(1, 364)]	0.2506985550939373
ESI322	NODE_3_length_52931_cov_139.013855	52931	A20_B31_lp54_ParA_X	lp54	A20	52931	250	100.0	749	249	[(1, 250)]	[(38578, 39327)]	[(1, 250)]	1.4150497817913887
ESI322	NODE_4_length_28489_cov_45.485523	28489	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	28489	250	99.6	749	249	[(1, 250)]	[(14883, 15632)]	[(1, 250)]	2.6290849099652496
ESI322	NODE_4_length_28489_cov_45.485523	28489	RS05970_CA-11.2A_CA-11.2A_lp36-28-4_ParA_X	lp36-28-4	RS05970	28489	250	99.2	749	249	[(1, 250)]	[(14883, 15632)]	[(1, 250)]	2.6290849099652496
ESI322	NODE_4_length_28489_cov_45.485523	28489	I21_B31_lp28-4_ParA_X	lp28-4	I21	28489	250	98.4	749	249	[(1, 250)]	[(14883, 15632)]	[(1, 250)]	2.6290849099652496
ESI322	NODE_5_length_26613_cov_173.879762	26613	MM1_cp26_ParA_1	cp26	MM1	26613	253	100.0	758	252	[(1, 253)]	[(3313, 4071)]	[(1, 253)]	2.8482320670349077
ESI322	NODE_5_length_26613_cov_173.879762	26613	RS00680_MM1_plsm_cp26_ParA_X	cp26	RS00680	26613	253	99.60474308300395	758	252	[(1, 253)]	[(3313, 4071)]	[(1, 253)]	2.8482320670349077
ESI322	NODE_5_length_26613_cov_173.879762	26613	94a_cp26_ParA_1	cp26	94a	26613	253	99.60474308300395	758	252	[(1, 253)]	[(3313, 4071)]	[(1, 253)]	2.8482320670349077
ESI322	NODE_5_length_26613_cov_173.879762	26613	RS05455_72a_72a_cp26_ParA_X	cp26	RS05455	26613	253	99.2094861660079	758	252	[(1, 253)]	[(3313, 4071)]	[(1, 253)]	2.8482320670349077
ESI322	NODE_5_length_26613_cov_173.879762	26613	NE_5261_cp26_ParA_1	cp26	NE_5261	26613	253	99.60474308300395	758	252	[(1, 253)]	[(3313, 4071)]	[(1, 253)]	2.8482320670349077
ESI322	NODE_6_length_25603_cov_38.943107	25603	RS210_MM1_plsm_lp28-8_ParA_X	lp28-8	RS210	25603	271	100.0	812	270	[(1, 271)]	[(9352, 10164)]	[(1, 271)]	3.1715033394524075
ESI322	NODE_6_length_25603_cov_38.943107	25603	CA_28_91_lp28-8_ParA_X	lp28-8	CA	25603	271	85.60885608856088	812	270	[(1, 271)]	[(9352, 10164)]	[(1, 271)]	3.1715033394524075
ESI322	NODE_8_length_16707_cov_109.993919	16707	RS01730_MM1_plsm_cp32-9_ParA_X	cp32-9	RS01730	16707	251	99.59677419354838	743	247	[(1, 248)]	[(14213, 14956)]	[(1, 248)]	4.4472376848027775
ESI322	NODE_8_length_16707_cov_109.993919	16707	N32_B31_cp32-9_ParA_X	cp32-9	N32	16707	251	99.19354838709677	743	247	[(1, 248)]	[(14213, 14956)]	[(1, 248)]	4.4472376848027775
ESI322	NODE_10_length_10120_cov_117.456342	10120	O32_B31_cp32-7_ParA_X	cp32-7	O32	10120	249	100.0	746	248	[(1, 249)]	[(3093, 3839)]	[(1, 249)]	7.371541501976285
ESI322	NODE_10_length_10120_cov_117.456342	10120	RS06545_29805_29805_cp32-7_ParA_X	cp32-7	RS06545	10120	249	100.0	743	247	[(1, 248)]	[(3096, 3839)]	[(1, 248)]	7.341897233201582
ESI322	NODE_11_length_7537_cov_116.311912	7537	Q40_B31_lp56_ParA_X	lp56	Q40	7537	251	99.60159362549801	752	250	[(1, 251)]	[(4568, 5320)]	[(1, 251)]	9.977444606607405
ESI322	NODE_11_length_7537_cov_116.311912	7537	RS05810_94a_94a_cp32-10_ParA_X	cp32-10	RS05810	7537	251	99.20318725099602	752	250	[(1, 251)]	[(4568, 5320)]	[(1, 251)]	9.977444606607405
ESI322	NODE_11_length_7537_cov_116.311912	7537	RS06365_N40_N40_cp32-10_ParA_X	cp32-10	RS06365	7537	251	99.20318725099602	752	250	[(1, 251)]	[(4568, 5320)]	[(1, 251)]	9.977444606607405
ESI322	NODE_11_length_7537_cov_116.311912	7537	RS06010_72a_72a_cp32-10_ParA_X	cp32-10	RS06010	7537	251	98.80478087649402	752	250	[(1, 251)]	[(4568, 5320)]	[(1, 251)]	9.977444606607405
ESI322	NODE_11_length_7537_cov_116.311912	7537	RS05285_CA-11.2A_CA-11.2A_cp32-10_ParA_X	cp32-10	RS05285	7537	251	98.40637450199203	752	250	[(1, 251)]	[(4568, 5320)]	[(1, 251)]	9.977444606607405
ESI322	NODE_12_length_6685_cov_177.222442	6685	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	6685	257	100.0	770	256	[(1, 257)]	[(1386, 2156)]	[(1, 257)]	11.518324607329843
ESI322	NODE_12_length_6685_cov_177.222442	6685	RS06275_WI91-23_WI91-23_cp32-5_ParA_X	cp32-5	RS06275	6685	257	99.61089494163424	770	256	[(1, 257)]	[(1386, 2156)]	[(1, 257)]	11.518324607329843
ESI322	NODE_12_length_6685_cov_177.222442	6685	RS05610_72a_72a_cp32-5_ParA_X	cp32-5	RS05610	6685	257	99.61089494163424	770	256	[(1, 257)]	[(1386, 2156)]	[(1, 257)]	11.518324607329843
ESI322	NODE_12_length_6685_cov_177.222442	6685	B500_cp32-5_ParA_1	cp32-5	B500	6685	257	99.22178988326849	770	256	[(1, 257)]	[(1386, 2156)]	[(1, 257)]	11.518324607329843
ESI322	NODE_12_length_6685_cov_177.222442	6685	RS06160_118a_118a_cp32-5_ParA_X	cp32-5	RS06160	6685	257	99.22178988326849	770	256	[(1, 257)]	[(1386, 2156)]	[(1, 257)]	11.518324607329843
ESI322	NODE_18_length_3765_cov_182.841789	3765	RS06485_N40_N40_lp17_ParA_X	lp17	RS06485	3765	246	99.58677685950413	725	241	[(1, 242)]	[(112, 837)]	[(1, 242)]	19.256308100929616
ESI322	NODE_18_length_3765_cov_182.841789	3765	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	3765	246	100.0	725	241	[(1, 242)]	[(112, 837)]	[(1, 242)]	19.256308100929616
