assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
ESI314_scaffold	contig_1_RagTag	910646	gb|CP124088.1|	chromosome	Am315	910646	910229	99.65312890533576	904971	905733	[(441058, 909593), (213125, 213490), (213449, 213814), (212963, 213326), (213799, 435245), (437813, 438136), (909594, 909928), (438014, 438490), (1, 213164), (213287, 213650)]	[(792, 469309), (475122, 696565), (697038, 697401), (697036, 697401), (697038, 910186), (457, 791), (472231, 472554), (475122, 475600)]	[(909593, 441058), (435245, 213799), (213164, 1), (438490, 438014), (213490, 213125), (213326, 212963), (213650, 213287), (213814, 213449), (438136, 437813), (909594, 909928)]	99.37681601851872
ESI314_scaffold	contig_1_RagTag	910646	gb|CP124096.1|	chromosome	NE_5267	910646	910422	99.9131158617096	904686	905747	[(213507, 213872), (441422, 844840), (213345, 213710), (213831, 214196), (438378, 438854), (213669, 214034), (909754, 910088), (63, 213548), (844464, 909610), (214181, 435609)]	[(475122, 696565), (697036, 697401), (1076, 66222), (697036, 910526), (457, 791), (65879, 469309), (475122, 475600)]	[(844840, 441422), (435609, 214181), (213548, 63), (909610, 844464), (438854, 438378), (213710, 213345), (214196, 213831), (213872, 213507), (214034, 213669), (909754, 910088)]	99.3455195542505
ESI314_scaffold	contig_1_RagTag	910646	gb|CP124100.1|	chromosome	NE_5261	910646	910422	99.9132262608688	904686	905748	[(441423, 844840), (214182, 435610), (438379, 438855), (213346, 213711), (213832, 214197), (213670, 214035), (213508, 213873), (909754, 910088), (844464, 909610), (62, 213549)]	[(475122, 696565), (697036, 697401), (1076, 66222), (697036, 910526), (457, 791), (65879, 469309), (475122, 475600)]	[(844840, 441423), (435610, 214182), (213549, 62), (909610, 844464), (438855, 438379), (213711, 213346), (214197, 213832), (213873, 213508), (214035, 213670), (909754, 910088)]	99.3455195542505
ESI314_scaffold	contig_1_RagTag	910646	gb|CP001205.1|	chromosome	ZS7	910646	906707	99.94784956810162	904680	904992	[(437539, 553112), (906094, 906428), (213047, 213412), (213559, 434971), (15, 138039), (138037, 213250), (213209, 213574), (552989, 906093), (213371, 213695), (906429, 906707)]	[(475122, 696565), (792, 353918), (772501, 910526), (697036, 697401), (697076, 697401), (697036, 772249), (457, 791), (353738, 469309), (178, 456)]	[(906093, 552989), (434971, 213559), (138039, 15), (553112, 437539), (213250, 138037), (213412, 213047), (213574, 213209), (906094, 906428), (213695, 213371), (906707, 906429)]	99.34486068131854
ESI314_scaffold	contig_1_RagTag	910646	gb|CP019767.1|	chromosome	B31_NRZ	910646	909921	99.66198725442469	905772	905775	[(63, 213512), (843812, 844188), (909621, 909903), (437592, 438068), (909286, 909620), (437391, 437714), (556142, 909285), (440636, 556205), (213376, 434823), (843845, 844221)]	[(475122, 696565), (792, 353918), (457, 791), (697076, 910526), (472231, 472554), (353738, 469309), (161, 456), (65879, 66255), (475122, 475600), (65846, 66222)]	[(909285, 556142), (434823, 213376), (213512, 63), (556205, 440636), (438068, 437592), (909286, 909620), (437714, 437391), (844188, 843812), (844221, 843845), (909903, 909621)]	99.46477555493573
ESI314_scaffold	contig_106_RagTag	860	gb|CP001269.1|	cp32-8	156a	860	30946	99.05913978494624	742	742	[(30472, 30946), (30671, 30939)]	[(591, 859), (16, 490)]	[(30946, 30472), (30939, 30671)]	86.27906976744187
ESI314_scaffold	contig_106_RagTag	860	gb|CP001200.1|	cp32-12	ZS7	860	29806	99.05913978494624	742	742	[(29332, 29806), (29531, 29799)]	[(591, 859), (16, 490)]	[(29806, 29332), (29799, 29531)]	86.27906976744187
ESI314_scaffold	contig_106_RagTag	860	gb|CP002311.1|	cp32-8	JD1	860	31085	99.05913978494624	742	742	[(30611, 31085), (30810, 31078)]	[(591, 859), (16, 490)]	[(31085, 30611), (31078, 30810)]	86.27906976744187
ESI314_scaffold	contig_106_RagTag	860	gb|CP002240.1|	cp32-10	N40	860	30154	98.38709677419355	742	742	[(29879, 30147), (29680, 30154)]	[(591, 859), (16, 490)]	[(30154, 29680), (30147, 29879)]	86.27906976744187
ESI314_scaffold	contig_106_RagTag	860	gb|CP094582.1|	cp32-12	B379	860	30796	98.65591397849462	742	742	[(30521, 30789), (30322, 30796)]	[(591, 859), (16, 490)]	[(30796, 30322), (30789, 30521)]	86.27906976744187
ESI314_scaffold	contig_107_RagTag	280	gb|AE001576.1|	cp32-3	B31	280	30223	100.0	279	279	[(1025, 1304)]	[(1, 280)]	[(1304, 1025)]	99.64285714285714
ESI314_scaffold	contig_107_RagTag	280	gb|CP019758.1|	cp32-3	B31_NRZ	280	30222	100.0	279	279	[(1025, 1304)]	[(1, 280)]	[(1304, 1025)]	99.64285714285714
ESI314_scaffold	contig_107_RagTag	280	gb|CP017205.1|	cp32-11	B331	280	30176	100.0	279	279	[(1028, 1307)]	[(1, 280)]	[(1307, 1028)]	99.64285714285714
ESI314_scaffold	contig_107_RagTag	280	gb|CP094563.1|	cp32-1	B408	280	30177	100.0	279	279	[(1028, 1307)]	[(1, 280)]	[(1307, 1028)]	99.64285714285714
ESI314_scaffold	contig_107_RagTag	280	gb|CP001572.1|	cp32-5	Bol26	280	30186	100.0	279	279	[(1025, 1304)]	[(1, 280)]	[(1304, 1025)]	99.64285714285714
ESI314_scaffold	contig_109_RagTag	249	gb|CP001201.1|	lp36	ZS7	249	36852	100.0	244	244	[(1, 245)]	[(1, 245)]	[(245, 1)]	97.99196787148594
ESI314_scaffold	contig_109_RagTag	249	gb|CP001567.1|	lp36	Bol26	249	36936	99.19678714859438	248	248	[(16, 264)]	[(1, 249)]	[(264, 16)]	99.59839357429718
