assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UCT69	NODE_1_length_459690_cov_101.501370	459690	RS01390_WI91-23_WI91-23_lp56_ParA_X	lp56	RS01390	459690	323	100.0	968	322	[(1, 323)]	[(322970, 323938)]	[(1, 323)]	0.2105766929887533
UCT69	NODE_1_length_459690_cov_101.501370	459690	NE_5261_chromosome_ParA_4	chromosome	NE_5261	459690	323	99.69040247678018	968	322	[(1, 323)]	[(322970, 323938)]	[(1, 323)]	0.2105766929887533
UCT69	NODE_1_length_459690_cov_101.501370	459690	RS04285_29805_29805_lp54_ParA_X	lp54	RS04285	459690	323	99.69040247678018	968	322	[(1, 323)]	[(322970, 323938)]	[(1, 323)]	0.2105766929887533
UCT69	NODE_1_length_459690_cov_101.501370	459690	B379_chromosome_ParA_4	chromosome	B379	459690	323	99.38080495356037	968	322	[(1, 323)]	[(322970, 323938)]	[(1, 323)]	0.2105766929887533
UCT69	NODE_1_length_459690_cov_101.501370	459690	RS03465_29805_29805_lp54_ParA_X	lp54	RS03465	459690	250	100.0	749	249	[(1, 250)]	[(8146, 8895)]	[(1, 250)]	0.16293589157910768
UCT69	NODE_2_length_221294_cov_102.160580	221294	NE_5261_chromosome_ParA_2	chromosome	NE_5261	221294	380	100.0	1097	365	[(1, 366)]	[(65293, 66390)]	[(1, 366)]	0.4957206250508373
UCT69	NODE_2_length_221294_cov_102.160580	221294	B379_chromosome_ParA_2	chromosome	B379	221294	380	99.4535519125683	1097	365	[(1, 366)]	[(65293, 66390)]	[(1, 366)]	0.4957206250508373
UCT69	NODE_2_length_221294_cov_102.160580	221294	80a_chromosome_ParA_2	chromosome	80a	221294	380	99.4535519125683	1097	365	[(1, 366)]	[(65293, 66390)]	[(1, 366)]	0.4957206250508373
UCT69	NODE_2_length_221294_cov_102.160580	221294	B500_chromosome_ParA_2	chromosome	B500	221294	380	99.45054945054946	1091	363	[(1, 364)]	[(65299, 66390)]	[(1, 364)]	0.49300929984545444
UCT69	NODE_2_length_221294_cov_102.160580	221294	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	221294	380	99.17582417582418	1091	363	[(1, 364)]	[(65299, 66390)]	[(1, 364)]	0.49300929984545444
