assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UNY217_scaffold	NZ_CP031397.1_RagTag	52841	A20_B31_lp54_ParA_X	lp54	A20	52841	250	100.0	749	249	[(1, 250)]	[(13588, 14337)]	[(1, 250)]	1.4174599269506634
UNY217_scaffold	NZ_CP031400.1_RagTag	14733	RS06485_N40_N40_lp17_ParA_X	lp17	RS06485	14733	246	99.58677685950413	725	241	[(1, 242)]	[(11172, 11897)]	[(1, 242)]	4.920925812801195
UNY217_scaffold	NZ_CP031400.1_RagTag	14733	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	14733	246	100.0	725	241	[(1, 242)]	[(11172, 11897)]	[(1, 242)]	4.920925812801195
UNY217_scaffold	NZ_CP031401.1_RagTag	26021	RS00670_JD1_JD1_lp25_ParA_X	lp25	RS00670	26021	252	99.60317460317461	755	251	[(1, 252)]	[(11866, 12621)]	[(1, 252)]	2.901502632489143
UNY217_scaffold	NZ_CP031401.1_RagTag	26021	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	26021	252	98.01587301587301	755	251	[(1, 252)]	[(11866, 12621)]	[(1, 252)]	2.901502632489143
UNY217_scaffold	NZ_CP031401.1_RagTag	26021	RS05540_29805_29805_lp25_ParA_X	lp25	RS05540	26021	252	97.61904761904762	755	251	[(1, 252)]	[(11866, 12621)]	[(1, 252)]	2.901502632489143
UNY217_scaffold	NZ_CP031402.1_RagTag	27461	H28_B31_lp28-3_ParA_X	lp28-3	H28	27461	251	100.0	752	250	[(1, 251)]	[(17969, 18721)]	[(1, 251)]	2.7384290448272095
UNY217_scaffold	NZ_CP031402.1_RagTag	27461	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	27461	251	99.60159362549801	752	250	[(1, 251)]	[(17969, 18721)]	[(1, 251)]	2.7384290448272095
UNY217_scaffold	NZ_CP031402.1_RagTag	27461	RS06760_Bol26_Bol26_lp28-3_ParA_X	lp28-3	RS06760	27461	251	97.60956175298804	752	250	[(1, 251)]	[(17969, 18721)]	[(1, 251)]	2.7384290448272095
UNY217_scaffold	NZ_CP031402.1_RagTag	27461	RS07610_JD1_JD1_lp28-6_ParA_X	lp28-6	RS07610	27461	251	71.71314741035857	752	250	[(1, 251)]	[(17969, 18721)]	[(1, 251)]	2.7384290448272095
