assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094597.1 Borreliella burgdorferi strain B31-5A4 chromosome 1	909655	NE_5261_chromosome_ParA_2	chromosome	NE_5261	909655	380	100.0	1097	365	[(1, 366)]	[(368060, 369157)]	[(1, 366)]	0.12059517069658277
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094597.1 Borreliella burgdorferi strain B31-5A4 chromosome 1	909655	B379_chromosome_ParA_2	chromosome	B379	909655	380	99.4535519125683	1097	365	[(1, 366)]	[(368060, 369157)]	[(1, 366)]	0.12059517069658277
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094597.1 Borreliella burgdorferi strain B31-5A4 chromosome 1	909655	80a_chromosome_ParA_2	chromosome	80a	909655	380	99.4535519125683	1097	365	[(1, 366)]	[(368060, 369157)]	[(1, 366)]	0.12059517069658277
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094597.1 Borreliella burgdorferi strain B31-5A4 chromosome 1	909655	B500_chromosome_ParA_2	chromosome	B500	909655	380	99.45054945054946	1091	363	[(1, 364)]	[(368060, 369151)]	[(1, 364)]	0.11993557997262698
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094597.1 Borreliella burgdorferi strain B31-5A4 chromosome 1	909655	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	909655	380	99.17582417582418	1091	363	[(1, 364)]	[(368060, 369151)]	[(1, 364)]	0.11993557997262698
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094607.1 Borreliella burgdorferi strain B31-5A4 plasmid p17, complete sequence	16850	RS06485_N40_N40_lp17_ParA_X	lp17	RS06485	16850	246	99.58677685950413	725	241	[(1, 242)]	[(13394, 14119)]	[(1, 242)]	4.302670623145401
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094607.1 Borreliella burgdorferi strain B31-5A4 plasmid p17, complete sequence	16850	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	16850	246	100.0	725	241	[(1, 242)]	[(13394, 14119)]	[(1, 242)]	4.302670623145401
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094608.1 Borreliella burgdorferi strain B31-5A4 plasmid p21, complete sequence	18211	U05_B31_lp21_ParA_X	lp21	U05	18211	262	100.0	785	261	[(1, 262)]	[(2489, 3274)]	[(1, 262)]	4.310581516665751
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094608.1 Borreliella burgdorferi strain B31-5A4 plasmid p21, complete sequence	18211	B379_chromosome_ParA_5	chromosome	B379	18211	262	99.61832061068702	785	261	[(1, 262)]	[(2489, 3274)]	[(1, 262)]	4.310581516665751
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094608.1 Borreliella burgdorferi strain B31-5A4 plasmid p21, complete sequence	18211	HO14_NovelPFam32_DatabaseShortContig_ParA_X	HO14_NovelPFam32	HO14	18211	250	81.85483870967742	743	247	[(1, 248)]	[(2489, 3232)]	[(1, 248)]	4.079951677557521
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094608.1 Borreliella burgdorferi strain B31-5A4 plasmid p21, complete sequence	18211	K21_B31_lp36_ParA_X	lp36	K21	18211	249	65.4471544715447	737	245	[(4, 249)]	[(2495, 3232)]	[(4, 249)]	4.047004557684915
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094608.1 Borreliella burgdorferi strain B31-5A4 plasmid p21, complete sequence	18211	RS01335_MM1_plsm_lp36_ParA_X	lp36	RS01335	18211	249	65.04065040650406	737	245	[(4, 249)]	[(2495, 3232)]	[(4, 249)]	4.047004557684915
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094617.1 Borreliella burgdorferi strain B31-5A4 plasmid p25, complete sequence	24404	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	24404	252	100.0	755	251	[(1, 252)]	[(12160, 12915)]	[(1, 252)]	3.0937551221111295
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094617.1 Borreliella burgdorferi strain B31-5A4 plasmid p25, complete sequence	24404	RS05540_29805_29805_lp25_ParA_X	lp25	RS05540	24404	252	99.60317460317461	755	251	[(1, 252)]	[(12160, 12915)]	[(1, 252)]	3.0937551221111295
