assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UNY196	NODE_1_length_18746_cov_13.2083	18746	gb|CP017201.2|	chromosome	B331	18746	903654	100.0	18745	18745	[(297232, 315977)]	[(1, 18746)]	[(297232, 315977)]	99.99466552864611
UNY196	NODE_1_length_18746_cov_13.2083	18746	gb|CP094561.1|	chromosome	B408	18746	903249	100.0	18745	18745	[(297036, 315781)]	[(1, 18746)]	[(297036, 315781)]	99.99466552864611
UNY196	NODE_1_length_18746_cov_13.2083	18746	gb|CP074054.1|	chromosome	B500	18746	903660	100.0	18745	18745	[(297230, 315975)]	[(1, 18746)]	[(297230, 315975)]	99.99466552864611
UNY196	NODE_1_length_18746_cov_13.2083	18746	gb|CP002228.1|	chromosome	N40	18746	902191	99.61591806252001	18745	18745	[(295999, 314744)]	[(1, 18746)]	[(295999, 314744)]	99.99466552864611
UNY196	NODE_1_length_18746_cov_13.2083	18746	gb|CP124080.1|	chromosome	Sh-2-82	18746	907764	99.54125993492292	18745	18746	[(296856, 315602)]	[(1, 18746)]	[(296856, 315602)]	99.99466552864611
UNY196	NODE_2_length_17156_cov_11.9214	17156	gb|CP017201.2|	chromosome	B331	17156	903654	100.0	17155	17155	[(278994, 296149)]	[(1, 17156)]	[(278994, 296149)]	99.99417113546282
UNY196	NODE_2_length_17156_cov_11.9214	17156	gb|CP094561.1|	chromosome	B408	17156	903249	100.0	17155	17155	[(278798, 295953)]	[(1, 17156)]	[(278798, 295953)]	99.99417113546282
UNY196	NODE_2_length_17156_cov_11.9214	17156	gb|CP074054.1|	chromosome	B500	17156	903660	100.0	17155	17155	[(278992, 296147)]	[(1, 17156)]	[(278992, 296147)]	99.99417113546282
UNY196	NODE_2_length_17156_cov_11.9214	17156	gb|CP002228.1|	chromosome	N40	17156	902191	99.5570062951737	17155	17155	[(277761, 294916)]	[(1, 17156)]	[(277761, 294916)]	99.99417113546282
UNY196	NODE_2_length_17156_cov_11.9214	17156	gb|CP031412.1|	chromosome	MM1	17156	908512	99.50454651433901	17155	17154	[(278634, 295788)]	[(1, 17156)]	[(278634, 295788)]	99.99417113546282
