assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UNY174	NODE_1_length_535372_cov_312.551	535372	NE_5261_chromosome_ParA_2	chromosome	NE_5261	535372	380	100.0	1097	365	[(1, 366)]	[(241284, 242381)]	[(1, 366)]	0.20490425349103053
UNY174	NODE_1_length_535372_cov_312.551	535372	B379_chromosome_ParA_2	chromosome	B379	535372	380	99.4535519125683	1097	365	[(1, 366)]	[(241284, 242381)]	[(1, 366)]	0.20490425349103053
UNY174	NODE_1_length_535372_cov_312.551	535372	80a_chromosome_ParA_2	chromosome	80a	535372	380	99.4535519125683	1097	365	[(1, 366)]	[(241284, 242381)]	[(1, 366)]	0.20490425349103053
UNY174	NODE_1_length_535372_cov_312.551	535372	B500_chromosome_ParA_2	chromosome	B500	535372	380	99.45054945054946	1091	363	[(1, 364)]	[(241284, 242375)]	[(1, 364)]	0.20378353742818078
UNY174	NODE_1_length_535372_cov_312.551	535372	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	535372	380	99.17582417582418	1091	363	[(1, 364)]	[(241284, 242375)]	[(1, 364)]	0.20378353742818078
UNY174	NODE_2_length_238027_cov_238.067	238027	RS01390_WI91-23_WI91-23_lp56_ParA_X	lp56	RS01390	238027	323	100.0	968	322	[(1, 323)]	[(101257, 102225)]	[(1, 323)]	0.40667655350023313
UNY174	NODE_2_length_238027_cov_238.067	238027	NE_5261_chromosome_ParA_4	chromosome	NE_5261	238027	323	99.69040247678018	968	322	[(1, 323)]	[(101257, 102225)]	[(1, 323)]	0.40667655350023313
UNY174	NODE_2_length_238027_cov_238.067	238027	RS04285_29805_29805_lp54_ParA_X	lp54	RS04285	238027	323	99.69040247678018	968	322	[(1, 323)]	[(101257, 102225)]	[(1, 323)]	0.40667655350023313
UNY174	NODE_2_length_238027_cov_238.067	238027	B379_chromosome_ParA_4	chromosome	B379	238027	323	99.38080495356037	968	322	[(1, 323)]	[(101257, 102225)]	[(1, 323)]	0.40667655350023313
UNY174	NODE_4_length_53558_cov_383.044	53558	A20_B31_lp54_ParA_X	lp54	A20	53558	250	100.0	749	249	[(1, 250)]	[(39217, 39966)]	[(1, 250)]	1.3984838866275813
UNY174	NODE_5_length_40752_cov_736.853	40752	F24_B31_lp28-1_ParA_X	lp28-1	F24	40752	254	100.0	761	253	[(1, 254)]	[(12049, 12810)]	[(1, 254)]	1.867393011385944
UNY174	NODE_5_length_40752_cov_736.853	40752	RS06670_WI91-23_WI91-23_lp28-1_ParA_X	lp28-1	RS06670	40752	254	99.60629921259843	761	253	[(1, 254)]	[(12049, 12810)]	[(1, 254)]	1.867393011385944
UNY174	NODE_5_length_40752_cov_736.853	40752	RS00365_JD1_JD1_lp28-1_ParA_X	lp28-1	RS00365	40752	254	99.60629921259843	761	253	[(1, 254)]	[(12049, 12810)]	[(1, 254)]	1.867393011385944
UNY174	NODE_5_length_40752_cov_736.853	40752	RS06485_N40_N40_lp17_ParA_X	lp17	RS06485	40752	246	99.58677685950413	725	241	[(1, 242)]	[(29096, 29821)]	[(1, 242)]	1.779053788771103
UNY174	NODE_5_length_40752_cov_736.853	40752	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	40752	246	100.0	725	241	[(1, 242)]	[(29096, 29821)]	[(1, 242)]	1.779053788771103
UNY174	NODE_6_length_36882_cov_1052.43	36882	K21_B31_lp36_ParA_X	lp36	K21	36882	249	100.0	728	242	[(1, 243)]	[(13627, 14355)]	[(1, 243)]	1.973862588796703
UNY174	NODE_6_length_36882_cov_1052.43	36882	RS01335_MM1_plsm_lp36_ParA_X	lp36	RS01335	36882	249	99.58847736625515	728	242	[(1, 243)]	[(13627, 14355)]	[(1, 243)]	1.973862588796703
UNY174	NODE_6_length_36882_cov_1052.43	36882	RS06330_29805_29805_lp36_ParA_X	lp36	RS06330	36882	249	94.23868312757202	728	242	[(1, 243)]	[(13627, 14355)]	[(1, 243)]	1.973862588796703
UNY174	NODE_7_length_30013_cov_464.237	30013	RS06245_ZS7_ZS7_lp28-2_ParA_X	lp28-2	RS06245	30013	255	100.0	764	254	[(1, 255)]	[(23201, 23965)]	[(1, 255)]	2.545563589111385
