contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	UNY1128P	709546	gb|CP002312.1|	chromosome	JD1	709546	922801	99.95472162857246	99.92121722904506	708987	709207	[(213490, 213712), (213816, 922801)]	[(1, 708988)]	[(213816, 922801), (434883, 438077), (438131, 441322), (911198, 911616), (912586, 913004), (844342, 844690), (844375, 844723), (844338, 844657), (844404, 844723), (213490, 213712)]	9987.597452917316
contig_10 [gcode=11] [topology=linear]	UNY1128P	27055	gb|CP002324.1|	lp28-6	JD1	27055	26981	99.77021718182492	99.69691369432637	26973	26979	[(2, 26981)]	[(1, 26974)]	[(2, 26981)]	9946.782731640596
contig_100 [gcode=11] [topology=linear]	UNY1128P	244	gb|CP002323.1|	cp32-10	JD1	244	30314	100.0	99.59016393442623	243	243	[(5003, 5246)]	[(1, 244)]	[(5246, 5003)]	9959.016393442624
contig_101 [gcode=11] [topology=linear]	UNY1128P	240	gb|CP002309.1|	cp32-11	JD1	240	29902	99.58333333333333	99.58333333333333	239	239	[(14769, 15008)]	[(1, 240)]	[(14769, 15008)]	9916.840277777777
contig_102 [gcode=11] [topology=linear]	UNY1128P	240	gb|AE001576.1|	cp32-3	B31	240	30223	99.58333333333333	99.58333333333333	239	239	[(2506, 2745)]	[(1, 240)]	[(2506, 2745)]	9916.840277777777
contig_104 [gcode=11] [topology=linear]	UNY1128P	232	gb|CP002321.1|	cp32-12	JD1	232	30019	100.0	99.56896551724138	231	231	[(4880, 5111)]	[(1, 232)]	[(5111, 4880)]	9956.896551724138
contig_105 [gcode=11] [topology=linear]	UNY1128P	228	gb|CP094588.1|	cp32-9	B379	228	21173	99.12280701754386	99.56140350877193	227	227	[(9821, 10048)]	[(1, 228)]	[(9821, 10048)]	9868.805786395815
contig_106 [gcode=11] [topology=linear]	UNY1128P	228	gb|CP002310.1|	cp32-1+5	JD1	228	60739	98.90350877192982	99.56140350877193	227	454	[(18063, 18290), (48681, 48908)]	[(1, 228)]	[(18063, 18290), (48681, 48908)]	9846.97214527547
contig_107 [gcode=11] [topology=linear]	UNY1128P	225	gb|CP002235.1|	cp32-4	N40	225	15915	99.55555555555556	99.55555555555556	224	224	[(739, 963)]	[(1, 225)]	[(963, 739)]	9911.308641975309
contig_108 [gcode=11] [topology=linear]	UNY1128P	225	gb|CP002322.1|	cp32-9	JD1	225	30697	100.0	99.55555555555556	224	224	[(7416, 7640)]	[(1, 225)]	[(7640, 7416)]	9955.555555555557
contig_109 [gcode=11] [topology=linear]	UNY1128P	222	gb|CP002325.1|	lp38	JD1	222	27590	98.06306306306305	99.54954954954955	221	1860	[(17089, 17560), (22105, 22389), (18656, 18877), (20345, 20566), (16650, 16871), (19906, 20127), (15146, 15367)]	[(1, 222)]	[(16650, 16871), (19906, 20127), (17089, 17310), (20345, 20566), (17152, 17373), (15146, 15367), (18656, 18877), (22105, 22326), (22168, 22389), (17341, 17560)]	9762.133755376999
contig_11 [gcode=11] [topology=linear]	UNY1128P	25158	gb|CP002316.1|	cp26	JD1	25158	26525	99.0451486786211	99.9920502424676	25156	26392	[(19453, 26525), (1, 19321)]	[(6311, 25158), (1, 6310)]	[(1, 18849), (20216, 26525), (19453, 20314), (18751, 19321)]	9903.727482945354
contig_110 [gcode=11] [topology=linear]	UNY1128P	221	gb|CP002321.1|	cp32-12	JD1	221	30019	99.5475113122172	99.5475113122172	220	220	[(29458, 29678)]	[(1, 221)]	[(29458, 29678)]	9909.707008456011
contig_111 [gcode=11] [topology=linear]	UNY1128P	221	gb|CP074070.1|	cp32-8	B500	221	29890	99.09502262443439	99.5475113122172	220	220	[(29329, 29549)]	[(1, 221)]	[(29329, 29549)]	9864.6628856903
contig_112 [gcode=11] [topology=linear]	UNY1128P	221	gb|CP094583.1|	cp32-2	B379	221	30302	100.0	99.5475113122172	220	220	[(29741, 29961)]	[(1, 221)]	[(29961, 29741)]	9954.75113122172
contig_113 [gcode=11] [topology=linear]	UNY1128P	220	gb|AE001584.1|	lp56	B31	220	52971	100.0	99.54545454545455	219	219	[(8766, 8985)]	[(1, 220)]	[(8766, 8985)]	9954.545454545454
