# Annotated with Bakta
# Software: v1.10.0
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
NZ_CP019767.1	cds	114	677	+	EIIANL_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51035
NZ_CP019767.1	cds	768	1796	-	EIIANL_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O54536
NZ_CP019767.1	cds	1784	3250	-	EIIANL_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00017F46ED
NZ_CP019767.1	cds	3396	5189	+	EIIANL_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51037
NZ_CP019767.1	cds	5252	6307	-	EIIANL_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0009F216F9
NZ_CP019767.1	cds	6310	7398	-	EIIANL_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51039
NZ_CP019767.1	cds	7459	8316	-	EIIANL_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51040
NZ_CP019767.1	cds	8428	9198	+	EIIANL_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51041
NZ_CP019767.1	cds	9203	10207	+	EIIANL_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51042
NZ_CP019767.1	cds	10204	10578	+	EIIANL_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51043
NZ_CP019767.1	cds	10582	11421	+	EIIANL_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51044
NZ_CP019767.1	cds	11422	12162	+	EIIANL_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70830
NZ_CP019767.1	cds	12155	12754	+	EIIANL_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51046
NZ_CP019767.1	cds	12747	14729	+	EIIANL_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q45032
NZ_CP019767.1	cds	14726	15346	-	EIIANL_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q59190
NZ_CP019767.1	cds	15346	15723	-	EIIANL_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q5W610
NZ_CP019767.1	cds	15996	16805	+	EIIANL_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51049
NZ_CP019767.1	cds	16808	17788	-	EIIANL_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70870
NZ_CP019767.1	cds	17793	18305	-	EIIANL_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51051
NZ_CP019767.1	cds	18313	19980	-	EIIANL_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3C4C8
NZ_CP019767.1	cds	20052	20483	-	EIIANL_00021	149.0	8.7e-44	0.958	0.979	0.555	UniRef:UniRef90_A0A940B393
NZ_CP019767.1	cds	20446	21084	-	EIIANL_00022	367.0	7.4e-127	0.991	0.811	0.905	UniRef:UniRef90_UPI000D03CB29
NZ_CP019767.1	cds	21059	22102	-	EIIANL_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70828
NZ_CP019767.1	cds	22147	22740	-	EIIANL_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70827
NZ_CP019767.1	cds	22820	23959	+	EIIANL_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51055
NZ_CP019767.1	cds	23966	24697	-	EIIANL_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51056
NZ_CP019767.1	cds	24698	25603	-	EIIANL_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003845F7E
NZ_CP019767.1	cds	25754	26392	+	EIIANL_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51058
NZ_CP019767.1	cds	26400	27449	+	EIIANL_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51059
NZ_CP019767.1	cds	27435	27866	-	EIIANL_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51060
NZ_CP019767.1	cds	27856	28491	-	EIIANL_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51061
NZ_CP019767.1	cds	28493	29473	-	EIIANL_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51062
NZ_CP019767.1	cds	29544	31016	+	EIIANL_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003845F87
NZ_CP019767.1	cds	31028	31480	+	EIIANL_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51064
NZ_CP019767.1	cds	31551	32090	-	EIIANL_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7BSC0
NZ_CP019767.1	cds	32158	34038	-	EIIANL_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51066
NZ_CP019767.1	cds	34038	35837	-	EIIANL_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q59189
NZ_CP019767.1	cds	35858	36610	-	EIIANL_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360E
NZ_CP019767.1	cds	36607	38121	-	EIIANL_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0009F2059B
