assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UCT69_scaffold	contig_1_RagTag	904847	NE_5261_chromosome_ParA_2	chromosome	NE_5261	904847	380	100.0	1097	365	[(1, 366)]	[(534971, 536068)]	[(1, 366)]	0.12123596585942154
UCT69_scaffold	contig_1_RagTag	904847	B379_chromosome_ParA_2	chromosome	B379	904847	380	99.4535519125683	1097	365	[(1, 366)]	[(534971, 536068)]	[(1, 366)]	0.12123596585942154
UCT69_scaffold	contig_1_RagTag	904847	80a_chromosome_ParA_2	chromosome	80a	904847	380	99.4535519125683	1097	365	[(1, 366)]	[(534971, 536068)]	[(1, 366)]	0.12123596585942154
UCT69_scaffold	contig_1_RagTag	904847	B500_chromosome_ParA_2	chromosome	B500	904847	380	99.45054945054946	1091	363	[(1, 364)]	[(534977, 536068)]	[(1, 364)]	0.12057287033056417
UCT69_scaffold	contig_1_RagTag	904847	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	904847	380	99.17582417582418	1091	363	[(1, 364)]	[(534977, 536068)]	[(1, 364)]	0.12057287033056417
UCT69_scaffold	contig_10_RagTag	16806	RS00670_JD1_JD1_lp25_ParA_X	lp25	RS00670	16806	252	100.0	755	251	[(1, 252)]	[(6625, 7380)]	[(1, 252)]	4.492443175056528
UCT69_scaffold	contig_10_RagTag	16806	RS00040_ZS7_ZS7_lp25_ParA_X	lp25	RS00040	16806	252	98.4126984126984	755	251	[(1, 252)]	[(6625, 7380)]	[(1, 252)]	4.492443175056528
UCT69_scaffold	contig_10_RagTag	16806	RS05540_29805_29805_lp25_ParA_X	lp25	RS05540	16806	252	98.01587301587301	755	251	[(1, 252)]	[(6625, 7380)]	[(1, 252)]	4.492443175056528
UCT69_scaffold	contig_13_RagTag	8182	O32_B31_cp32-7_ParA_X	cp32-7	O32	8182	249	100.0	746	248	[(1, 249)]	[(1585, 2331)]	[(1, 249)]	9.117575164996333
UCT69_scaffold	contig_13_RagTag	8182	RS06545_29805_29805_cp32-7_ParA_X	cp32-7	RS06545	8182	249	100.0	743	247	[(1, 248)]	[(1588, 2331)]	[(1, 248)]	9.080909313126375
UCT69_scaffold	contig_19_RagTag	23555	RS06425_B331_B331_lp28_6_ParA_X	lp28-6	RS06425	23555	251	99.60159362549801	752	250	[(1, 251)]	[(21585, 22337)]	[(1, 251)]	3.192528125663341
UCT69_scaffold	contig_19_RagTag	23555	RS07610_JD1_JD1_lp28-6_ParA_X	lp28-6	RS07610	23555	251	100.0	752	250	[(1, 251)]	[(21585, 22337)]	[(1, 251)]	3.192528125663341
UCT69_scaffold	contig_19_RagTag	23555	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	23555	251	72.11155378486056	752	250	[(1, 251)]	[(21585, 22337)]	[(1, 251)]	3.192528125663341
UCT69_scaffold	contig_19_RagTag	23555	H28_B31_lp28-3_ParA_X	lp28-3	H28	23555	251	71.71314741035857	752	250	[(1, 251)]	[(21585, 22337)]	[(1, 251)]	3.192528125663341
UCT69_scaffold	contig_19_RagTag	23555	RS06760_Bol26_Bol26_lp28-3_ParA_X	lp28-3	RS06760	23555	251	71.71314741035857	752	250	[(1, 251)]	[(21585, 22337)]	[(1, 251)]	3.192528125663341
UCT69_scaffold	contig_2_RagTag	53571	A20_B31_lp54_ParA_X	lp54	A20	53571	250	100.0	749	249	[(1, 250)]	[(39217, 39966)]	[(1, 250)]	1.3981445184894814
UCT69_scaffold	contig_24_RagTag	2221	RS01165_B31_NRZ_p_cp32-4_ParA_X	cp32-4	RS01165	2221	251	100.0	752	250	[(1, 251)]	[(1239, 1991)]	[(1, 251)]	33.858622242233224
UCT69_scaffold	contig_24_RagTag	2221	RS06370_72a_72a_cp32-1_ParA_X	cp32-1	RS06370	2221	251	99.60159362549801	752	250	[(1, 251)]	[(1239, 1991)]	[(1, 251)]	33.858622242233224
UCT69_scaffold	contig_24_RagTag	2221	RS02205_MM1_plsm_cp32-4_ParA_X	cp32-4	RS02205	2221	251	99.20318725099602	752	250	[(1, 251)]	[(1239, 1991)]	[(1, 251)]	33.858622242233224
UCT69_scaffold	contig_24_RagTag	2221	RS05205_B331_B331_cp32_4_ParA_X	cp32-4	RS05205	2221	251	99.20318725099602	752	250	[(1, 251)]	[(1239, 1991)]	[(1, 251)]	33.858622242233224
UCT69_scaffold	contig_24_RagTag	2221	B379_cp32-2_ParA_1	cp32-2	B379	2221	251	98.80478087649402	752	250	[(1, 251)]	[(1239, 1991)]	[(1, 251)]	33.858622242233224
UCT69_scaffold	contig_25_RagTag	7859	RS06415_JD1_JD1_lp28-5_ParA_X	lp28-5	RS06415	7859	250	100.0	749	249	[(1, 250)]	[(2060, 2809)]	[(1, 250)]	9.530474615090977
UCT69_scaffold	contig_25_RagTag	7859	B379_lp28-5_ParA_1	lp28-5	B379	7859	247	100.0	737	245	[(1, 246)]	[(2060, 2797)]	[(1, 246)]	9.377783433006744
UCT69_scaffold	contig_25_RagTag	7859	RS05390_N40_N40_lp28-5_ParA_X	lp28-5	RS05390	7859	245	96.73469387755102	734	244	[(1, 245)]	[(2060, 2794)]	[(1, 245)]	9.339610637485684
UCT69_scaffold	contig_27_RagTag	2761	L32_B31_cp32-8_ParA_X	cp32-8	L32	2761	246	100.0	737	245	[(1, 246)]	[(1954, 2691)]	[(1, 246)]	26.693227091633464
UCT69_scaffold	contig_27_RagTag	2761	RS01500_JD1_JD1_cp32-8_ParA_X	cp32-8	RS01500	2761	246	99.59349593495935	737	245	[(1, 246)]	[(1954, 2691)]	[(1, 246)]	26.693227091633464
UCT69_scaffold	contig_27_RagTag	2761	RS04445_118a_118a_cp32-8_ParA_X	cp32-8	RS04445	2761	246	99.59349593495935	737	245	[(1, 246)]	[(1954, 2691)]	[(1, 246)]	26.693227091633464
UCT69_scaffold	contig_27_RagTag	2761	RS06035_N40_N40_cp32-12_ParA_X	cp32-12	RS06035	2761	260	79.45736434108527	773	257	[(1, 258)]	[(1918, 2691)]	[(1, 258)]	27.997102499094527
UCT69_scaffold	contig_27_RagTag	2761	RS00580_ZS7_ZS7_cp32-12_ParA_X	cp32-12	RS00580	2761	260	79.26829268292683	737	245	[(1, 246)]	[(1954, 2691)]	[(1, 246)]	26.693227091633464
UCT69_scaffold	contig_29_RagTag	2351	M32_B31_cp32-6_ParA_X	cp32-6	M32	2351	249	100.0	746	248	[(1, 249)]	[(1599, 2345)]	[(1, 249)]	31.73117822203318
UCT69_scaffold	contig_29_RagTag	2351	RS05165_118a_118a_cp32-6_ParA_X	cp32-6	RS05165	2351	249	99.59839357429718	746	248	[(1, 249)]	[(1599, 2345)]	[(1, 249)]	31.73117822203318
UCT69_scaffold	contig_29_RagTag	2351	RS01520_MM1_plsm_cp32-6_ParA_X	cp32-6	RS01520	2351	249	99.59839357429718	746	248	[(1, 249)]	[(1599, 2345)]	[(1, 249)]	31.73117822203318
UCT69_scaffold	contig_34_RagTag	1909	RS00880_JD1_JD1_cp32-11_ParA_X	cp32-11	RS00880	1909	252	100.0	755	251	[(1, 252)]	[(1133, 1888)]	[(1, 252)]	39.54950235725511
UCT69_scaffold	contig_34_RagTag	1909	RS06040_WI91-23_WI91-23_cp32-11_ParA_X	cp32-11	RS06040	1909	252	99.60317460317461	755	251	[(1, 252)]	[(1133, 1888)]	[(1, 252)]	39.54950235725511
UCT69_scaffold	contig_34_RagTag	1909	B500_cp32-11_ParA_1	cp32-11	B500	1909	252	99.20634920634922	755	251	[(1, 252)]	[(1133, 1888)]	[(1, 252)]	39.54950235725511
UCT69_scaffold	contig_4_RagTag	49054	H28_B31_lp28-3_ParA_X	lp28-3	H28	49054	251	100.0	1504	250	[(1, 251)]	[(40541, 41293), (19946, 20698)]	[(1, 251), (1, 251)]	3.066008888164064
UCT69_scaffold	contig_4_RagTag	49054	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	49054	251	99.60159362549801	1504	250	[(1, 251)]	[(40541, 41293), (19946, 20698)]	[(1, 251), (1, 251)]	3.066008888164064
UCT69_scaffold	contig_4_RagTag	49054	RS06760_Bol26_Bol26_lp28-3_ParA_X	lp28-3	RS06760	49054	251	97.60956175298804	1504	250	[(1, 251)]	[(40541, 41293), (19946, 20698)]	[(1, 251), (1, 251)]	3.066008888164064
UCT69_scaffold	contig_4_RagTag	49054	RS07610_JD1_JD1_lp28-6_ParA_X	lp28-6	RS07610	49054	251	71.71314741035857	1504	250	[(1, 251)]	[(40541, 41293), (19946, 20698)]	[(1, 251), (1, 251)]	3.066008888164064
UCT69_scaffold	contig_4_RagTag	49054	RS06425_B331_B331_lp28_6_ParA_X	lp28-6	RS06425	49054	251	71.31474103585657	1504	250	[(1, 251)]	[(40541, 41293), (19946, 20698)]	[(1, 251), (1, 251)]	3.066008888164064
UCT69_scaffold	contig_5_RagTag	22718	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	22718	250	99.2	749	249	[(1, 250)]	[(9971, 10720)]	[(1, 250)]	3.296945153622678
UCT69_scaffold	contig_5_RagTag	22718	RS05970_CA-11.2A_CA-11.2A_lp36-28-4_ParA_X	lp36-28-4	RS05970	22718	250	98.8	749	249	[(1, 250)]	[(9971, 10720)]	[(1, 250)]	3.296945153622678
UCT69_scaffold	contig_5_RagTag	22718	I21_B31_lp28-4_ParA_X	lp28-4	I21	22718	250	98.0	749	249	[(1, 250)]	[(9971, 10720)]	[(1, 250)]	3.296945153622678
UCT69_scaffold	contig_6_RagTag	46254	F24_B31_lp28-1_ParA_X	lp28-1	F24	46254	254	100.0	761	253	[(1, 254)]	[(41706, 42467)]	[(1, 254)]	1.6452631123794699
UCT69_scaffold	contig_6_RagTag	46254	RS06670_WI91-23_WI91-23_lp28-1_ParA_X	lp28-1	RS06670	46254	254	99.60629921259843	761	253	[(1, 254)]	[(41706, 42467)]	[(1, 254)]	1.6452631123794699
UCT69_scaffold	contig_6_RagTag	46254	RS00365_JD1_JD1_lp28-1_ParA_X	lp28-1	RS00365	46254	254	99.60629921259843	761	253	[(1, 254)]	[(41706, 42467)]	[(1, 254)]	1.6452631123794699
UCT69_scaffold	contig_6_RagTag	46254	RS05395_Bol26_Bol26_lp28-9_ParA_X	lp28-9	RS05395	46254	254	83.07086614173228	761	253	[(1, 254)]	[(41706, 42467)]	[(1, 254)]	1.6452631123794699
UCT69_scaffold	contig_6_RagTag	46254	K21_B31_lp36_ParA_X	lp36	K21	46254	249	100.0	728	242	[(1, 243)]	[(13639, 14367)]	[(1, 243)]	1.5739179314221474
UCT69_scaffold	contig_8_RagTag	26851	S35_B31_cp32-3_ParA_X	cp32-3	S35	26851	246	100.0	737	245	[(1, 246)]	[(9784, 10521)]	[(1, 246)]	2.744776730848013
UCT69_scaffold	contig_8_RagTag	26851	RS04790_B331_B331_cp32_10_ParA_X	cp32-10	RS04790	26851	246	99.59349593495935	737	245	[(1, 246)]	[(9784, 10521)]	[(1, 246)]	2.744776730848013
UCT69_scaffold	contig_8_RagTag	26851	297_cp32-12_ParA_X	cp32-12	297	26851	260	100.0	779	259	[(1, 260)]	[(6888, 7667)]	[(1, 260)]	2.9011954862016314
UCT69_scaffold	contig_8_RagTag	26851	RS00580_ZS7_ZS7_cp32-12_ParA_X	cp32-12	RS00580	26851	260	100.0	776	258	[(1, 259)]	[(6888, 7664)]	[(1, 259)]	2.890022717962087
UCT69_scaffold	contig_8_RagTag	26851	RS05790_72a_72a_lp32-3_ParA_X	lp32-3	RS05790	26851	246	96.7479674796748	737	245	[(1, 246)]	[(9784, 10521)]	[(1, 246)]	2.744776730848013
UCT69_scaffold	NODE_19_length_7325_cov_427.317743	7325	RS06485_N40_N40_lp17_ParA_X	lp17	RS06485	7325	246	99.58677685950413	1450	241	[(1, 242)]	[(111, 836), (6511, 7236)]	[(1, 242), (1, 242)]	19.795221843003414
UCT69_scaffold	NODE_19_length_7325_cov_427.317743	7325	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	7325	246	100.0	1450	241	[(1, 242)]	[(111, 836), (6511, 7236)]	[(1, 242), (1, 242)]	19.795221843003414
UCT69_scaffold	NODE_22_length_4478_cov_118.267212	4478	P32_B31_cp32-1_ParA_X	cp32-1	P32	4478	246	100.0	737	245	[(1, 246)]	[(1718, 2455)]	[(1, 246)]	16.458240285841892
UCT69_scaffold	NODE_22_length_4478_cov_118.267212	4478	MM1_cp32-1_ParA_1	cp32-1	MM1	4478	246	99.59349593495935	737	245	[(1, 246)]	[(1718, 2455)]	[(1, 246)]	16.458240285841892
UCT69_scaffold	NODE_22_length_4478_cov_118.267212	4478	DN127_cp9_ParA_X	cp9	DN127	4478	246	80.16528925619835	725	241	[(1, 242)]	[(1730, 2455)]	[(1, 242)]	16.190263510495758
UCT69_scaffold	NODE_33_length_2730_cov_110.179796	2730	N32_B31_cp32-9_ParA_X	cp32-9	N32	2730	251	100.0	743	247	[(1, 248)]	[(1275, 2018)]	[(1, 248)]	27.216117216117215
UCT69_scaffold	NODE_33_length_2730_cov_110.179796	2730	RS01730_MM1_plsm_cp32-9_ParA_X	cp32-9	RS01730	2730	251	99.59677419354838	743	247	[(1, 248)]	[(1275, 2018)]	[(1, 248)]	27.216117216117215
UCT69_scaffold	NODE_7_length_25110_cov_179.311349	25110	NE_5261_cp26_ParA_1	cp26	NE_5261	25110	253	100.0	758	252	[(1, 253)]	[(8814, 9572)]	[(1, 253)]	3.018717642373556
UCT69_scaffold	NODE_7_length_25110_cov_179.311349	25110	B12_B31_cp26_ParA_X	cp26	B12	25110	253	99.60474308300395	758	252	[(1, 253)]	[(8814, 9572)]	[(1, 253)]	3.018717642373556
UCT69_scaffold	NODE_7_length_25110_cov_179.311349	25110	MM1_cp26_ParA_1	cp26	MM1	25110	253	99.60474308300395	758	252	[(1, 253)]	[(8814, 9572)]	[(1, 253)]	3.018717642373556
UCT69_scaffold	NODE_7_length_25110_cov_179.311349	25110	RS00680_MM1_plsm_cp26_ParA_X	cp26	RS00680	25110	253	99.2094861660079	758	252	[(1, 253)]	[(8814, 9572)]	[(1, 253)]	3.018717642373556
UCT69_scaffold	NODE_7_length_25110_cov_179.311349	25110	N40_cp26_ParA_1	cp26	N40	25110	253	99.2094861660079	758	252	[(1, 253)]	[(8814, 9572)]	[(1, 253)]	3.018717642373556
