contig_id	assembly_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	_score
contig_1 [gcode=11] [topology=linear]	URI118H	920957	gb|CP094579.1|	chromosome	B379	920957	920773	99.54221044960477	99.96753377193507	920658	920720	[(1, 920721)]	[(299, 920957)]	[(1, 556431), (556248, 920721), (906315, 916546), (906441, 916672), (906312, 916609), (906375, 916672), (906502, 916672), (906315, 916483), (906315, 916420), (906565, 916672)]	9950.989284853933
contig_10 [gcode=11] [topology=linear]	URI118H	26514	gb|CP124077.1|	cp26	Sh-2-82	26514	26514	98.23940029572573	99.51723617711397	26386	26386	[(1, 26387)]	[(128, 26514)]	[(1, 26387), (17971, 19310), (19438, 20775)]	9776.513601127777
contig_11 [gcode=11] [topology=linear]	URI118H	26073	gb|CP094590.1|	lp28-3	B379	26073	28768	99.52258671199682	99.99616461473555	26072	26060	[(1064, 27124)]	[(1, 26073)]	[(1064, 27124), (5417, 5954), (8358, 8895), (10046, 10295), (10100, 10349)]	9951.876963737126
contig_12 [gcode=11] [topology=linear]	URI118H	22613	gb|CP001260.1|	lp36	156a	22613	23638	99.06578587343158	99.86733295007296	22583	22589	[(4, 22593)]	[(1, 22333), (22362, 22613)]	[(22593, 252), (20284, 21025), (19165, 19905), (2735, 3471), (4742, 5482), (255, 4)]	9893.435821782627
contig_13 [gcode=11] [topology=linear]	URI118H	21164	gb|CP094587.1|	cp32-7	B379	21164	21166	99.95747897571577	99.99054999055	21162	21164	[(6610, 21166), (1, 6609)]	[(6610, 21164), (1, 6609)]	[(21166, 6610), (6609, 1)]	9994.803298450657
contig_14 [gcode=11] [topology=linear]	URI118H	21133	gb|CP094588.1|	cp32-9	B379	21133	21173	99.78274217163369	99.99053612833009	21131	21171	[(13315, 21173), (1, 13314)]	[(1, 13305), (13306, 21133)]	[(13314, 1), (21173, 13315)]	9977.329886096584
contig_15 [gcode=11] [topology=linear]	URI118H	18024	gb|CP124078.1|	lp17	Sh-2-82	18024	17944	99.97256515775035	99.96116289391922	18017	17931	[(13, 17944)]	[(7, 18024)]	[(14371, 13), (17944, 14082)]	9993.373870656837
contig_16 [gcode=11] [topology=linear]	URI118H	15231	gb|CP002306.1|	lp28-1	JD1	15231	24354	99.36810884002837	99.99343444291247	15230	15492	[(30, 15011), (16957, 17211), (15131, 15388)]	[(1, 15231)]	[(30, 15011), (15131, 15388), (16957, 17211)]	9936.158477011568
contig_17 [gcode=11] [topology=linear]	URI118H	7455	gb|CP094581.1|	cp32-11	B379	7455	30287	99.97317596566523	99.98658618376928	7454	7455	[(20884, 28339)]	[(1, 7455)]	[(20884, 28339)]	9995.976574756118
contig_18 [gcode=11] [topology=linear]	URI118H	5934	gb|CP094582.1|	cp32-12	B379	5934	30796	99.98315080033699	99.98314796090327	5933	5934	[(16465, 22399)]	[(1, 5934)]	[(16465, 22399)]	9996.630160067396
