QUERY_ID	QUERY_NAME	QUERY_START	QUERY_END	QUERY_LENGTH	REF_ID	REF_NAME	REF_START	REF_END	REF_LENGTH	IDENTITY	EVALUE
URI47H	contig_1	33406	35119	1713	renamed_GCF_000008685.2	chromosome	888179	886469	1713	99.1	0.0
URI47H	contig_1	37375	40504	3129	renamed_GCF_000008685.2	chromosome	884213	881084	3129	99.7	0.0
URI47H	contig_1	42274	41338	936	renamed_GCF_000008685.2	chromosome	879314	880250	936	99.6	1.601e-207
URI47H	contig_1	46382	45140	1242	renamed_GCF_000008685.2	chromosome	875206	876448	1242	98.3	3.236e-277
URI47H	contig_1	51565	52081	516	renamed_GCF_000008685.2	chromosome	870023	869507	516	100.0	1.621e-111
URI47H	contig_1	53394	52848	546	renamed_GCF_000008685.2	chromosome	868194	868740	546	100.0	1.846e-123
URI47H	contig_1	54908	53987	921	renamed_GCF_000008685.2	chromosome	866680	867601	921	99.3	3.387e-205
URI47H	contig_1	55673	55130	543	renamed_GCF_000008685.2	chromosome	865915	866458	543	98.8	6.309e-118
URI47H	contig_1	57953	56546	1407	renamed_GCF_000008685.2	chromosome	863635	865042	1407	99.5	3.133e-314
URI47H	contig_1	61150	59815	1335	renamed_GCF_000008685.2	chromosome	860439	861774	1335	99.3	1.013e-288
URI47H	contig_1	98751	98457	294	renamed_GCF_000008685.2	chromosome	822809	823103	294	100.0	1.207e-61
URI47H	contig_1	100376	99191	1185	renamed_GCF_000008685.2	chromosome	821184	822369	1185	99.7	1.177e-261
URI47H	contig_1	102019	101032	987	renamed_GCF_000008685.2	chromosome	819541	820528	987	100.0	5.255e-220
URI47H	contig_1	102639	102318	321	renamed_GCF_000008685.2	chromosome	819035	819242	321	97.0	1.267e-41
URI47H	contig_1	103543	103012	531	renamed_GCF_000008685.2	chromosome	818017	818548	531	100.0	1.403e-115
URI47H	contig_1	104358	105249	891	renamed_GCF_000008685.2	chromosome	817160	816311	891	99.2	1.129e-186
URI47H	contig_1	106258	106693	435	renamed_GCF_000008685.2	chromosome	815302	814867	435	100.0	4.611e-95
URI47H	contig_1	107854	108199	345	renamed_GCF_000008685.2	chromosome	813706	813385	345	92.0	6.146e-61
URI47H	contig_1	108351	109152	801	renamed_GCF_000008685.2	chromosome	813239	812438	801	100.0	9.279e-174
URI47H	contig_1	110080	111121	1041	renamed_GCF_000008685.2	chromosome	811510	810469	1041	100.0	2.778e-236
URI47H	contig_1	161947	161317	630	renamed_GCF_000008685.2	chromosome	759585	760215	630	99.5	1.853e-137
URI47H	contig_1	184574	184325	249	renamed_GCF_000008685.2	chromosome	736959	737208	249	100.0	2.148e-48
URI47H	contig_1	186182	184847	1335	renamed_GCF_000008685.2	chromosome	735351	736686	1335	99.5	6.578e-285
URI47H	contig_1	189739	187729	2010	renamed_GCF_000008685.2	chromosome	731793	733803	2010	99.8	0.0
URI47H	contig_1	190433	190901	468	renamed_GCF_000008685.2	chromosome	731099	730631	468	98.0	1.073e-99
URI47H	contig_1	192867	191913	954	renamed_GCF_000008685.2	chromosome	728665	729619	954	98.7	7.929e-210
URI47H	contig_1	193796	192857	939	renamed_GCF_000008685.2	chromosome	727736	728675	939	100.0	1.678e-207
URI47H	contig_1	209322	209838	516	renamed_GCF_000008685.2	chromosome	712207	711691	516	99.4	8.019e-111
URI47H	contig_1	210844	210358	486	renamed_GCF_000008685.2	chromosome	710685	711171	486	100.0	5.304e-102
URI47H	contig_1	214857	212262	2595	renamed_GCF_000008685.2	chromosome	706672	709267	2595	99.4	0.0
URI47H	contig_1	216579	216027	552	renamed_GCF_000008685.2	chromosome	704948	705500	552	96.1	1.619e-117
URI47H	contig_1	225995	226826	831	renamed_GCF_000008685.2	chromosome	695523	694692	831	99.2	6.41e-183
URI47H	contig_1	227965	226822	1143	renamed_GCF_000008685.2	chromosome	693553	694696	1143	100.0	3.979e-258
URI47H	contig_1	230634	228873	1761	renamed_GCF_000008685.2	chromosome	690884	692645	1761	99.4	0.0
URI47H	contig_1	231326	231029	297	renamed_GCF_000008685.2	chromosome	690192	690489	297	100.0	1.037e-63
URI47H	contig_1	235538	236522	984	renamed_GCF_000008685.2	chromosome	685980	684996	984	99.3	1.874e-222
URI47H	contig_1	634408	635527	1119	renamed_GCF_000008685.2	chromosome	287089	285970	1119	100.0	9.957e-244
URI47H	contig_1	635538	637629	2091	renamed_GCF_000008685.2	chromosome	285962	283868	2091	99.4	0.0
URI47H	contig_1	637632	638799	1167	renamed_GCF_000008685.2	chromosome	283865	282698	1167	100.0	1.172e-258
URI47H	contig_1	638810	639698	888	renamed_GCF_000008685.2	chromosome	282687	281799	888	99.6	8.945e-189
URI47H	contig_1	639704	640184	480	renamed_GCF_000008685.2	chromosome	281793	281313	480	99.3	5.307e-101
URI47H	contig_1	669073	668467	606	renamed_GCF_000008685.2	chromosome	252433	253039	606	100.0	4.115e-133
URI47H	contig_1	669269	670295	1026	renamed_GCF_000008685.2	chromosome	252237	251211	1026	99.4	1.351e-224
URI47H	contig_1	670295	670850	555	renamed_GCF_000008685.2	chromosome	251211	250656	555	99.4	1.543e-118
URI47H	contig_1	670836	671331	495	renamed_GCF_000008685.2	chromosome	250670	250175	495	100.0	5.051e-104
URI47H	contig_1	672980	671417	1563	renamed_GCF_000008685.2	chromosome	248505	250089	1563	99.8	0.0
URI47H	contig_1	674910	673404	1506	renamed_GCF_000008685.2	chromosome	246596	248102	1506	100.0	0.0
