assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UNY146_scaffold	NZ_CP161144.1_RagTag	906013	gb|CP124080.1|	chromosome	Sh-2-82	906013	907764	99.99123887808842	901700	901695	[(284678, 299883), (299757, 435918), (548889, 903220), (904659, 905473), (544166, 549015), (438097, 439163), (903094, 903739), (213187, 284804), (9, 213837), (441113, 544292)]	[(284735, 299940), (435134, 436202), (1, 213828), (545139, 899470), (899571, 900217), (540189, 545038), (213017, 284634), (300041, 436202), (900594, 901411), (436909, 540088)]	[(548889, 903220), (9, 213837), (299757, 435918), (441113, 544292), (213187, 284804), (284678, 299883), (544166, 549015), (438097, 439163), (904659, 905473), (903094, 903739)]	99.5239582654995
UNY146_scaffold	NZ_CP161144.1_RagTag	906013	gb|CP094579.1|	chromosome	B379	906013	920773	99.991235680322	901371	901366	[(543829, 548678), (299420, 435581), (1, 213500), (437760, 438826), (440776, 543955), (902757, 903402), (212850, 284467), (284341, 299546), (904322, 905136), (548552, 902883)]	[(284735, 299940), (435134, 436202), (545139, 899470), (899571, 900217), (540189, 545038), (213017, 284634), (300041, 436202), (900594, 901411), (330, 213828), (436909, 540088)]	[(548552, 902883), (1, 213500), (299420, 435581), (440776, 543955), (212850, 284467), (284341, 299546), (543829, 548678), (437760, 438826), (904322, 905136), (902757, 903402)]	99.48764532076251
UNY146_scaffold	NZ_CP161144.1_RagTag	906013	gb|CP002312.1|	chromosome	JD1	906013	922801	99.5259150601498	905168	905197	[(438131, 439197), (299787, 435951), (12, 213875), (213225, 284834), (775370, 903330), (548911, 775337), (441147, 544314), (284708, 299913), (904901, 909789), (544188, 549037)]	[(284735, 299940), (435134, 436202), (545139, 771524), (1, 213828), (900443, 905349), (540189, 545038), (213017, 284634), (300041, 436202), (771499, 899470), (436909, 540088)]	[(548911, 775337), (12, 213875), (299787, 435951), (775370, 903330), (441147, 544314), (213225, 284834), (284708, 299913), (544188, 549037), (904901, 909789), (438131, 439197)]	99.90673423008279
UNY146_scaffold	NZ_CP161144.1_RagTag	906013	gb|CP124104.1|	chromosome	NE_5248	906013	910663	99.46627974540522	899985	899885	[(549170, 557049), (213503, 285114), (905041, 910486), (441390, 544573), (42, 20163), (284988, 300194), (775558, 903485), (20320, 213990), (556809, 775525), (300068, 436195)]	[(20151, 213827), (552835, 771524), (284735, 299940), (213017, 284634), (545139, 553018), (300041, 436202), (771499, 899470), (900443, 905904), (4, 20151), (436909, 540088)]	[(556809, 775525), (20320, 213990), (300068, 436195), (775558, 903485), (441390, 544573), (213503, 285114), (42, 20163), (284988, 300194), (549170, 557049), (905041, 910486)]	99.33466738335984
UNY146_scaffold	NZ_CP161144.1_RagTag	906013	gb|CP124096.1|	chromosome	NE_5267	906013	910422	99.48051485958779	899253	899188	[(20320, 213994), (213507, 285118), (284992, 300198), (544454, 549303), (556816, 775464), (549177, 556996), (43, 20163), (775497, 903445), (300072, 436199), (441394, 544580)]	[(20151, 213827), (284735, 299940), (552895, 771524), (540189, 545038), (213017, 284634), (545139, 552958), (300041, 436202), (771499, 899470), (4, 20151), (436909, 540088)]	[(556816, 775464), (20320, 213994), (300072, 436199), (775497, 903445), (441394, 544580), (213507, 285118), (43, 20163), (284992, 300198), (549177, 556996), (544454, 549303)]	99.25387384066234
UNY146_scaffold	NZ_CP161145.1_RagTag	54260	gb|CP124079.1|	lp54	Sh-2-82	54260	53843	99.15333298128883	56744	56744	[(48375, 49483), (48203, 48474), (14, 47473), (47202, 47473), (47374, 48474), (48375, 53843), (47374, 48441)]	[(47561, 48661), (47561, 48628), (48762, 54230), (1, 47460), (47189, 47460), (48762, 49870), (48390, 48661)]	[(14, 47473), (48375, 53843), (47374, 48474), (47374, 48441), (48375, 49483), (47202, 47473), (48203, 48474)]	104.57795798009583
UNY146_scaffold	NZ_CP161145.1_RagTag	54260	gb|CP094596.1|	lp54	B379	54260	53532	99.14198775784595	56454	56446	[(47056, 47327), (48057, 48328), (48229, 53532), (47228, 48328), (48229, 49337), (1, 47327), (47228, 48295)]	[(47561, 48661), (47561, 48628), (123, 47460), (47189, 47460), (48762, 54062), (48762, 49870), (48390, 48661)]	[(1, 47327), (48229, 53532), (47228, 48328), (47228, 48295), (48229, 49337), (47056, 47327), (48057, 48328)]	104.04349428676743
UNY146_scaffold	NZ_CP161145.1_RagTag	54260	gb|CP001257.1|	lp54	156a	54260	53885	98.65887268067478	56845	56867	[(48267, 48538), (10, 11396), (47197, 47537), (47266, 47537), (47438, 48538), (11345, 47224), (48439, 49546), (47438, 48505), (48439, 53885)]	[(47561, 48661), (47561, 48628), (48762, 54211), (47189, 47460), (11365, 47219), (1, 11385), (47119, 47460), (48762, 49870), (48390, 48661)]	[(11345, 47224), (10, 11396), (48439, 53885), (47438, 48538), (47438, 48505), (48439, 49546), (47197, 47537), (47266, 47537), (48267, 48538)]	104.76409878363435
UNY146_scaffold	NZ_CP161145.1_RagTag	54260	gb|CP001652.1|	lp54	JD1	54260	52916	98.68158210147823	54977	54977	[(48601, 52916), (11331, 47066), (47224, 48413), (47052, 47323), (46329, 47323), (1, 11366), (47224, 48332)]	[(49882, 54211), (47561, 48628), (47189, 47460), (11381, 47148), (6, 11369), (48762, 49951), (47670, 48661)]	[(11331, 47066), (1, 11366), (48601, 52916), (47224, 48413), (46329, 47323), (47224, 48332), (47052, 47323)]	101.3214154072982
UNY146_scaffold	NZ_CP161145.1_RagTag	54260	gb|CP017218.1|	lp54	B331	54260	53759	98.39010486311493	56730	56712	[(4361, 5467), (6369, 6640), (5368, 5639), (5368, 6468), (5401, 6468), (2, 5467), (6369, 37924), (37912, 42411), (42368, 53746)]	[(11373, 15874), (47561, 48661), (1, 11377), (47561, 48628), (48762, 54229), (47189, 47460), (15891, 47460), (48762, 49870), (48390, 48661)]	[(37924, 6369), (53746, 42368), (5467, 2), (42411, 37912), (6468, 5368), (5467, 4361), (6468, 5401), (5639, 5368), (6640, 6369)]	104.55215628455585
