assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
ESI290	NODE_1_length_469190_cov_81.442835	469190	gb|CP124088.1|	chromosome	Am315	469190	910229	99.62883487719894	470612	470619	[(441058, 909593), (844117, 844493), (844179, 844528), (909594, 909928), (909929, 910229), (844150, 844526), (844113, 844462)]	[(65727, 66076), (26, 339), (65729, 66105), (340, 674), (65793, 66142), (65762, 66138), (675, 469190)]	[(909593, 441058), (909594, 909928), (910229, 909929), (844493, 844117), (844526, 844150), (844462, 844113), (844528, 844179)]	100.30307551311834
ESI290	NODE_1_length_469190_cov_81.442835	469190	gb|CP124096.1|	chromosome	NE_5267	469190	910422	99.88786136515489	469913	469923	[(844497, 844842), (910089, 910422), (844460, 844807), (909754, 910088), (844464, 909610), (441422, 844840)]	[(26, 339), (65729, 66076), (340, 674), (959, 66105), (65762, 469190), (65793, 66138)]	[(844840, 441422), (909610, 844464), (909754, 910088), (910422, 910089), (844842, 844497), (844807, 844460)]	100.154095355826
ESI290	NODE_1_length_469190_cov_81.442835	469190	gb|CP124100.1|	chromosome	NE_5261	469190	910422	99.8876485783715	469913	469922	[(441423, 844840), (844497, 844842), (910089, 910422), (844460, 844807), (909754, 910088), (844464, 909610)]	[(26, 339), (65729, 66076), (340, 674), (959, 66105), (65762, 469190), (65793, 66138)]	[(844840, 441423), (909610, 844464), (909754, 910088), (910422, 910089), (844842, 844497), (844807, 844460)]	100.154095355826
ESI290	NODE_1_length_469190_cov_81.442835	469190	gb|CP001205.1|	chromosome	ZS7	469190	906707	99.90590244441235	470757	470739	[(437539, 553112), (906094, 906428), (840628, 841004), (840690, 841039), (840661, 841037), (840624, 840973), (552989, 906093), (906429, 906707)]	[(65727, 66076), (65729, 66105), (353620, 469190), (340, 674), (65793, 66142), (675, 353800), (61, 339), (65762, 66138)]	[(906093, 552989), (553112, 437539), (906094, 906428), (906707, 906429), (841004, 840628), (841037, 840661), (840973, 840624), (841039, 840690)]	100.33397983759245
ESI290	NODE_1_length_469190_cov_81.442835	469190	gb|CP019767.1|	chromosome	B31_NRZ	469190	909921	99.65361548132793	470792	470796	[(843812, 844188), (909286, 909620), (556142, 909285), (843808, 844157), (909621, 909921), (440636, 556205), (843845, 844221), (843874, 844223)]	[(65727, 66076), (26, 339), (65729, 66105), (353620, 469190), (340, 674), (65793, 66142), (675, 353800), (65762, 66138)]	[(909285, 556142), (556205, 440636), (909286, 909620), (909921, 909621), (844188, 843812), (844221, 843845), (844157, 843808), (844223, 843874)]	100.34143950212066
ESI290	NODE_2_length_221444_cov_83.340654	221444	gb|CP124096.1|	chromosome	NE_5267	221444	910422	99.95133447186637	221921	221904	[(438378, 438854), (214181, 435609)]	[(1, 221444), (220966, 221444)]	[(214181, 435609), (438378, 438854)]	100.21540434601977
ESI290	NODE_2_length_221444_cov_83.340654	221444	gb|CP124100.1|	chromosome	NE_5261	221444	910422	99.95133447186637	221921	221904	[(214182, 435610), (438379, 438855)]	[(1, 221444), (220966, 221444)]	[(214182, 435610), (438379, 438855)]	100.21540434601977
ESI290	NODE_2_length_221444_cov_83.340654	221444	gb|CP124104.1|	chromosome	NE_5248	221444	910663	99.89681105608702	221921	221904	[(214177, 435605), (438374, 438850)]	[(1, 221444), (220966, 221444)]	[(214177, 435605), (438374, 438850)]	100.21540434601977
ESI290	NODE_2_length_221444_cov_83.340654	221444	gb|CP005925.1|	chromosome	CA382	221444	910736	99.67471030294293	221921	221928	[(438409, 438885), (214188, 435640)]	[(1, 221444), (220966, 221444)]	[(214188, 435640), (438409, 438885)]	100.21540434601977
ESI290	NODE_2_length_221444_cov_83.340654	221444	gb|CP124084.1|	chromosome	Am388	221444	910563	99.66028078649053	221921	221923	[(214024, 435471), (438240, 438716)]	[(1, 221444), (220966, 221444)]	[(214024, 435471), (438240, 438716)]	100.21540434601977
