# Annotated with Bakta
# Software: v1.10.0
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	83	646	+	CEMKAM_00001	353.0	7.8e-123	1.011	0.984	0.958	UniRef:UniRef90_O51035
contig_1	cds	762	1790	-	CEMKAM_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B38BD
contig_1	cds	1778	3244	-	CEMKAM_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B38BC
contig_1	cds	3390	5183	+	CEMKAM_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B38BB
contig_1	cds	5246	6301	-	CEMKAM_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8EYA7
contig_1	cds	6304	7392	-	CEMKAM_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B38BA
contig_1	cds	7453	8310	-	CEMKAM_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B38B9
contig_1	cds	8422	9192	+	CEMKAM_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51041
contig_1	cds	9197	10201	+	CEMKAM_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B3777
contig_1	cds	10198	10572	+	CEMKAM_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51043
contig_1	cds	10576	11415	+	CEMKAM_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51044
contig_1	cds	11416	12156	+	CEMKAM_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70830
contig_1	cds	12149	12748	+	CEMKAM_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51046
contig_1	cds	12741	14723	+	CEMKAM_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B3773
contig_1	cds	14720	15340	-	CEMKAM_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q59190
contig_1	cds	15340	15717	-	CEMKAM_00016	238.0	2.4e-79	1.0	1.0	0.992	UniRef:UniRef90_Q5W610
contig_1	cds	15840	16799	+	CEMKAM_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B3771
contig_1	cds	16802	17782	-	CEMKAM_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001882483
contig_1	cds	17787	18299	-	CEMKAM_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B376F
contig_1	cds	18307	19974	-	CEMKAM_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P70826
contig_1	cds	20105	20920	-	CEMKAM_00021	426.0	2.8e-149	0.863	0.903	0.927	UniRef:UniRef90_UPI000D03CB29
contig_1	cds	20895	21938	-	CEMKAM_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000D022771
contig_1	cds	21983	22576	-	CEMKAM_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8I676
contig_1	cds	22656	23795	+	CEMKAM_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B376B
contig_1	cds	23802	24533	-	CEMKAM_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51056
contig_1	cds	24534	25460	-	CEMKAM_00026	583.0	4.9e-210	1.0	1.0	0.984	UniRef:UniRef90_O51057
contig_1	cds	25590	26228	+	CEMKAM_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8F0H4
contig_1	cds	26236	27285	+	CEMKAM_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51059
contig_1	cds	27271	27702	-	CEMKAM_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51060
contig_1	cds	27692	28327	-	CEMKAM_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B3613
contig_1	cds	28329	29309	-	CEMKAM_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B3612
contig_1	cds	29381	30862	+	CEMKAM_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B3611
contig_1	cds	30868	31326	+	CEMKAM_00033	275.0	2.7e-93	0.987	1.0	0.967	UniRef:UniRef90_O51064
contig_1	cds	31397	31936	-	CEMKAM_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7BSC0
contig_1	cds	32004	33884	-	CEMKAM_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51066
contig_1	cds	33884	35683	-	CEMKAM_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360F
contig_1	cds	35704	36456	-	CEMKAM_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360E
contig_1	cds	36453	37967	-	CEMKAM_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360D
contig_1	cds	37980	39482	-	CEMKAM_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360C
contig_1	cds	39670	40521	+	CEMKAM_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8EYZ0
contig_1	cds	40605	41276	-	CEMKAM_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51071
contig_1	cds	41287	42327	-	CEMKAM_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360B
contig_1	cds	42324	42725	-	CEMKAM_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51073
contig_1	cds	42751	45198	-	CEMKAM_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B360A
contig_1	cds	45290	45835	+	CEMKAM_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51075
contig_1	cds	45855	46223	-	CEMKAM_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51076
contig_1	tRNA	46374	46445	+	CEMKAM_00047	56.0	-	-	-	-	-
contig_1	cds	47011	47685	+	CEMKAM_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B3609
contig_1	cds	47749	48450	+	CEMKAM_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3C220
contig_1	cds	48447	49103	-	CEMKAM_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34BE
contig_1	cds	49185	49856	+	CEMKAM_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51082
contig_1	cds	49956	50318	-	CEMKAM_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34BD
contig_1	cds	50334	51095	-	CEMKAM_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34BC
contig_1	cds	51097	52278	-	CEMKAM_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34BB
contig_1	cds	52298	53305	-	CEMKAM_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A826GYD7
contig_1	cds	53378	55348	-	CEMKAM_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34B9
contig_1	cds	55345	56124	-	CEMKAM_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8EZS0
contig_1	cds	56125	56592	-	CEMKAM_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8EZP1
contig_1	cds	56676	57029	-	CEMKAM_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q000U1
contig_1	cds	57103	57819	+	CEMKAM_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7U8F011
contig_1	cds	57873	58880	-	CEMKAM_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34B6
contig_1	cds	58944	59882	-	CEMKAM_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016B34B5
contig_1	cds	59879	60376	-	CEMKAM_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O51092
contig_1	cds	60411	61100	-	CEMKAM_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3C079
