assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
URI118H	contig_1 [gcode=11] [topology=linear]	920957	B379_chromosome_ParA_2	chromosome	B379	920957	380	100.0	1097	365	[(1, 366)]	[(368528, 369625)]	[(1, 366)]	0.1191152247064738
URI118H	contig_1 [gcode=11] [topology=linear]	920957	80a_chromosome_ParA_2	chromosome	80a	920957	380	99.4535519125683	1097	365	[(1, 366)]	[(368528, 369625)]	[(1, 366)]	0.1191152247064738
URI118H	contig_1 [gcode=11] [topology=linear]	920957	NE_5261_chromosome_ParA_2	chromosome	NE_5261	920957	380	99.4535519125683	1097	365	[(1, 366)]	[(368528, 369625)]	[(1, 366)]	0.1191152247064738
URI118H	contig_1 [gcode=11] [topology=linear]	920957	B500_chromosome_ParA_2	chromosome	B500	920957	380	99.45054945054946	1091	363	[(1, 364)]	[(368528, 369619)]	[(1, 364)]	0.1184637284911239
URI118H	contig_1 [gcode=11] [topology=linear]	920957	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	920957	380	99.17582417582418	1091	363	[(1, 364)]	[(368528, 369619)]	[(1, 364)]	0.1184637284911239
URI118H	contig_2 [gcode=11] [topology=linear]	53848	A20_B31_lp54_ParA_X	lp54	A20	53848	250	100.0	749	249	[(1, 250)]	[(39454, 40203)]	[(1, 250)]	1.3909523102065071
URI118H	contig_3 [gcode=11] [topology=linear]	30608	RS01295_JD1_JD1_cp32-1+5_ParA_X	cp32-1+5	RS01295	30608	257	100.0	770	256	[(1, 257)]	[(14199, 14969)]	[(1, 257)]	2.515682174594877
URI118H	contig_3 [gcode=11] [topology=linear]	30608	RS06275_WI91-23_WI91-23_cp32-5_ParA_X	cp32-5	RS06275	30608	257	99.61089494163424	770	256	[(1, 257)]	[(14199, 14969)]	[(1, 257)]	2.515682174594877
URI118H	contig_3 [gcode=11] [topology=linear]	30608	RS05610_72a_72a_cp32-5_ParA_X	cp32-5	RS05610	30608	257	99.61089494163424	770	256	[(1, 257)]	[(14199, 14969)]	[(1, 257)]	2.515682174594877
URI118H	contig_3 [gcode=11] [topology=linear]	30608	B500_cp32-5_ParA_1	cp32-5	B500	30608	257	99.22178988326849	770	256	[(1, 257)]	[(14199, 14969)]	[(1, 257)]	2.515682174594877
URI118H	contig_3 [gcode=11] [topology=linear]	30608	RS06160_118a_118a_cp32-5_ParA_X	cp32-5	RS06160	30608	257	99.22178988326849	770	256	[(1, 257)]	[(14199, 14969)]	[(1, 257)]	2.515682174594877
URI118H	contig_4 [gcode=11] [topology=linear]	30596	RS01520_MM1_plsm_cp32-6_ParA_X	cp32-6	RS01520	30596	249	100.0	746	248	[(1, 249)]	[(20981, 21727)]	[(1, 249)]	2.4382272192443457
URI118H	contig_4 [gcode=11] [topology=linear]	30596	M32_B31_cp32-6_ParA_X	cp32-6	M32	30596	249	99.59839357429718	746	248	[(1, 249)]	[(20981, 21727)]	[(1, 249)]	2.4382272192443457
URI118H	contig_4 [gcode=11] [topology=linear]	30596	RS05165_118a_118a_cp32-6_ParA_X	cp32-6	RS05165	30596	249	99.19678714859438	746	248	[(1, 249)]	[(20981, 21727)]	[(1, 249)]	2.4382272192443457
URI118H	contig_5 [gcode=11] [topology=linear]	30301	RS05205_B331_B331_cp32_4_ParA_X	cp32-4	RS05205	30301	251	99.60159362549801	752	250	[(1, 251)]	[(19540, 20292)]	[(1, 251)]	2.481766278340649
URI118H	contig_5 [gcode=11] [topology=linear]	30301	B379_cp32-2_ParA_1	cp32-2	B379	30301	251	100.0	752	250	[(1, 251)]	[(19540, 20292)]	[(1, 251)]	2.481766278340649
URI118H	contig_5 [gcode=11] [topology=linear]	30301	RS02205_MM1_plsm_cp32-4_ParA_X	cp32-4	RS02205	30301	251	99.60159362549801	752	250	[(1, 251)]	[(19540, 20292)]	[(1, 251)]	2.481766278340649
URI118H	contig_5 [gcode=11] [topology=linear]	30301	RS06370_72a_72a_cp32-1_ParA_X	cp32-1	RS06370	30301	251	99.20318725099602	752	250	[(1, 251)]	[(19540, 20292)]	[(1, 251)]	2.481766278340649
URI118H	contig_5 [gcode=11] [topology=linear]	30301	RS01165_B31_NRZ_p_cp32-4_ParA_X	cp32-4	RS01165	30301	251	98.80478087649402	752	250	[(1, 251)]	[(19540, 20292)]	[(1, 251)]	2.481766278340649
URI118H	contig_6 [gcode=11] [topology=linear]	30259	S35_B31_cp32-3_ParA_X	cp32-3	S35	30259	246	100.0	737	245	[(1, 246)]	[(14917, 15654)]	[(1, 246)]	2.4356389834429426
URI118H	contig_6 [gcode=11] [topology=linear]	30259	RS04790_B331_B331_cp32_10_ParA_X	cp32-10	RS04790	30259	246	99.59349593495935	737	245	[(1, 246)]	[(14917, 15654)]	[(1, 246)]	2.4356389834429426
URI118H	contig_6 [gcode=11] [topology=linear]	30259	RS05790_72a_72a_lp32-3_ParA_X	lp32-3	RS05790	30259	246	96.7479674796748	737	245	[(1, 246)]	[(14917, 15654)]	[(1, 246)]	2.4356389834429426
URI118H	contig_6 [gcode=11] [topology=linear]	30259	RS06375_CA-11.2A_CA-11.2A_cp32-3_ParA_X	cp32-3	RS06375	30259	246	93.4959349593496	737	245	[(1, 246)]	[(14917, 15654)]	[(1, 246)]	2.4356389834429426
URI118H	contig_7 [gcode=11] [topology=linear]	27866	B379_lp28-5_ParA_1	lp28-5	B379	27866	247	100.0	740	246	[(1, 247)]	[(19792, 20532)]	[(1, 247)]	2.655565922629728
URI118H	contig_7 [gcode=11] [topology=linear]	27866	RS06415_JD1_JD1_lp28-5_ParA_X	lp28-5	RS06415	27866	250	100.0	737	245	[(1, 246)]	[(19792, 20529)]	[(1, 246)]	2.644800114835283
URI118H	contig_7 [gcode=11] [topology=linear]	27866	RS05390_N40_N40_lp28-5_ParA_X	lp28-5	RS05390	27866	245	96.73469387755102	734	244	[(1, 245)]	[(19792, 20526)]	[(1, 245)]	2.6340343070408383
URI118H	contig_8 [gcode=11] [topology=linear]	27332	RS06425_B331_B331_lp28_6_ParA_X	lp28-6	RS06425	27332	251	99.60159362549801	752	250	[(1, 251)]	[(22275, 23027)]	[(1, 251)]	2.7513537245719304
URI118H	contig_8 [gcode=11] [topology=linear]	27332	RS07610_JD1_JD1_lp28-6_ParA_X	lp28-6	RS07610	27332	251	100.0	752	250	[(1, 251)]	[(22275, 23027)]	[(1, 251)]	2.7513537245719304
URI118H	contig_8 [gcode=11] [topology=linear]	27332	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	27332	251	72.11155378486056	752	250	[(1, 251)]	[(22275, 23027)]	[(1, 251)]	2.7513537245719304
URI118H	contig_8 [gcode=11] [topology=linear]	27332	H28_B31_lp28-3_ParA_X	lp28-3	H28	27332	251	71.71314741035857	752	250	[(1, 251)]	[(22275, 23027)]	[(1, 251)]	2.7513537245719304
URI118H	contig_8 [gcode=11] [topology=linear]	27332	RS06760_Bol26_Bol26_lp28-3_ParA_X	lp28-3	RS06760	27332	251	71.71314741035857	752	250	[(1, 251)]	[(22275, 23027)]	[(1, 251)]	2.7513537245719304
URI118H	contig_9 [gcode=11] [topology=linear]	27124	I21_B31_lp28-4_ParA_X	lp28-4	I21	27124	250	100.0	749	249	[(1, 250)]	[(11690, 12439)]	[(1, 250)]	2.7613921250553015
URI118H	contig_9 [gcode=11] [topology=linear]	27124	RS05970_CA-11.2A_CA-11.2A_lp36-28-4_ParA_X	lp36-28-4	RS05970	27124	250	99.2	749	249	[(1, 250)]	[(11690, 12439)]	[(1, 250)]	2.7613921250553015
URI118H	contig_9 [gcode=11] [topology=linear]	27124	RS05930_ZS7_ZS7_lp28-4_ParA_X	lp28-4	RS05930	27124	250	98.8	749	249	[(1, 250)]	[(11690, 12439)]	[(1, 250)]	2.7613921250553015
URI118H	contig_10 [gcode=11] [topology=linear]	26514	JD1_cp26_ParA_1	cp26	JD1	26514	253	100.0	758	252	[(1, 253)]	[(9400, 10158)]	[(1, 253)]	2.8588670136531644
URI118H	contig_10 [gcode=11] [topology=linear]	26514	RS06300_JD1_JD1_cp26_ParA_X	cp26	RS06300	26514	253	99.60474308300395	758	252	[(1, 253)]	[(9400, 10158)]	[(1, 253)]	2.8588670136531644
URI118H	contig_10 [gcode=11] [topology=linear]	26514	pdb|156a|cp26_ParA_1	cp26	pdb|156a|cp26	26514	253	99.60474308300395	758	252	[(1, 253)]	[(9400, 10158)]	[(1, 253)]	2.8588670136531644
URI118H	contig_10 [gcode=11] [topology=linear]	26514	MM1_cp26_ParA_1	cp26	MM1	26514	253	99.2094861660079	758	252	[(1, 253)]	[(9400, 10158)]	[(1, 253)]	2.8588670136531644
URI118H	contig_10 [gcode=11] [topology=linear]	26514	RS00680_MM1_plsm_cp26_ParA_X	cp26	RS00680	26514	253	98.81422924901186	758	252	[(1, 253)]	[(9400, 10158)]	[(1, 253)]	2.8588670136531644
URI118H	contig_11 [gcode=11] [topology=linear]	26073	H28_B31_lp28-3_ParA_X	lp28-3	H28	26073	251	100.0	752	250	[(1, 251)]	[(16977, 17729)]	[(1, 251)]	2.88420971886626
URI118H	contig_11 [gcode=11] [topology=linear]	26073	RS04755_29805_29805_lp28-3_ParA_X	lp28-3	RS04755	26073	251	99.60159362549801	752	250	[(1, 251)]	[(16977, 17729)]	[(1, 251)]	2.88420971886626
URI118H	contig_11 [gcode=11] [topology=linear]	26073	RS06760_Bol26_Bol26_lp28-3_ParA_X	lp28-3	RS06760	26073	251	97.60956175298804	752	250	[(1, 251)]	[(16977, 17729)]	[(1, 251)]	2.88420971886626
URI118H	contig_11 [gcode=11] [topology=linear]	26073	RS07610_JD1_JD1_lp28-6_ParA_X	lp28-6	RS07610	26073	251	71.71314741035857	752	250	[(1, 251)]	[(16977, 17729)]	[(1, 251)]	2.88420971886626
URI118H	contig_11 [gcode=11] [topology=linear]	26073	RS06425_B331_B331_lp28_6_ParA_X	lp28-6	RS06425	26073	251	71.31474103585657	752	250	[(1, 251)]	[(16977, 17729)]	[(1, 251)]	2.88420971886626
URI118H	contig_12 [gcode=11] [topology=linear]	22613	K21_B31_lp36_ParA_X	lp36	K21	22613	249	100.0	728	242	[(1, 243)]	[(10855, 11583)]	[(1, 243)]	3.219387078229337
URI118H	contig_12 [gcode=11] [topology=linear]	22613	RS01335_MM1_plsm_lp36_ParA_X	lp36	RS01335	22613	249	99.58847736625515	728	242	[(1, 243)]	[(10855, 11583)]	[(1, 243)]	3.219387078229337
URI118H	contig_12 [gcode=11] [topology=linear]	22613	RS06330_29805_29805_lp36_ParA_X	lp36	RS06330	22613	249	94.23868312757202	728	242	[(1, 243)]	[(10855, 11583)]	[(1, 243)]	3.219387078229337
URI118H	contig_13 [gcode=11] [topology=linear]	21164	O32_B31_cp32-7_ParA_X	cp32-7	O32	21164	249	100.0	746	248	[(1, 249)]	[(14818, 15564)]	[(1, 249)]	3.5248535248535244
URI118H	contig_13 [gcode=11] [topology=linear]	21164	RS06545_29805_29805_cp32-7_ParA_X	cp32-7	RS06545	21164	249	100.0	743	247	[(1, 248)]	[(14821, 15564)]	[(1, 248)]	3.510678510678511
URI118H	contig_14 [gcode=11] [topology=linear]	21133	RS01730_MM1_plsm_cp32-9_ParA_X	cp32-9	RS01730	21133	251	100.0	716	238	[(1, 239)]	[(2, 718)]	[(1, 239)]	3.388066057824256
URI118H	contig_14 [gcode=11] [topology=linear]	21133	N32_B31_cp32-9_ParA_X	cp32-9	N32	21133	251	99.581589958159	716	238	[(1, 239)]	[(2, 718)]	[(1, 239)]	3.388066057824256
URI118H	contig_15 [gcode=11] [topology=linear]	18024	RS06485_N40_N40_lp17_ParA_X	lp17	RS06485	18024	246	99.58677685950413	725	241	[(1, 242)]	[(2840, 3565)]	[(1, 242)]	4.022414558366623
URI118H	contig_15 [gcode=11] [topology=linear]	18024	RS00875_MM1_plsm_lp17_ParA_X	lp17	RS00875	18024	246	100.0	725	241	[(1, 242)]	[(2840, 3565)]	[(1, 242)]	4.022414558366623
URI118H	contig_16 [gcode=11] [topology=linear]	15231	RS00365_JD1_JD1_lp28-1_ParA_X	lp28-1	RS00365	15231	254	100.0	761	253	[(1, 254)]	[(9663, 10424)]	[(1, 254)]	4.996388943601865
URI118H	contig_16 [gcode=11] [topology=linear]	15231	F24_B31_lp28-1_ParA_X	lp28-1	F24	15231	254	99.60629921259843	761	253	[(1, 254)]	[(9663, 10424)]	[(1, 254)]	4.996388943601865
URI118H	contig_16 [gcode=11] [topology=linear]	15231	RS06670_WI91-23_WI91-23_lp28-1_ParA_X	lp28-1	RS06670	15231	254	99.21259842519686	761	253	[(1, 254)]	[(9663, 10424)]	[(1, 254)]	4.996388943601865
URI118H	contig_16 [gcode=11] [topology=linear]	15231	RS05395_Bol26_Bol26_lp28-9_ParA_X	lp28-9	RS05395	15231	254	83.46456692913385	761	253	[(1, 254)]	[(9663, 10424)]	[(1, 254)]	4.996388943601865
