assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
URI44	NODE_1_length_462135_cov_185.766819	462135	B379_chromosome_ParA_4	chromosome	B379	462135	323	100.0	968	322	[(1, 323)]	[(138185, 139153)]	[(1, 323)]	0.20946260291906044
URI44	NODE_1_length_462135_cov_185.766819	462135	RS04285_29805_29805_lp54_ParA_X	lp54	RS04285	462135	323	99.69040247678018	968	322	[(1, 323)]	[(138185, 139153)]	[(1, 323)]	0.20946260291906044
URI44	NODE_1_length_462135_cov_185.766819	462135	RS01390_WI91-23_WI91-23_lp56_ParA_X	lp56	RS01390	462135	323	99.38080495356037	968	322	[(1, 323)]	[(138185, 139153)]	[(1, 323)]	0.20946260291906044
URI44	NODE_1_length_462135_cov_185.766819	462135	NE_5261_chromosome_ParA_4	chromosome	NE_5261	462135	323	99.07120743034056	968	322	[(1, 323)]	[(138185, 139153)]	[(1, 323)]	0.20946260291906044
URI44	NODE_1_length_462135_cov_185.766819	462135	RS03465_29805_29805_lp54_ParA_X	lp54	RS03465	462135	250	100.0	749	249	[(1, 250)]	[(453240, 453989)]	[(1, 250)]	0.16207385287848788
URI44	NODE_2_length_221541_cov_187.509067	221541	B379_chromosome_ParA_2	chromosome	B379	221541	380	100.0	1097	365	[(1, 366)]	[(155030, 156127)]	[(1, 366)]	0.4951679373118294
URI44	NODE_2_length_221541_cov_187.509067	221541	80a_chromosome_ParA_2	chromosome	80a	221541	380	99.4535519125683	1097	365	[(1, 366)]	[(155030, 156127)]	[(1, 366)]	0.4951679373118294
URI44	NODE_2_length_221541_cov_187.509067	221541	NE_5261_chromosome_ParA_2	chromosome	NE_5261	221541	380	99.4535519125683	1097	365	[(1, 366)]	[(155030, 156127)]	[(1, 366)]	0.4951679373118294
URI44	NODE_2_length_221541_cov_187.509067	221541	B500_chromosome_ParA_2	chromosome	B500	221541	380	99.45054945054946	1091	363	[(1, 364)]	[(155030, 156121)]	[(1, 364)]	0.4924596350111266
URI44	NODE_2_length_221541_cov_187.509067	221541	RS04200_WI91-23_WI91-23_lp56_ParA_X	lp56	RS04200	221541	380	99.17582417582418	1091	363	[(1, 364)]	[(155030, 156121)]	[(1, 364)]	0.4924596350111266
URI44	NODE_4_length_53872_cov_317.185370	53872	A20_B31_lp54_ParA_X	lp54	A20	53872	250	100.0	749	249	[(1, 250)]	[(39482, 40231)]	[(1, 250)]	1.3903326403326404
URI44	NODE_5_length_30355_cov_523.605588	30355	RS07790_JD1_JD1_lp38_ParA_X	lp38	RS07790	30355	245	100.0	734	244	[(1, 245)]	[(24843, 25577)]	[(1, 245)]	2.4180530390380497
