assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UWI245	NODE_1_length_902751_cov_43.3324	902751	gb|CP002228.1|	chromosome	N40	902751	902191	99.97415384073926	909215	909216	[(212832, 213156), (437231, 440422), (212838, 902191), (1, 213156), (433984, 437177)]	[(5, 689356), (689198, 689523), (465017, 468210), (689360, 902515), (461772, 464963)]	[(902191, 212838), (213156, 1), (440422, 437231), (437177, 433984), (213156, 212832)]	100.71603354634888
UWI245	NODE_1_length_902751_cov_43.3324	902751	gb|CP124108.1|	chromosome	80a	902751	902811	99.39172789456178	910730	910775	[(843865, 844178), (8, 20180), (434521, 437714), (213226, 902800), (213232, 213552), (213388, 213712), (843898, 844211), (20337, 213712), (437770, 440961)]	[(689198, 882566), (465017, 468210), (1, 689523), (58586, 58899), (882566, 902751), (689036, 689356), (58619, 58932), (689360, 689685), (461772, 464963)]	[(902800, 213226), (213712, 20337), (20180, 8), (437714, 434521), (440961, 437770), (213552, 213232), (213712, 213388), (844178, 843865), (844211, 843898)]	100.88385390877441
UWI245	NODE_1_length_902751_cov_43.3324	902751	gb|CP124096.1|	chromosome	NE_5267	902751	910422	99.38796905739997	911054	911717	[(844497, 903253), (698, 20163), (213512, 214156), (20320, 213832), (213350, 213994), (213674, 844807), (438378, 441569), (435131, 438324), (213183, 213670), (9, 701)]	[(170, 58932), (902062, 902751), (689037, 882566), (882566, 902035), (465017, 468210), (689037, 689523), (689037, 689679), (461772, 464963), (58586, 689679)]	[(844807, 213674), (213832, 20320), (903253, 844497), (20163, 698), (438324, 435131), (441569, 438378), (701, 9), (213994, 213350), (214156, 213512), (213670, 213183)]	100.91974420410502
UWI245	NODE_1_length_902751_cov_43.3324	902751	gb|CP124100.1|	chromosome	NE_5261	902751	910422	99.38818771308976	911054	911717	[(844497, 903253), (213513, 214157), (213351, 213995), (438379, 441570), (213675, 844807), (213184, 213671), (435132, 438325), (20321, 213833), (698, 20164), (9, 701)]	[(170, 58932), (902062, 902751), (689037, 882566), (882566, 902035), (465017, 468210), (689037, 689523), (689037, 689679), (461772, 464963), (58586, 689679)]	[(844807, 213675), (213833, 20321), (903253, 844497), (20164, 698), (438325, 435132), (441570, 438379), (701, 9), (213995, 213351), (214157, 213513), (213671, 213184)]	100.91974420410502
UWI245	NODE_1_length_902751_cov_43.3324	902751	gb|CP094597.1|	chromosome	B31-5A4	902751	909655	99.38952792939901	910414	911105	[(212363, 212851), (212537, 213175), (556127, 844133), (19494, 213013), (212854, 556190), (212699, 213337), (843850, 902610), (437577, 440768), (434330, 437523), (1, 19337)]	[(461772, 464963), (689036, 689673), (465017, 468210), (689036, 689523), (689036, 882566), (346348, 689679), (58584, 346525), (170, 58936), (882566, 901904)]	[(556190, 212854), (844133, 556127), (213013, 19494), (902610, 843850), (19337, 1), (437523, 434330), (440768, 437577), (213175, 212537), (213337, 212699), (212851, 212363)]	100.84884979357543
UWI245	NODE_2_length_32758_cov_77.7153	32758	gb|CP001651.1|	lp54	N40	32758	53786	98.65937305141432	35218	35218	[(48166, 49444), (21086, 53786), (47164, 48404)]	[(4400, 5678), (5440, 6680), (58, 32758)]	[(53786, 21086), (48404, 47164), (49444, 48166)]	107.50961597167104
UWI245	NODE_2_length_32758_cov_77.7153	32758	gb|CP017218.1|	lp54	B331	32758	53759	98.24412347776834	35236	35225	[(4361, 5639), (5401, 6640), (2, 32710)]	[(4400, 5678), (40, 32758), (5440, 6680)]	[(2, 32710), (5401, 6640), (4361, 5639)]	107.56456438121987
UWI245	NODE_2_length_32758_cov_77.7153	32758	gb|CP074056.1|	lp54	B500	32758	53758	98.24412347776834	35236	35225	[(48121, 49399), (47120, 48359), (21050, 53758)]	[(4400, 5678), (40, 32758), (5440, 6680)]	[(53758, 21050), (48359, 47120), (49399, 48121)]	107.56456438121987
UWI245	NODE_2_length_32758_cov_77.7153	32758	gb|CP124079.1|	lp54	Sh-2-82	32758	53843	98.18603729801625	35237	35262	[(48203, 49483), (47202, 48441), (21100, 53843)]	[(4400, 5678), (5440, 6680), (39, 32758)]	[(53843, 21100), (48441, 47202), (49483, 48203)]	107.56761707063924
UWI245	NODE_2_length_32758_cov_77.7153	32758	gb|CP094577.1|	lp54	B408	32758	53561	98.23818589980394	35117	35106	[(48043, 49321), (20972, 53561), (47042, 48281)]	[(159, 32758), (5440, 6680), (4400, 5678)]	[(53561, 20972), (48281, 47042), (49321, 48043)]	107.20129434031382
UWI245	NODE_3_length_30991_cov_49.0991	30991	gb|CP001452.1|	lp28-3	WI91-23	30991	27543	95.8966726905496	28166	28171	[(7021, 7558), (4081, 4618), (2613, 6387), (2613, 25394), (7016, 7558)]	[(11889, 12426), (462, 4236), (7481, 30256), (1930, 2467), (8943, 9486)]	[(2613, 25394), (2613, 6387), (7021, 7558), (4081, 4618), (7016, 7558)]	90.88445032428768
UWI245	NODE_3_length_30991_cov_49.0991	30991	gb|CP094590.1|	lp28-3	B379	30991	28768	96.08309889634278	27685	27686	[(3946, 7723), (5417, 5954), (23033, 26194), (8358, 8895), (3946, 10241), (10154, 23037), (26210, 26706)]	[(13577, 26471), (11889, 12426), (462, 4236), (1930, 2467), (29768, 30256), (7481, 13772), (26537, 29701)]	[(10154, 23037), (3946, 10241), (23033, 26194), (3946, 7723), (26210, 26706), (8358, 8895), (5417, 5954)]	89.33238682198056
UWI245	NODE_3_length_30991_cov_49.0991	30991	gb|CP001502.1|	lp28-3	94a	30991	26181	95.80213133640552	27740	27722	[(3877, 10163), (23008, 26169), (10130, 23012), (8288, 8825), (3877, 7654), (8283, 8825), (5348, 5885)]	[(13577, 26471), (11889, 12426), (462, 4236), (1930, 2467), (8943, 9486), (7481, 13772), (26537, 29701)]	[(10130, 23012), (3877, 10163), (23008, 26169), (3877, 7654), (8288, 8825), (5348, 5885), (8283, 8825)]	89.50985770062276
UWI245	NODE_3_length_30991_cov_49.0991	30991	gb|CP017213.1|	lp28-3	B331	30991	27643	95.97977599101155	28447	28429	[(2567, 8858), (8717, 15670), (2567, 6341), (6975, 7512), (15680, 25475), (4035, 4572), (6970, 7512)]	[(13577, 20528), (11889, 12426), (462, 4236), (1930, 2467), (8943, 9486), (20442, 30256), (7481, 13772)]	[(15680, 25475), (8717, 15670), (2567, 8858), (2567, 6341), (6975, 7512), (4035, 4572), (6970, 7512)]	91.79116517698687
UWI245	NODE_3_length_30991_cov_49.0991	30991	gb|CP094572.1|	lp28-3	B408	30991	27525	95.97977599101155	28447	28429	[(6945, 7487), (2542, 8833), (2542, 6316), (4010, 4547), (15667, 25462), (6950, 7487), (8692, 15645)]	[(13577, 20528), (11889, 12426), (462, 4236), (1930, 2467), (8943, 9486), (20442, 30256), (7481, 13772)]	[(15667, 25462), (8692, 15645), (2542, 8833), (2542, 6316), (6950, 7487), (4010, 4547), (6945, 7487)]	91.79116517698687
UWI245	NODE_4_length_28310_cov_54.7998	28310	gb|CP001272.1|	lp28-4	156a	28310	29501	98.24092013408371	32455	32456	[(24662, 25870), (9572, 10358), (18574, 19366), (23598, 24779), (674, 9027), (9365, 29501)]	[(1, 8353), (8152, 28288), (17361, 18153), (8358, 9144), (22385, 23566), (23449, 24657)]	[(9365, 29501), (674, 9027), (24662, 25870), (23598, 24779), (10358, 9572), (19366, 18574)]	114.64146944542564
