assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161091.1 Borreliella burgdorferi strain Bb16-134 chromosome, complete genome	902698	gb|CP002228.1|	chromosome	N40	902698	902191	99.78655986600093	99.9727483610244	902452	902114	[(1, 902115)]	[(246, 902698)]	[(212832, 902115), (1, 213156), (437231, 440422), (433984, 437177), (212832, 213157), (843297, 843610), (843264, 843577)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161091.1 Borreliella burgdorferi strain Bb16-134 chromosome, complete genome	902698	gb|CP124108.1|	chromosome	80a	902698	902811	99.39640810104673	99.9995568839191	902694	902559	[(20337, 902719), (3, 20180)]	[(20195, 902698), (4, 20195)]	[(213226, 902719), (20337, 213713), (3, 20180), (434521, 437714), (437770, 440961), (213226, 213552), (213388, 213712), (843898, 844211)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161091.1 Borreliella burgdorferi strain Bb16-134 chromosome, complete genome	902698	gb|CP094597.1|	chromosome	B31-5A4	902698	909655	99.38570193265765	99.89520304686617	901752	902445	[(19494, 902603), (1, 19337)]	[(20195, 902609), (857, 20195)]	[(212854, 556190), (556127, 844133), (19494, 213013), (843850, 902603), (1, 19337), (434330, 437523), (437577, 440768), (212537, 213175), (212699, 213337), (212363, 212851)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161091.1 Borreliella burgdorferi strain Bb16-134 chromosome, complete genome	902698	gb|CP124092.1|	chromosome	Am293	902698	910655	99.38764047409046	99.9787304281166	902506	903204	[(20246, 903362), (1, 20089)]	[(726, 20195), (20195, 902609), (76, 699)]	[(213605, 556941), (556878, 844892), (20246, 213764), (844609, 903362), (623, 20089), (435081, 438274), (438328, 441519), (1, 626), (213443, 214087), (213288, 213926)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161091.1 Borreliella burgdorferi strain Bb16-134 chromosome, complete genome	902698	gb|CP019916.1|	chromosome	PAbe	902698	910728	99.383300406855	99.98703885463355	902581	903276	[(20322, 903434), (1, 20165)]	[(1, 699), (726, 20195), (20195, 902609)]	[(213677, 557012), (556949, 844964), (20322, 213836), (844681, 903434), (699, 20165), (435152, 438345), (438399, 441590), (1, 702), (213522, 214160), (213361, 213998)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161102.1 Borreliella burgdorferi strain Bb16-134 plasmid cp26, complete sequence	26515	gb|CP124105.1|	cp26	80a	26515	26506	97.54561325437305	99.99622854987743	26514	26505	[(1, 26506)]	[(1, 26515)]	[(1, 26506), (17967, 19308), (19434, 20767)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161102.1 Borreliella burgdorferi strain Bb16-134 plasmid cp26, complete sequence	26515	gb|CP002239.1|	cp26	N40	26515	26498	97.4404598959759	99.99622854987743	26514	26497	[(1, 26498)]	[(1, 26515)]	[(1, 26498), (17955, 19300), (19426, 20759)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161102.1 Borreliella burgdorferi strain Bb16-134 plasmid cp26, complete sequence	26515	gb|CP001446.1|	cp26	WI91-23	26515	26506	96.95507886003627	99.99622854987743	26514	26505	[(1, 26506)]	[(1, 26515)]	[(1, 26506), (17974, 19308), (19434, 20773)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161102.1 Borreliella burgdorferi strain Bb16-134 plasmid cp26, complete sequence	26515	gb|CP017202.2|	cp26	B331	26515	26506	96.92770878237367	99.99622854987743	26514	26505	[(1, 26506)]	[(1, 26515)]	[(1, 26506), (17974, 19308), (19434, 20773)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161102.1 Borreliella burgdorferi strain Bb16-134 plasmid cp26, complete sequence	26515	gb|CP094562.1|	cp26	B408	26515	26507	96.92439274717756	99.99622854987743	26514	26506	[(1, 26507)]	[(1, 26515)]	[(1, 26507), (17975, 19309), (19435, 20774)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161096.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-1, complete sequence	30221	gb|CP017205.1|	cp32-11	B331	30221	30176	93.40855530957653	92.19747857450118	27863	27856	[(26920, 30176), (1, 17394), (17765, 20926), (21697, 22600), (23114, 26257)]	[(23320, 26463), (26976, 30221), (21955, 22847), (18010, 21192), (1, 17402)]	[(1, 17394), (23114, 26257), (26920, 30176), (17765, 20926), (21697, 22600)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161096.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-1, complete sequence	30221	gb|CP074071.1|	cp32-11	B500	30221	30176	93.40855530957653	92.19747857450118	27863	27856	[(26920, 30176), (1, 17394), (17765, 20926), (21697, 22600), (23114, 26257)]	[(23320, 26463), (26976, 30221), (21955, 22847), (18010, 21192), (1, 17402)]	[(1, 17394), (23114, 26257), (26920, 30176), (17765, 20926), (21697, 22600)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161096.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-1, complete sequence	30221	gb|CP094563.1|	cp32-1	B408	30221	30177	93.40522012354054	92.19747857450118	27863	27857	[(17766, 20927), (1, 17395), (21698, 22601), (23115, 26258), (26921, 30177)]	[(23320, 26463), (26976, 30221), (21955, 22847), (18010, 21192), (1, 17402)]	[(1, 17395), (23115, 26258), (26921, 30177), (17766, 20927), (21698, 22601)]
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161096.1 Borreliella burgdorferi strain Bb16-134 plasmid cp32-1, complete sequence	30221	gb|AE001581.1|	cp32-9	B31	30221	30651	95.34151373656205	90.7613910856689	27429	27385	[(1, 17368), (28652, 30651), (21993, 22399), (18217, 20977), (23072, 27925)]	[(23285, 28146), (1, 16944), (22215, 22621), (18424, 21197), (16956, 17402), (28221, 30221)]	[(1, 10453), (10392, 16985), (23072, 27925), (18217, 20977), (28652, 30651), (16909, 17368), (21993, 22399)]
