assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords
UCT31H	contig_1 [gcode=11] [topology=linear]	910624	gb|CP124092.1|	chromosome	Am293	910624	910655	99.98915811693838	99.9998901851917	910623	910622	[(14, 910636)]	[(1, 910624)]	[(910636, 14), (438274, 435081), (441519, 438328), (214087, 213118), (214248, 213280), (213926, 213118), (214249, 213442), (213764, 213118), (214249, 213604), (213602, 213118)]
UCT31H	contig_1 [gcode=11] [topology=linear]	910624	gb|CP019916.1|	chromosome	PAbe	910624	910728	99.97799104897047	99.9998901851917	910623	910619	[(90, 910709)]	[(1, 910624)]	[(910709, 90), (438345, 435152), (441590, 438399), (214320, 213353), (214160, 213191), (214321, 213514), (213998, 213191), (214321, 213676), (213836, 213191), (214321, 213838)]
UCT31H	contig_1 [gcode=11] [topology=linear]	910624	gb|AE000783.1|	chromosome	B31	910624	910724	99.97820819306891	99.9998901851917	910623	910615	[(90, 910705)]	[(1, 910624)]	[(910705, 90), (438346, 435153), (441591, 438400), (214323, 213355), (214163, 213193), (214324, 213517), (214001, 213193), (214324, 213679), (213839, 213193), (214324, 213841)]
UCT31H	contig_1 [gcode=11] [topology=linear]	910624	gb|CP094597.1|	chromosome	B31-5A4	910624	909655	99.98567381890405	99.89413852479179	909660	909654	[(1, 909655)]	[(224, 909884)]	[(909655, 1), (437523, 434330), (440768, 437577), (213497, 212529), (213337, 212367), (213498, 212691), (213175, 212367), (213498, 212853), (213013, 212367), (213498, 213015)]
UCT31H	contig_1 [gcode=11] [topology=linear]	910624	gb|CP005925.1|	chromosome	CA382	910624	910736	99.8791170667187	99.9998901851917	910623	910627	[(90, 910717)]	[(1, 910624)]	[(910717, 90), (441600, 438409), (438355, 435162), (214324, 213356), (214164, 213194), (214325, 213518), (214002, 213194), (214325, 213680), (213840, 213194), (214325, 213842)]
UCT31H	contig_2 [gcode=11] [topology=linear]	53687	gb|CP124091.1|	lp54	Am293	53687	53672	99.94968225274418	99.94598319891222	53658	53645	[(26, 53671)]	[(1, 53659)]	[(26, 53671)]
UCT31H	contig_2 [gcode=11] [topology=linear]	53687	gb|CP019765.1|	lp54	B31_NRZ	53687	53650	99.9533938591749	99.91245552927151	53640	53626	[(24, 53650)]	[(1, 53641)]	[(24, 53650)]
UCT31H	contig_2 [gcode=11] [topology=linear]	53687	gb|CP019925.1|	lp54	PAbe	53687	53650	99.9533938591749	99.91245552927151	53640	53626	[(24, 53650)]	[(1, 53641)]	[(24, 53650)]
UCT31H	contig_2 [gcode=11] [topology=linear]	53687	gb|CP019854.1|	lp54	PAli	53687	53650	99.95152961354188	99.91245552927151	53640	53626	[(24, 53650)]	[(1, 53641)]	[(24, 53650)]
UCT31H	contig_2 [gcode=11] [topology=linear]	53687	gb|AE000790.2|	lp54	B31	53687	53657	99.94407888605141	99.91245552927151	53640	53633	[(24, 53657)]	[(1, 53641)]	[(24, 53657)]
UCT31H	contig_3 [gcode=11] [topology=linear]	48979	gb|CP019766.1|	lp56	B31_NRZ	48979	52951	99.6826744280055	99.99795830866289	48978	49001	[(2341, 51342)]	[(1, 48979)]	[(51342, 26047), (20565, 2341), (26247, 20310)]
UCT31H	contig_3 [gcode=11] [topology=linear]	48979	gb|CP019926.1|	lp56	PAbe	48979	52971	99.6826744280055	99.99795830866289	48978	49001	[(2361, 51362)]	[(1, 48979)]	[(51362, 26067), (20585, 2361), (26267, 20330)]
UCT31H	contig_3 [gcode=11] [topology=linear]	48979	gb|CP019855.1|	lp56	PAli	48979	52971	99.68065970046688	99.99795830866289	48978	49002	[(2361, 51363)]	[(1, 48979)]	[(51363, 26067), (20585, 2361), (26267, 20330)]
