assembly_id	contig_id	contig_len	plasmid_id	plasmid_name	strain	query_length	ref_length	overall_percent_identity	query_coverage_percent	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords
UWI247P	contig_1 [gcode=11] [topology=linear]	912339	gb|CP124104.1|	chromosome	NE_5248	912339	910663	99.44901087033593	99.33906146728354	906309	906427	[(20320, 904930), (905175, 906871), (42, 20163)]	[(20158, 906320), (11, 20158)]	[(213346, 904930), (20320, 214152), (42, 20163), (435127, 438320), (438374, 441565), (905175, 906871), (213508, 214313), (213183, 213990), (213670, 214314), (213179, 213828)]
UWI247P	contig_1 [gcode=11] [topology=linear]	912339	gb|CP124080.1|	chromosome	Sh-2-82	912339	907764	99.76188447683398	99.24019470832663	905407	905471	[(2, 905473)]	[(1, 775178), (775211, 905441)]	[(2, 556768), (556585, 775274), (775249, 905473), (434850, 438043), (438097, 441288), (213192, 213997), (213029, 213837), (213354, 213998), (213025, 213675), (213516, 213998)]
UWI247P	contig_1 [gcode=11] [topology=linear]	912339	gb|CP094579.1|	chromosome	B379	912339	920773	99.76135998583895	99.20336629257326	905071	905135	[(1, 905136)]	[(337, 775178), (775211, 905441)]	[(1, 556431), (556248, 774937), (774912, 905136), (434513, 437706), (437760, 440951), (212855, 213660), (212692, 213500), (213017, 213661), (212688, 213338), (213179, 213661)]
UWI247P	contig_1 [gcode=11] [topology=linear]	912339	gb|CP124084.1|	chromosome	Am388	912339	910563	99.47894297988226	99.33654047453852	906286	906425	[(20319, 904928), (42, 20162), (905173, 906869)]	[(11, 666), (689, 20158), (20158, 906320)]	[(20319, 556913), (556730, 844834), (844489, 904928), (693, 20162), (438240, 441431), (434993, 438186), (905173, 906869), (213362, 214160), (213192, 213999), (42, 698)]
UWI247P	contig_1 [gcode=11] [topology=linear]	912339	gb|CP001205.1|	chromosome	ZS7	912339	906707	99.43714347010513	99.304644435895	905995	902617	[(3, 20117), (901334, 903030), (20274, 901081)]	[(438086, 906320), (19, 20158), (138178, 438032), (20158, 137926)]	[(434493, 841006), (212889, 437686), (20274, 138039), (138037, 213695), (840661, 901081), (3, 20117), (901334, 903030), (213052, 213696), (212885, 213522), (213214, 213696)]
UWI247P	contig_2 [gcode=11] [topology=linear]	26521	gb|CP001271.1|	cp26	156a	26521	26522	98.17173377156944	99.99245880622902	26519	26520	[(1, 14615), (14616, 26522)]	[(1, 14615), (14616, 26521)]	[(14615, 1), (26522, 14616), (19317, 17982), (20782, 19449)]
UWI247P	contig_2 [gcode=11] [topology=linear]	26521	gb|CP124077.1|	cp26	Sh-2-82	26521	26514	97.49153006399507	99.97737641868709	26515	26508	[(14614, 26514), (5, 14613)]	[(1, 14612), (14617, 26521)]	[(14613, 5), (26514, 14614), (19310, 17971), (20775, 19442)]
UWI247P	contig_2 [gcode=11] [topology=linear]	26521	gb|CP094580.1|	cp26	B379	26521	26515	97.48819382656903	99.97737641868709	26515	26509	[(5, 14614), (14615, 26515)]	[(1, 14612), (14617, 26521)]	[(14614, 5), (26515, 14615), (19311, 17972), (20776, 19443)]
UWI247P	contig_2 [gcode=11] [topology=linear]	26521	gb|CP002316.1|	cp26	JD1	26521	26525	97.26529075538214	99.98491761245806	26517	26521	[(14620, 26523), (1, 14619)]	[(14619, 26521), (1, 14616)]	[(14619, 1), (26523, 14620), (19321, 17986), (20786, 19453)]
UWI247P	contig_2 [gcode=11] [topology=linear]	26521	gb|CP001493.1|	cp26	94a	26521	26507	96.7766219545579	99.99245880622902	26519	26505	[(14619, 26507), (1, 14618)]	[(1, 14616), (14617, 26521)]	[(14618, 1), (26507, 14619), (20773, 19434), (19302, 17983)]
